adashmoq             |блуждать, заблудиться                                                                                                     |[sound:uz_adashmoq.mp3]
to'nka               |пень                                                                                                                      |[sound:uz_to'nka.mp3]
to'p                 |1. мяч [см. koptok] <br> 2. куча, стая                                                                                    |[sound:uz_to'p.mp3]
to'piq               |щиколотка, лодыжка                                                                                                        |[sound:uz_to'piq.mp3]
to'plamoq            |1. собирать, набирать, накапливать <br> 2. складывать [в одно место], собирать [в кучу]                                   |[sound:uz_to'plamoq.mp3]
to'polon             |1. суматоха, сумятица, шум, скандал <br> 2. буйство                                                                       |[sound:uz_to'polon.mp3]
to'polonchi          |1. тот, кто любит шуметь, скандалить <br> 2. озорной, шаловливый, озорник, шалун                                          |[sound:uz_to'polonchi.mp3]
to'pponcha           |пистолет, револьвер                                                                                                       |[sound:uz_to'pponcha.mp3]
to'q                 |сытый                                                                                                                     |[sound:uz_to'q.mp3]
to'qimoq             |1. ткать <br> 2. вязать <br> 3. сочинять, слагать, создавать                                                              |[sound:uz_to'qimoq.mp3]
to'qqiz              |девять                                                                                                                    |[sound:uz_to'qqiz.mp3]
to'qson              |девяносто                                                                                                                 |[sound:uz_to'qson.mp3]
to'r                 |сеть, сетка                                                                                                               |[sound:uz_to'r.mp3]
to'rt                |четыре                                                                                                                    |[sound:uz_to'rt.mp3]
to'satdan            |внезапно, неожиданно, вдруг                                                                                               |[sound:uz_to'satdan.mp3]
to'siq               |препятствие, преграда, барьер                                                                                             |[sound:uz_to'siq.mp3]
to'smoq              |заграждать, преграждать, загораживать                                                                                     |[sound:uz_to'smoq.mp3]
to'ti                |попугай                                                                                                                   |[sound:uz_to'ti.mp3]
to'xtamoq            |останавливаться, остановиться, прекращаться, прекратиться                                                                 |[sound:uz_to'xtamoq.mp3]
to'y                 |1. той, свадьба <br> 2. праздник                                                                                          |[sound:uz_to'y.mp3]
to'ymoq              |наедаться, насыщаться, стать сытым                                                                                        |[sound:uz_to'ymoq.mp3]
to'g'ramoq           |резать                                                                                                                    |[sound:uz_to'g'ramoq.mp3]
to'g'ri              |1. прямой <br> 2. правильный, точный, верный                                                                              |[sound:uz_to'g'ri.mp3]
to'g'rilamoq         |выпрямлять, выправлять, исправлять, поправлять                                                                            |[sound:uz_to'g'rilamoq.mp3]
to'shak              |1. тюфяк, матрац <br> 2. постель                                                                                          |[sound:uz_to'shak.mp3]
uka                  |младший брат                                                                                                              |[sound:uz_uka.mp3]
ulamoq               |соединять, связывать                                                                                                      |[sound:uz_ulamoq.mp3]
ular                 |они                                                                                                                       |[sound:uz_ular.mp3]
ulashmoq             |раздавать, распределять, наделять                                                                                         |[sound:uz_ulashmoq.mp3]
ulgurmoq             |успевать, управляться                                                                                                     |[sound:uz_ulgurmoq.mp3]
umid                 |надежда, чаяние                                                                                                           |[sound:uz_umid.mp3]
umr                  |жизнь                                                                                                                     |[sound:uz_umr.mp3]
umumiy               |общий, всеобщий                                                                                                           |[sound:uz_umumiy.mp3]
un                   |мука                                                                                                                      |[sound:uz_un.mp3]
undosh               |согласный                                                                                                                 |[sound:uz_undosh.mp3]
uni                  |его, её                                                                                                                   |[sound:uz_uni.mp3]
unli                 |гласный                                                                                                                   |[sound:uz_unli.mp3]
unutmoq              |забывать                                                                                                                  |[sound:uz_unutmoq.mp3]
urinmoq              |1. трепыхаться, биться, рваться <br> 2. пытаться, делать попытки                                                          |[sound:uz_urinmoq.mp3]
urinchoq             |1. старательный, усердный <br> 2. пытливый                                                                                |[sound:uz_urinchoq.mp3]
urishmoq             |1. биться, драться <br> 2. браниться, ругаться, ссориться                                                                 |[sound:uz_urishmoq.mp3]
urishqoq             |драчливый, драчун, забияка, задира, скандалист                                                                            |[sound:uz_urishqoq.mp3]
urmoq                |бить, ударять                                                                                                             |[sound:uz_urmoq.mp3]
ust                  |верх, верхняя часть, поверхность                                                                                          |[sound:uz_ust.mp3]
usta                 |1. мастер <br> 2. ловкий, проворный                                                                                       |[sound:uz_usta.mp3]
ustaxona             |мастерская                                                                                                                |[sound:uz_ustaxona.mp3]
ust-bosh             |одежда [см. kiyim, kiyim-bosh]                                                                                            |[sound:uz_ust-bosh.mp3]
ustki                |верхний, находящийся наверху                                                                                              |[sound:uz_ustki.mp3]
ustoz                |учитель, наставник                                                                                                        |[sound:uz_ustoz.mp3]
ustun                |столбик                                                                                                                   |[sound:uz_ustun.mp3]
uxlamoq              |спать                                                                                                                     |[sound:uz_uxlamoq.mp3]
uya                  |гнездо, нора, берлога [см. in]                                                                                            |[sound:uz_uya.mp3]
uyalmoq              |стыдиться, стесняться, смущаться                                                                                          |[sound:uz_uyalmoq.mp3]
uyat                 |стыд, позор                                                                                                               |[sound:uz_uyat.mp3]
uy                   |дом, жилище                                                                                                               |[sound:uz_uy.mp3]
uyatsiz              |1. бесстыдный, бессовестный <br> 2. наглый                                                                                |[sound:uz_uyatsiz.mp3]
uyatchang            |стыдливый, застенчивый, стеснительный                                                                                     |[sound:uz_uyatchang.mp3]
uyqu                 |сон, спячка                                                                                                               |[sound:uz_uyqu.mp3]
uyg'atmoq            |будить, разбудить, пробуждать, пробудить                                                                                  |[sound:uz_uyg'atmoq.mp3]
uyg'onmoq            |просыпаться, проснуться, пробуждаться, очнуться                                                                           |[sound:uz_uyg'onmoq.mp3]
uyg'oq               |неспящий, бодрствующий                                                                                                    |[sound:uz_uyg'oq.mp3]
uzatmoq              |протягивать, подавать, передавать                                                                                         |[sound:uz_uzatmoq.mp3]
uzaymoq              |удлиняться, прибавляться [против. qisqarmoq]                                                                              |[sound:uz_uzaymoq.mp3]
uzmoq                |1. срывать, отрывать, снимать <br> 2. обрывать, рвать                                                                     |[sound:uz_uzmoq.mp3]
uzoq                 |1. далёкий, дальний, отдалённый <br> 2. долгий, длительный, продолжительный                                               |[sound:uz_uzoq.mp3]
uzoqlashmoq          |удаляться, отдаляться                                                                                                     |[sound:uz_uzoqlashmoq.mp3]
uzuk                 |кольцо, перстень                                                                                                          |[sound:uz_uzuk.mp3]
uzum                 |виноград [плоды]                                                                                                          |[sound:uz_uzum.mp3]
uzun                 |1. длинный <br> 2. длительный, продолжительный                                                                            |[sound:uz_uzun.mp3]
ushlamoq             |1. держать, браться, хватать <br> 2. ловить, поймать, задержать                                                           |[sound:uz_ushlamoq.mp3]
uch                  |1. конец <br> 2. кончик, остриё <br> 3. три                                                                               |[sound:uz_uch.mp3]
uchmoq               |летать, лететь, полететь                                                                                                  |[sound:uz_uchmoq.mp3]
uchramoq             |1. попадаться <br> 2. встречаться, сталкиваться                                                                           |[sound:uz_uchramoq.mp3]
uchrashuv            |встреча                                                                                                                   |[sound:uz_uchrashuv.mp3]
uchqun               |искра                                                                                                                     |[sound:uz_uchqun.mp3]
uchun                |для, ради, за, чтобы                                                                                                      |[sound:uz_uchun.mp3]
uchuvchi             |лётчик, авиатор, пилот                                                                                                    |[sound:uz_uchuvchi.mp3]
va                   |и                                                                                                                         |[sound:uz_va.mp3]
vafot                |кончина, смерть                                                                                                           |[sound:uz_vafot.mp3]
vafot etmoq (qilmoq) |умереть, скончаться                                                                                                       |[sound:uz_vafot_etmoq_(qilmoq).mp3]
vahima               |страх, боязнь, ужас, паника                                                                                               |[sound:uz_vahima.mp3]
vahimali             |страшный, ужасный                                                                                                         |[sound:uz_vahimali.mp3]
vaqt                 |время                                                                                                                     |[sound:uz_vaqt.mp3]
varaq                |лист, листы                                                                                                               |[sound:uz_varaq.mp3]
varaqlamoq           |листать, перелистывать                                                                                                    |[sound:uz_varaqlamoq.mp3]
varrak               |бумажный змей                                                                                                             |[sound:uz_varrak.mp3]
vatan                |родина, отечество, отчизна                                                                                                |[sound:uz_vatan.mp3]
vazifa               |1. задача [см. topshiriq] <br> 2. обязанность, долг                                                                       |[sound:uz_vazifa.mp3]
va'da                |обещание                                                                                                                  |[sound:uz_va'da.mp3]
va'da bermoq         |обещать                                                                                                                   |[sound:uz_va'da_bermoq.mp3]
vergul               |запятая                                                                                                                   |[sound:uz_vergul.mp3]
viloyat              |область                                                                                                                   |[sound:uz_viloyat.mp3]
voqea                |событие                                                                                                                   |[sound:uz_voqea.mp3]
vovullamoq           |гавкать, лая ть                                                                                                           |[sound:uz_vovullamoq.mp3]
xabar                |известие, весть, сообщение                                                                                                |[sound:uz_xabar.mp3]
xafa                 |1. печальный, грустный <br> 2. обиженный                                                                                  |[sound:uz_xafa.mp3]
xafa qilmoq          |1. печалить, огорчить <br> 2. обижать, обидеть                                                                            |[sound:uz_xafa_qilmoq.mp3]
xalaqit bermoq       |мешать, препятствовать                                                                                                    |[sound:uz_xalaqit_bermoq.mp3]
xalq                 |народ, население, жители                                                                                                  |[sound:uz_xalq.mp3]
xalta                |сумка, мешок, торба, пакет                                                                                                |[sound:uz_xalta.mp3]
xamir                |тесто                                                                                                                     |[sound:uz_xamir.mp3]
xaridor              |покупатель, закупщик                                                                                                      |[sound:uz_xaridor.mp3]
xartum               |хобот                                                                                                                     |[sound:uz_xartum.mp3]
xarxasha             |каприз                                                                                                                    |[sound:uz_xarxasha.mp3]
xarxasha qilmoq      |капризничать                                                                                                              |[sound:uz_xarxasha_qilmoq.mp3]
xat                  |письмо                                                                                                                    |[sound:uz_xat.mp3]
xato                 |ошибка, ошибочный, неверный                                                                                               |[sound:uz_xato.mp3]
xato qilmoq          |ошибаться, ошибиться                                                                                                      |[sound:uz_xato_qilmoq.mp3]
xayol                |мечты, думы [см. о'у]                                                                                                     |[sound:uz_xayol.mp3]
xayr                 |досвидания, прощай [-те]                                                                                                  |[sound:uz_xayr.mp3]
xil                  |вид, сорт, род, тип                                                                                                       |[sound:uz_xil.mp3]
xira                 |тусклый, непрозрачный                                                                                                     |[sound:uz_xira.mp3]
xizmat               |1. служба, работа, заслуга <br> 2. поручение, задание                                                                     |[sound:uz_xizmat.mp3]
xizmat qilmoq        |служить                                                                                                                   |[sound:uz_xizmat_qilmoq.mp3]
xohlamoq             |желать, пожелать, хотеть, захотеть                                                                                        |[sound:uz_xohlamoq.mp3]
xol                  |родинка                                                                                                                   |[sound:uz_xol.mp3]
xola                 |тётя [сестра матери]                                                                                                      |[sound:uz_xola.mp3]
xom                  |1. сырой <br> 2. незрелый, зелёный                                                                                        |[sound:uz_xom.mp3]
xona                 |комната                                                                                                                   |[sound:uz_xona.mp3]
xonadon              |семья; двор                                                                                                               |[sound:uz_xonadon.mp3]
xonanda              |певец                                                                                                                     |[sound:uz_xonanda.mp3]
xotin                |1. женщина <br> 2. жена                                                                                                   |[sound:uz_xotin.mp3]
xotira               |1. память <br> 2. воспоминание                                                                                            |[sound:uz_xotira.mp3]
xuddi                |как раз, точь-в-точь, точно                                                                                               |[sound:uz_xuddi.mp3]
xudo                 |бог, господь                                                                                                              |[sound:uz_xudo.mp3]
xulq                 |1. нрав, характер <br> 2. поведение                                                                                       |[sound:uz_xulq.mp3]
xunuk                |некрасивый [против. чиройли]                                                                                              |[sound:uz_xunuk.mp3]
xurrak               |храп                                                                                                                      |[sound:uz_xurrak.mp3]
xursand              |радостный, весёлый                                                                                                        |[sound:uz_xursand.mp3]
xushmuomala          |вежливый                                                                                                                  |[sound:uz_xushmuomala.mp3]
xo'mraymoq           |хмуриться, смотреть исподлобья                                                                                            |[sound:uz_xo'mraymoq.mp3]
xo'p                 |хорошо, ладно                                                                                                             |[sound:uz_xo'p.mp3]
xo'roz               |петух                                                                                                                     |[sound:uz_xo'roz.mp3]
xo'rsinmoq           |1. вздыхать <br> 2. захлёбываться от плача <br> 3. всхлипывать                                                            |[sound:uz_xo'rsinmoq.mp3]
xo'tik               |ослёнок                                                                                                                   |[sound:uz_xo'tik.mp3]
xo'sh                |ну                                                                                                                        |[sound:uz_xo'sh.mp3]
yakshanba            |воскресенье                                                                                                               |[sound:uz_yakshanba.mp3]
yalamoq              |лизать, облизывать                                                                                                        |[sound:uz_yalamoq.mp3]
yalang'och           |голый, раздетый                                                                                                           |[sound:uz_yalang'och.mp3]
yalinmoq             |1. умолять, упрашивать <br> 2. кланяться, преклоняться                                                                    |[sound:uz_yalinmoq.mp3]
yalpiz               |мята                                                                                                                      |[sound:uz_yalpiz.mp3]
yalpoq               |плоский                                                                                                                   |[sound:uz_yalpoq.mp3]
yalt etmoq           |промелкнуть, сверкнуть, блеснуть                                                                                          |[sound:uz_yalt_etmoq.mp3]
yaltiramoq           |блестеть, поблёскивать, сверкать                                                                                          |[sound:uz_yaltiramoq.mp3]
yalqov               |лентяй, лодырь, ленивый                                                                                                   |[sound:uz_yalqov.mp3]
yaltiroq             |блеск, лоск; блестящий, сверкающий                                                                                        |[sound:uz_yaltiroq.mp3]
yana                 |ещё, опять, снова, вновь                                                                                                  |[sound:uz_yana.mp3]
yangi                |новый, свежий                                                                                                             |[sound:uz_yangi.mp3]
yangilik             |новость                                                                                                                   |[sound:uz_yangilik.mp3]
yanchmoq             |молотить                                                                                                                  |[sound:uz_yanchmoq.mp3]
yapaloq              |плоский                                                                                                                   |[sound:uz_yapaloq.mp3]
yaqin                |близкий, близко                                                                                                           |[sound:uz_yaqin.mp3]
yaqinda              |недавно                                                                                                                   |[sound:uz_yaqinda.mp3]
yaqinlashmoq         |приближаться, подходить, сближаться                                                                                       |[sound:uz_yaqinlashmoq.mp3]
yara                 |рана, ранение; язва                                                                                                       |[sound:uz_yara.mp3]
yarash               |перемирие                                                                                                                 |[sound:uz_yarash.mp3]
yarashmoq            |1. мириться, примириться <br> 2. подходить, быть клицу                                                                    |[sound:uz_yarashmoq.mp3]
yarim (yarmi)        |половина, пол; полу                                                                                                       |[sound:uz_yarim_(yarmi).mp3]
yarimta              |половина, половинка                                                                                                       |[sound:uz_yarimta.mp3]
yarqiramoq           |сверкать, блестеть                                                                                                        |[sound:uz_yarqiramoq.mp3]
yasama               |1. самодельный <br> 2. искусственный                                                                                      |[sound:uz_yasama.mp3]
yasamoq              |мастерить, изготовлять                                                                                                    |[sound:uz_yasamoq.mp3]
yasanmoq             |наряжаться, принарядиться, украшаться                                                                                     |[sound:uz_yasanmoq.mp3]
yax                  |лёд [см. muz]                                                                                                             |[sound:uz_yax.mp3]
yaxlamoq             |застывать, замерзать [см. muzlamoq]                                                                                       |[sound:uz_yaxlamoq.mp3]
yaxshi               |хороший                                                                                                                   |[sound:uz_yaxshi.mp3]
yaxshilik            |доброта, добро                                                                                                            |[sound:uz_yaxshilik.mp3]
yaxshilikcha         |по-хорошему, добром                                                                                                       |[sound:uz_yaxshilikcha.mp3]
yayov                |пешком [см. piyoda]                                                                                                       |[sound:uz_yayov.mp3]
yashamoq             |жить, прожить                                                                                                             |[sound:uz_yashamoq.mp3]
yashil               |зелёный                                                                                                                   |[sound:uz_yashil.mp3]
yashin               |молния                                                                                                                    |[sound:uz_yashin.mp3]
yashirin             |тайный, скрытый                                                                                                           |[sound:uz_yashirin.mp3]
yashirinmoq          |прятаться, спрятаться, укрываться                                                                                         |[sound:uz_yashirinmoq.mp3]
yashirincha          |тайно, скрытно, тайком                                                                                                    |[sound:uz_yashirincha.mp3]
yashirmoq            |спрятать, прятать                                                                                                         |[sound:uz_yashirmoq.mp3]
yanglishmoq          |ошибаться, запутаться                                                                                                     |[sound:uz_yanglishmoq.mp3]
yangramoq            |звучать, звенеть                                                                                                          |[sound:uz_yangramoq.mp3]
yelim                |клей                                                                                                                      |[sound:uz_yelim.mp3]
yelimlamoq           |клеить, наклеить                                                                                                          |[sound:uz_yelimlamoq.mp3]
yelka                |плечо                                                                                                                     |[sound:uz_yelka.mp3]
yelpimoq             |опахивать, обмахивать                                                                                                     |[sound:uz_yelpimoq.mp3]
yelpigich            |веер, опахало                                                                                                             |[sound:uz_yelpigich.mp3]
yemoq                |есть, кушать, съесть                                                                                                      |[sound:uz_yemoq.mp3]
yer                  |земля                                                                                                                     |[sound:uz_yer.mp3]
yerto'la             |1. подвал <br> 2. землянка                                                                                                |[sound:uz_yerto'la.mp3]
yetaklamoq           |вести за повод, вести заруку                                                                                              |[sound:uz_yetaklamoq.mp3]
yetim                |сирота                                                                                                                    |[sound:uz_yetim.mp3]
yetishmovchilik      |недостаток, дефект, недочёт                                                                                               |[sound:uz_yetishmovchilik.mp3]
yetmish              |семьдесят                                                                                                                 |[sound:uz_yetmish.mp3]
yetmoq               |1. доходить [дойти], доезжать [доехать], добираться [добраться] <br> 2. догонять [догнать], поравняться                   |[sound:uz_yetmoq.mp3]
yetti                |семь                                                                                                                      |[sound:uz_yetti.mp3]
yechinmoq            |раздеваться, раздеться                                                                                                    |[sound:uz_yechinmoq.mp3]
yechmoq              |развязывать [развязать], расстёгивать [расстегнуть]                                                                       |[sound:uz_yechmoq.mp3]
yeng                 |рукав                                                                                                                     |[sound:uz_yeng.mp3]
yengil               |лёгкий, легко                                                                                                             |[sound:uz_yengil.mp3]
yengmoq              |побеждать, одолевать                                                                                                      |[sound:uz_yengmoq.mp3]
yigirma              |двадцать                                                                                                                  |[sound:uz_yigirma.mp3]
yigit                |юноша, парень                                                                                                             |[sound:uz_yigit.mp3]
yil                  |год                                                                                                                       |[sound:uz_yil.mp3]
yilt etmoq           |сверкнуть, блеснуть                                                                                                       |[sound:uz_yilt_etmoq.mp3]
yiltiramoq           |1. блестеть, поблёскивать, сверкать <br> 2. мерцать                                                                       |[sound:uz_yiltiramoq.mp3]
yirik                |крупный                                                                                                                   |[sound:uz_yirik.mp3]
yiring               |гной                                                                                                                      |[sound:uz_yiring.mp3]
yiringlamoq          |гноиться                                                                                                                  |[sound:uz_yiringlamoq.mp3]
yirtiq               |рваный, порванный, разорванный                                                                                            |[sound:uz_yirtiq.mp3]
yirtmoq              |рвать, разрывать, раздирать                                                                                               |[sound:uz_yirtmoq.mp3]
yirtqich             |хищник, хищный                                                                                                            |[sound:uz_yirtqich.mp3]
yiqilmoq             |упасть, падать                                                                                                            |[sound:uz_yiqilmoq.mp3]
yiqitmoq             |1. валить, сваливать <br> 2. побороть                                                                                     |[sound:uz_yiqitmoq.mp3]
yig'i                |плач, рыдание                                                                                                             |[sound:uz_yig'i.mp3]
yig'ilish            |1. собрание <br> 2. сбор                                                                                                  |[sound:uz_yig'ilish.mp3]
yig'im-terim         |уборка урожая                                                                                                             |[sound:uz_yig'im-terim.mp3]
yig'ishtirmoq        |1. собирать <br> 2. убирать, прибирать                                                                                    |[sound:uz_yig'ishtirmoq.mp3]
yig'lamoq            |плакать                                                                                                                   |[sound:uz_yig'lamoq.mp3]
yig'loq              |плакса, плаксивый                                                                                                         |[sound:uz_yig'loq.mp3]
yig'moq              |1. собирать <br> 2. убирать                                                                                               |[sound:uz_yig'moq.mp3]
yod                  |память                                                                                                                    |[sound:uz_yod.mp3]
yodlamoq             |1. заучивать наизусть, зубрить <br> 2. вспоминать [см. eslamoq]                                                           |[sound:uz_yodlamoq.mp3]
yoki                 |или, илиже                                                                                                                |[sound:uz_yoki.mp3]
yol                  |грива                                                                                                                     |[sound:uz_yol.mp3]
yolg'iz              |1. один, одинокий <br> 2. единственный                                                                                    |[sound:uz_yolg'iz.mp3]
yolg'on              |ложный, лживый                                                                                                            |[sound:uz_yolg'on.mp3]
yolg'onchi           |лгун, лжец, враль                                                                                                         |[sound:uz_yolg'onchi.mp3]
yomon                |плохой, нехороший, дурной, плохо, нехорошо                                                                                |[sound:uz_yomon.mp3]
yomg'ir              |дождь                                                                                                                     |[sound:uz_yomg'ir.mp3]
yon                  |бок                                                                                                                       |[sound:uz_yon.mp3]
yonida               |рядом, около                                                                                                              |[sound:uz_yonida.mp3]
yonbosh              |бок, боковая сторона                                                                                                      |[sound:uz_yonbosh.mp3]
yonboshlamoq         |ложиться, лечь набок                                                                                                      |[sound:uz_yonboshlamoq.mp3]
yonmoq               |гореть                                                                                                                    |[sound:uz_yonmoq.mp3]
yong'in              |пожар                                                                                                                     |[sound:uz_yong'in.mp3]
yong'oq              |орех                                                                                                                      |[sound:uz_yong'oq.mp3]
yopilmoq             |закрываться, закрыться                                                                                                    |[sound:uz_yopilmoq.mp3]
yopiq                |закрытый, запертый                                                                                                        |[sound:uz_yopiq.mp3]
yopishmoq            |приклеиваться, прилипать                                                                                                  |[sound:uz_yopishmoq.mp3]
yopmoq               |1. закрывать <br> 2. накрывать, покрывать, укрывать <br> 3. печь                                                          |[sound:uz_yopmoq.mp3]
yoq                  |сторона, край, направление                                                                                                |[sound:uz_yoq.mp3]
yoqa                 |1. ворот, воротник <br> 2. берег, край                                                                                    |[sound:uz_yoqa.mp3]
yoqimli              |приятный                                                                                                                  |[sound:uz_yoqimli.mp3]
yoqmoq               |1. зажигать <br> 2. нравиться                                                                                             |[sound:uz_yoqmoq.mp3]
yordam               |помощь                                                                                                                    |[sound:uz_yordam.mp3]
yordamlashmoq        |помогать [помочь], оказывать помощь                                                                                       |[sound:uz_yordamlashmoq.mp3]
yordamchi            |помощник                                                                                                                  |[sound:uz_yordamchi.mp3]
yorilmoq             |1. раскалываться <br> 2. трескаться, растрескиваться <br> 3. разрываться                                                  |[sound:uz_yorilmoq.mp3]
