der Mann ist hoch|the man is high
blass werden |to become pale
jemanden irritieren |to confuse someone
ein Jurist spricht |a lawyer speaks
eine Mission erfüllen |to accomplish a mission
das Mitochondrium enthalten|to contain mitochondria
das Neuron aktivieren|to activate the neuron
die Regulation einhalten |to follow the regulation
vom Rücktritt sprechen |to speak of resignation
eine Schätzung abgeben |to give an estimate
die Entropie berechnen |to calculate the entropy
ein Gelenk bewegen |to move a joint
den Marktanteil erhöhen |to increase the market share
den Blutdruck regulieren|to regulate blood pressure
den Rundfunk hören |to listen to the broadcast
an einer Teilnahme interessiert |interested in participation
Thermodynamik studieren |to study thermodynamics
ein LKW fahren |to drive a truck
Quatsch reden |to talk nonsense
romantisch sein |to be romantic
das Substrat analysieren |to analyze the substrate
ein Ziel erlangen |to obtain a goal
die Tür zumachen |to shut the door
eine Ausstellung besuchen |to visit an exhibition
ins Becken springen |to jump into the pool
die Straßen kreuzen |to cross the streets
zartes Fleisch |tender meat
unter Zwang handeln |to act under compulsion
ein Engländer spricht |an Englishman speaks
eine Münze werfen |to toss a coin
eine Nachrichtenagentur gründen |to establish a news agency
seitlich stehen |to stand to the side
zum Abendessen gehen |to go for dinner
den Beobachter spielen |to play the observer
den Durchmesser messen |to measure the diameter
in die Oper gehen |to go to the opera
satt sein |to be full
SPÖ Mitglied |SPÖ member
symbolische Geste |symbolic gesture
ein T-Shirt tragen |to wear a T-shirt
Zerstörung vermeiden |to avoid destruction
eine Schuld gestehen |to confess a guilt
eine Kerze anzünden |to light a candle
an einer Konferenz teilnehmen |to attend a conference
ländliches Leben |rural life
im frühen Stadium |in the early stage
Unrecht erleiden |to suffer injustice
eine Versicherung abschließen |to take out insurance
Wurst essen |to eat sausage
anspruchsvolles Publikum |sophisticated audience
Bedenken haben |to have concerns
ein Cent finden |to find a cent
jemanden ermorden |to murder someone
geometrische Formen |geometric shapes
Geschwister streiten |siblings fight
sich gut kleiden |to dress well
über das Wasser ragen |to protrude over the water
Staub wischen |to wipe dust
unwahrscheinlich sein |to be unlikely
au rufen |to shout ouch
eine Idee aufgreifen |to take up an idea
jemanden beauftragen |to hire someone
ein Brand löschen |to extinguish a fire
eindringen in das Haus |to enter the house
die Erfüllung erleben |to experience fulfillment
das Examen bestehen |to pass the exam
ein Kristall formen |to form a crystal
partiell untersuchen |to investigate partially
eine Schale zerbrechen |to break a bowl
laut schimpfen |to rant loudly
ein Schiedsrichter pfeift |a referee whistles
einen Tanz lernen |to learn a dance
auf der Tastatur tippen |to type on the keyboard
das Universum erkunden |to explore the universe
vernetzte Systeme |networked systems
vierzehn Jahre |fourteen years
weitermachen mit der Arbeit |to continue working
von zu Hause abhauen |to run away from home
eine Ablehnung erhalten |to receive a rejection
Abwehr spielen |to play defense
über den Arsch lachen |to laugh at the ass
sich gut auskennen |to be well informed
die Globalisierung verstehen |to understand globalization
eine Kampagne starten |to launch a campaign
ein Handy klauen |to steal a phone
ins Rathaus gehen |to go to the town hall
schwule Freunde |gay friends
vom Thema ablenken |to distract from the topic
bemerkenswerte Leistung |remarkable performance
im Camp bleiben |to stay in the camp
einen Daumen zeigen |to show a thumb
einseitige Sichtweise |one-sided view
heimlich lauschen |to eavesdrop secretly
eine Geschichte nachvollziehen |to understand a story
in Nordrhein-Westfalen |in North Rhine-Westphalia
klaren Verstand |clear mind
zugunsten der Kinder |in favor of the children
eine Anmerkung machen |to make a remark
sich bewähren in der Krise |to prove oneself in a crisis
bundesweit bekannt |known nationwide
ein Projekt durchziehen |to see a project through
sich im Urlaub erholen |to recover on vacation
Kohlenstoffdioxid |carbon dioxide
eine Quote festlegen |to set a quota
eine Vorlage erstellen |to create a draft
ein Vorzeichen erkennen |to recognize a sign
Zugriff verweigert |access denied
aromatischer Kaffee |aromatic coffee
der Grenzwert überschreiten |to exceed the threshold
eine Großstadt besuchen |to visit a large city
einen Punkt hervorheben |to emphasize a point
ein Lokal eröffnen |to open a pub
um Mitternacht |at midnight
thermische Energie |thermal energy
die Geschwindigkeit vermindern |to reduce the speed
verwandte Themen |related topics
die Beschleunigung erhöhen |to increase the acceleration
der Bundespräsident spricht |the Federal President speaks
eine Erfindung machen |to make an invention
eine Fliege fangen |to catch a fly
ein starkes Immunsystem |a strong immune system
eine Blase platzen |to burst a bubble
eine Pressekonferenz geben |to hold a press conference
ein Gericht servieren |to serve a dish
im Sessel sitzen |to sit in the armchair
ein Strahl der Sonne |a ray of the sun
Anwesenheit erforderlich |presence required
der Bube spielt |the boy plays
Geldpolitik diskutieren |to discuss financial policy
gewissermaßen richtig |somewhat correct
ein Ingenieur arbeitet |an engineer works
ein Manuskript schreiben |to write a manuscript
Nacherfüllung fordern |to demand supplementary performance
eine sachliche Diskussion |an objective discussion
ein Ausschuss bildet |to form a committee
|
eine Spaltung vermeiden |to avoid a split
Antibiotika einnehmen |to take antibiotics
eine Anweisung geben |to give an instruction
einen Ausflug planen |to plan a trip
außergewöhnliche Umstände |extraordinary circumstances
eine Baustelle besuchen |to visit a construction site
einen Index erstellen |to create an index
eine Kiste tragen |to carry a crate
ein Kölner spricht |a person from Cologne speaks
ein Pariser Leben|a Parisian life
laut schimpfen|to rant loudly
eine Sicherung reparieren|to repair a fuse
eine steile Steigung|a steep slope
das Buch wegnehmen|to take away the book
worum geht es|what is it about
auf dem Balkon|on the balcony
bar bezahlen|to pay in cash
ein Business starten|to start a business
ein Duell fordern|to demand a duel
jemanden erfreuen|to please someone
einen Markt erschließen|to develop a market
ein Gewehr laden|to load a rifle
am Mittelmeer|at the Mediterranean Sea
ein Tuch falten|to fold a cloth
die Arbeit vereinfachen|to simplify the work
eine Wende erleben|to experience a change
eine Agentur gründen|to establish an agency
ein starkes Bündnis|a strong alliance
flüchtig schauen|to glance fleetingly
Geographie studieren|to study geography
ein Lebewesen schützen|to protect a living being
im Ozean schwimmen|to swim in the ocean
in Pakistan leben|to live in Pakistan
in Rheinland-Pfalz|in Rhineland-Palatinate
der industrielle Sektor|the industrial sector
umsonst arbeiten|to work for free
eine verdächtige Person|a suspicious person
zuverlässige Informationen|reliable information
Geld abheben|to withdraw money
alltägliche Aufgaben|daily tasks
ein Bild anbringen|to affix a picture
der Gefahr entgehen|to escape the danger
eine Fortsetzung schreiben|to write a continuation
lauter Freunde|nothing but friends
ein Mediziner spricht|to speak to a doctor
durch einen Tunnel|through a tunnel
ein Assistent helfen|an assistant helps
eine Differenzierung machen|to make a differentiation
drastische Maßnahmen|drastic measures
gleichmäßige Bewegungen|regular movements
die Wahrheit hinnehmen|to accept the truth
in Mexiko leben|to live in Mexico
die Moderne erforschen|to explore modernism
molekulare Strukturen|molecular structures
in der Nachbarschaft|in the neighborhood
der Siedepunkt erreichen|to reach the boiling point
stationäre Behandlung|inpatient treatment
die Taliban bekämpfen|to fight the Taliban
brutale Gewalt|brutal violence
ehrenamtliche Arbeit|voluntary work
großzügige Spende|generous donation
Redaktion betreiben|to run an editorial office
der Schweiß tropft|the sweat drips
ein Spruch sagen|to say a slogan
strikte Regeln|strict rules
eine Befragung durchführen|to conduct a survey
die Einzige Möglichkeit|the only option
eine Eizelle befruchten|to fertilize an ovum
fit bleiben|to stay fit
Flüchtlingspolitik entwickeln|to develop refugee policy
ein Haufen Arbeit|a heap of work
eine Infektion vermeiden|to avoid an infection
einen Keks essen|to eat a cookie
verschiedene Sorten|different kinds
zueinander passen|to match each other
einen Container beladen|to load a container
gelassen reagieren|to react calmly
ein Live-Konzert|a live concert
eine Mutation entdecken|to discover a mutation
sozialistische Ideen|socialist ideas
eine Krise überstehen|to survive a crisis
eine Vermutung äußern|to express an assumption
aufspringen vor Freude|to jump up with joy
ein Stück Käse|a piece of cheese
losgehen auf eine Reise|to start a journey
ein großes Maul|a big mouth
laut protestieren|to protest loudly
sich schämen für|to be ashamed of
in den Alpen|in the Alps
eine Berufung einlegen|to file an appeal
eine Einteilung vornehmen|to make a classification
Eintritt bezahlen|to pay admission
die Geliebte treffen|to meet the lover
ein Gramm messen|to measure a gram
eine Hüfte verletzen|to injure a hip
neulich gesehen|recently seen
regelrecht unfair|downright unfair
ein Gesetz verankern|to enshrine a law
einen Zähler ablesen|to read a meter
Kunden befriedigen|to satisfy customers
ein Problem beseitigen|to eliminate a problem
der Gründer des Unternehmens|the founder of the company
ein Orchester dirigieren|to conduct an orchestra
reguläre Zeiten|regular times
ein türkischer Freund|a Turkish friend
ukrainische Kultur|Ukrainian culture
eine Meinung unterdrücken|to suppress an opinion
einen Raum unterteilen|to divide a room
ein Gesicht verziehen|to twist a face
eine Bestellung aufgeben|to place an order
einschließlich der Kosten|including the costs
ein Glied bewegen|to move a limb
Migration fördern|to promote migration
ein moderner Roboter|a modern robot
eine Bitte äußern|to express a request
eine Blüte pflücken|to pick a blossom
elektromagnetische Felder|electromagnetic fields
inmitten der Stadt|in the middle of the city
abschließende Bemerkung|concluding remark
das Buch aufschlagen|to open the book
die Glocke läuten|to ring the bell
Informatik studieren|to study computer science
starker Niederschlag|heavy precipitation
örtliche Nachrichten|local news
die Hand streifen|to brush the hand
ein großer Topf|a large pot
tiefe Enttäuschung|deep disappointment
Kinder ernähren|to nourish children
prominente Gäste|prominent guests
die Sowjetunion|the Soviet Union
afrikanische Länder|African countries
rechtliche Beschränkung|legal restriction
eine Genehmigung erhalten|to obtain a permit
eine helle Lampe|a bright lamp
hohe Moral|high moral
philosophische Fragen|philosophical questions
sich verständigen|to communicate
eine Willenserklärung abgeben|to make a declaration of intent
an Gott zweifeln|to doubt God
das Gespräch dauert an|the conversation continues
sich aufrichten|to straighten up
Milch auslaufen|milk leaks
einverstanden sein|to be in agreement
fachliche Kompetenz|professional competence
ein altes Märchen|an old fairy tale
diktatorisches Regime|dictatorial regime
der menschliche Schädel|the human skull
auf Medizin spezialisieren|to specialize in medicine
die Farbe variieren|to vary the color
der König der Löwen|the king of the lions
ein Operator bedienen|to operate a machine
eine erfolgreiche Partnerschaft|a successful partnership
ein Pfund Butter|a pound of butter
gute Unterhaltung|good entertainment
alte Gebäude zerfallen|old buildings decay
einen Plan zustande bringen|to bring about a plan
eine Schicht ablösen|to take over a shift
allenfalls zehn Euro|at most ten euros
ein Ereignis bleibt aus|an event fails to appear
Bücher besorgen|to provide books
binnen einer Woche|within a week
einstige Freunde|former friends
einen Plan entgegensetzen|to oppose a plan
eine Inszenierung sehen|to see a production
ein großes Kraftwerk|a large power plant
das Nervensystem|the nervous system
nördliche Regionen|northern regions
das obige Bild|the above picture
skeptische Blicke|skeptical looks
die Arbeit überwachen|to monitor the work
die UNO|the UN
woanders hinfahren|to go somewhere else
den Zähler ablesen|to read the meter
eine Kerze anzünden|to light a candle
ärztliche Untersuchung|medical examination
ein mächtiger Fürst|a powerful prince
geschickt arbeiten|to work skillfully
mittelalterliche Burg|medieval castle
das Volk repräsentieren|to represent the people
ein geheimes Rezept|a secret recipe
ein schwerer Sack|a heavy sack
Thüringen besuchen|to visit Thuringia
anorganische Chemie|inorganic chemistry
eine Antwort ausstehen|to await an answer
das Bundesamt besuchen|to visit the federal office
die Tür einschließen|to lock the door
ein roter Faden|a red thread
hunderttausend Menschen|one hundred thousand people
der Oberschenkelknochen|the thigh bone
eine große Schlacht|a big battle
sinnlose Gewalt|meaningless violence
nach Erfolg streben|to strive for success
ein komplexer Algorithmus|a complex algorithm
den Raum beleuchten|to illuminate the room
Zeitung drucken|to print a newspaper
leicht erreichbar|easily reachable
die Arbeit erschweren|to complicate the work
eine rote Fahne|a red flag
in Panik geraten|to panic
populäre Musik|popular music
schnelle Rotation|rapid rotation
Gefahren unterschätzen|to underestimate dangers
eine Vereinigung gründen|to establish an association
ein Anleger investieren|an investor invests
der Dünndarm|the small intestine
ein Land erobern|to conquer a country
die Fassade renovieren|to renovate the facade
ein klarer Favorit|a clear favorite
ein großes Plakat|a large poster
auf der Terrasse|on the terrace
einen Arzt aufsuchen|to visit a doctor
intensiv forschen|to do intensive research
einen Gesetzentwurf einreichen|to submit a bill
intellektuelle Gespräche|intellectual conversations
legendäre Geschichten|legendary stories
spannende Lektüre|exciting reading
motorische Fähigkeiten|motor skills
nunmehr entschieden|now decided
eine Richtlinie befolgen|to follow a guideline
ein einfacher Trick|a simple trick
ein Tropfen Wasser|a drop of water
ein Gesetz abschaffen|to abolish a law
den Lohn anheben|to raise the wage
die Natur bewundern|to admire nature
eine alte Burg|an old castle
ein schützender Engel|a guardian angel
ein klares Fazit|a clear conclusion
Emotionen hervorrufen|to evoke emotions
Urlaub in Irland|vacation in Ireland
die Mechanik verstehen|to understand mechanics
ein guter Psychologe|a good psychologist
ein Lied abspielen|to play a song
eine Erhebung durchführen|to conduct a survey
aus der Menge herausragen|to stand out from the crowd
eine Szene inszenieren|to stage a scene
laut klatschen|to clap loudly
ein interessantes Magazin|an interesting magazine
aufmerksame Zuhörer|attentive listeners
sich über etwas beschweren|to complain about something
den Erwartungen entgegenkommen|to meet expectations
in großer Hast|in great haste
die Treppe hinauf|up the stairs
den Zugang hindern|to prevent access
den Müll loswerden|to get rid of the trash
mildes Wetter|mild weather
eine kleine Minderheit|a small minority
die Prävention fördern|to promote prevention
die Blase schrumpfen|to shrink the bubble
ein Geräusch vernehmen|to hear a sound
über das Land erstrecken|to extend over the land
ein treuer Genosse|a loyal comrade
öh, was meinst du|uh, what do you mean
ein Thüringer Würstchen|a Thuringian sausage
ein Lied vortragen|to perform a song
das menschliche Hirn|the human brain
ein spitzer Pfeil|a sharp arrow
ein Schuldner bezahlen|a debtor pays
eine Überprüfung machen|to conduct an inspection
in tiefer Verzweiflung|in deep desperation
die vorigen Seiten|the previous pages
eine Anweisung geben|to give an instruction
Bargeld abheben|to withdraw cash
ein belgisches Bier|a Belgian beer
sich nach dem Weg erkundigen|to inquire about the way
ein großes Format|a large format
durch enge Gassen|through narrow alleys
ein wichtiger Gesichtspunkt|an important point of view
glänzende Augen|shining eyes
das Originaldokument|the original document
die ÖVP-Mitglieder|the ÖVP members
höchste Priorität|highest priority
ein schmerzhafter Stich|a painful sting
verschiedene Variationen|different variations
ein spannender Wettkampf|an exciting competition
eine unbekannte Fremde|an unknown stranger
an der Wand haften|to adhere to the wall
eine horizontale Linie|a horizontal line
sich im Datum irren|to be wrong about the date
kriminelle Aktivitäten|criminal activities
in Ruinen verfallen|to fall into ruins
vorzeitiger Abbruch|premature termination
ein Unternehmen ansiedeln|to establish a company
der beste Bewerber|the best applicant
die gesamte Breite|the entire width
den Fehler einsehen|to realize the mistake
die Epoche des Barock|the Baroque era
eine laute Explosion|a loud explosion
wie ein Idiot benehmen|to behave like an idiot
eine schöne Kulisse|a beautiful backdrop
eine schnelle Lieferung|a quick delivery
nachvollziehbare Gründe|plausible reasons
spürbare Veränderungen|noticeable changes
ein sauberer Stall|a clean stable
motivierte Arbeitskräfte|motivated workers
die heilige Bibel|the holy Bible
gemeinsame Interessen|common interests
ein seltsames Gemisch|a strange mixture
schlanke Figur|slim figure
der ganze Dreck|all the dirt
schnell eilen|to hurry quickly
sich dem Schicksal fügen|to comply with fate
heuer im Sommer|this summer
die ewige Hölle|eternal hell
quadratische Form|square shape
philosophische Reflexion|philosophical reflection
solide Bauweise|solid construction
unauffälliges Verhalten|inconspicuous behavior
ein kleiner Zwerg|a little dwarf
eine kurze Anmerkung|a short comment
ein großer Anreiz|a big incentive
klare Ausrichtung|clear orientation
Daten auswerten|to evaluate data
Kosten ersparen|to save costs
homogene Gruppe|homogeneous group
den Termin nachkommen|to meet the deadline
die Diabetes-Diagnose|the diabetes diagnosis
moderne Fotografie|modern photography
eine große Galerie|a large gallery
die Haftbedingungen|detention conditions
die abstrakte Malerei|abstract painting
freie Marktwirtschaft|free market economy
eine bunte Maske|a colorful mask
mmh, lecker|mmh, tasty
eine Präsentation halten|to give a presentation
unerträglicher Schmerz|unbearable pain
den Brief zerreißen|to tear up the letter
zwangsläufige Konsequenzen|inevitable consequences
sich betrinken|to get drunk
tödliche Furcht|deadly fear
ein altes Klavier|an old piano
kommunale Verwaltung|municipal administration
der Landkreis Augsburg|the district of Augsburg
die Fußballmeisterschaft|the soccer championship
ein moderner Neubau|a modern new building
die Umwelt schädigen|to damage the environment
eine spannende Schau|an exciting show
die Bedeutung unterstreichen|to emphasize the importance
den Urlaub vorziehen|to prefer the vacation
eine gefährliche Bande|a dangerous gang
behindertes Kind|handicapped child
große Bemühungen|great efforts
die feindliche Besetzung|the hostile occupation
ein schweres Bündel|a heavy bundle
die Stimmung dämpfen|to dampen the mood
die FPÖ-Politik|the FPÖ policy
tödliches Gift|deadly poison
der rote Knopf|the red button
das erste Lebensjahr|the first year of life
wichtige News|important news
ein detailliertes Profil|a detailed profile
eine alte Siedlung|an old settlement
signifikante Unterschiede|significant differences
eine Stellungnahme abgeben|to give a statement
ein schwerer Sturz|a severe fall
unbewusste Reaktionen|unconscious reactions
ein schwerer Verstoß|a serious violation
voraussichtliche Ankunft|probable arrival
die Arbeit würdigen|to appreciate the work
den Antrag zurückweisen|to reject the application
hausmüll|household waste
ein überzeugter Demokrat|a committed democrat
der Katalysator des Wandels|the catalyst of change
die steile Piste|the steep slope
der Senat beschließt|the senate decides
die Stasi überwacht|the state security service monitors
ein Tier streicheln|to pet an animal
überlegen sein|to be superior
ein Formular ausfüllen|to fill out a form
gute Betreuung bieten|to provide good care
pünktlich eintreffen|to arrive on time
einen Kuchen backen|to bake a cake
junger Nachwuchs|young offspring
für Frieden plädieren|to plead for peace
jemanden trösten|to comfort someone
soziale Ungleichheit|social inequality
der Verteidiger argumentiert|the defense counsel argues
ein Einkaufscenter besuchen|to visit a shopping center
festen Halt finden|to find a firm hold
ein Handwerk erlernen|to learn a craft
humanitäre Hilfe|humanitarian aid
ein kurzes Intervall|a short interval
naiv handeln|to act naively
Rentner genießen|pensioners enjoy
eine breite Skala|a wide range
sogleich antworten|to answer immediately
ein Substantiv verwenden|to use a noun
ein Testament aufsetzen|to write a will
Algebra lernen|to learn algebra
einen Brief befördern|to transport a letter
eine Musikbox|a speaker
gänzlich zustimmen|to agree entirely
ein Gremium bilden|to form a committee
die Treppe hinunter|down the stairs
soeben angekommen|just arrived
eine neue Sportart|a new sport
Tirol besuchen|to visit Tyrol
richtige Zuordnung|correct classification
asiatische Küche|Asian cuisine
eine Biografie schreiben|to write a biography
blutige Verletzungen|bloody injuries
Erwerb von Land|acquisition of land
ein Hindernis überwinden|to overcome an obstacle
inwieweit zutreffend|to what extent applicable
römische Geschichte|Roman history
weitaus besser|much better
deutsche Wiedervereinigung|German reunification
pünktliche Abfahrt|timely departure
eine Anleihe aufnehmen|to take out a loan
auswärtige Angelegenheiten|external affairs
elastisches Material|elastic material
einem Dieb entkommen|to escape a thief
ein Buch herausgeben|to publish a book
ein markantes Kinn|a prominent chin
nahelegen zu gehen|to suggest leaving
Naturwissenschaft studieren|to study natural science
seitens der Regierung|by the government
verbal ausdrücken|to express verbally
eine Versuchsperson|a test subject
eine Wanderung machen|to go on a hike
mit dem Zeigefinger zeigen|to point with the index finger
zwischendurch essen|to eat in between
ein vorsichtiger Autofahrer|a cautious driver
sich gut benehmen|to behave well
ein seltener Einzelfall|a rare individual case
gängige Praxis|common practice
ein erfahrener Jäger|an experienced hunter
kommunikative Fähigkeiten|communicative skills
ein wissenschaftlicher Kongress|a scientific congress
letzterer ist besser|the latter is better
nebeneinander sitzen|to sit next to each other
eine enge Passage|a narrow passage
das Wasser strömt|the water flows
zeitgenössische Kunst|contemporary art
eine Vase zerbrechen|to break a vase
einen Aufsatz schreiben|to write an essay
Brandenburg erkunden|to explore Brandenburg
ein komplexes Diagramm|a complex diagram
Erleichterung fühlen|to feel relief
ein bekannter Historiker|a well-known historian
innovative Ideen|innovative ideas
kollektive Anstrengungen|collective efforts
nüchtern bleiben|to stay sober
ungeheure Kräfte|tremendous forces
ein Vorurteil haben|to have a prejudice
eine deutliche Warnung|a clear warning
ein gutes Zeugnis|a good report
das Licht anmachen|to turn on the light
eine neue App|a new app
derzeitig im Amt|currently in office
Einblick gewinnen|to gain insight
Daten eingeben|to enter data
Evolution verstehen|to understand evolution
ein gigantischer Baum|a gigantic tree
eine Nervenzelle|a nerve cell
überflüssige Dinge|unnecessary things
Arbeit einteilen|to organize work
eine Feststellung treffen|to make an assessment
pünktlich losfahren|to depart on time
eine Pistole tragen|to carry a pistol
den Kanal schalten|to switch the channel
sowjetische Geschichte|Soviet history
einen Patienten überführen|to transfer a patient
verbindliche Regeln|binding rules
anstelle von Milch|instead of milk
jemanden beleidigen|to insult someone
ein treuer Diener|a loyal servant
konventionelle Methoden|conventional methods
ein freies Neutron|a free neutron
organisatorische Aufgaben|organizational tasks
reife Früchte|ripe fruits
ein langer Stab|a long staff
ein Auto überholen|to overtake a car
die Gruppe vorangehen|to lead the group
anderswo wohnen|to live elsewhere
empfindliche Haut|sensitive skin
private Finanzen|personal finances
hilflose Lage|helpless situation
Mist aufräumen|to clean up manure
in den Fluss münden|to flow into the river
Physiologie studieren|to study physiology
ein schönes Porträt|a beautiful portrait
eine erfolgreiche Premiere|a successful opening night
Schadenersatz fordern|to demand compensation
lauter Schrei|loud scream
Schwangerschaft verkünden|to announce pregnancy
der Staatsanwalt ermittelt|the public prosecutor investigates
Transfer von Spielern|transfer of players
die Zeit verkürzen|to shorten the time
Unfall vorbeugen|to prevent an accident
ein witziger Kommentar|a funny comment
Annäherung an Ziele|approach to goals
blasen den Staub|to blow the dust
ein Exemplar kaufen|to buy a copy
ein Fond auflegen|to set up a fund
logische Schlussfolgerung|logical conclusion
Müll entsorgen|to dispose of trash
rational denken|to think rationally
ein Vergnügen haben|to have a pleasure
fließendes Wasser|flowing water
Lebensmittel konsumieren|to consume food
naturwissenschaftliche Forschung|scientific research
Ökonomie studieren|to study economics
ein Musikfestival|a music festival
ein Buch hinlegen|to lay down a book
ein Landwirt arbeitet|a farmer works
einen Laptop benutzen|to use a laptop
die Glocke läuten|to ring the bell
Neugier wecken|to arouse curiosity
wichtige Notiz|important note
eine Rakete starten|to launch a rocket
den Rasen mähen|to mow the lawn
einen Traum verwirklichen|to fulfill a dream
Poster befestigen|to attach posters
einen Datensatz analysieren|to analyze a data set
eine Situation dulden|to tolerate a situation
einen Kurs durchlaufen|to go through a course
ein Erdbeben erschüttern|an earthquake shakes
gleichermaßen behandeln|to treat equally
gleichwohl wichtig|nevertheless important
eine Kabine buchen|to book a cabin
pädagogische Methoden|pedagogical methods
Schokolade essen|to eat chocolate
mit dem Sekretär sprechen|to talk with the secretary
Hilfe signalisieren|to signal for help
im Hotel übernachten|to stay overnight in the hotel
eine Veranstaltung organisieren|to organize an event
militärische Verstärkung|military reinforcement
eine Aufgabe zuweisen|to assign a task
eine schnelle Bearbeitung|fast processing
den Gegner besiegen|to defeat the opponent
ein Bürgerkrieg ausbricht|a civil war breaks out
derweil arbeiten|working meanwhile
einen Lastwagen fahren|to drive a truck
Soldaten marschieren|soldiers march
ein Lied pfeifen|to whistle a song
die Straße überqueren|to cross the street
wie ein Arschloch benehmen|to behave like an asshole
eine gewagte Behauptung|a bold claim
eine sanfte Berührung|a gentle touch
ein politischer Diskurs|a political discourse
dominante Rolle|dominant role
hohe Inflationsrate|high inflation rate
die Kreativität zeigen|to show creativity
einen Patienten operieren|to operate on a patient
mit einer Nadel stechen|to prick with a needle
ein antiker Tempel|an ancient temple
ein starkes Verb|a strong verb
eine Vertragsverlängerung|a contract extension
zwei Personen verwechseln|to confuse two people
ein beschädigtes Auto|a damaged car
giftige Pflanzen|poisonous plants
ein Talent hervorbringen|to produce a talent
hinreichende Beweise|sufficient evidence
eine Kette knüpfen|to tie a chain
das Seil loslassen|to let go of the rope
die Schmerzen nachlassen|to let up the pain
das Haus nebenan|the house next door
ein TV-Programm|a TV program
bestens vorbereitet|very well prepared
eine kalte Dusche|a cold shower
die zweite Etage|the second floor
eine Fachhochschule besuchen|to attend a technical college
ein berühmter Fotograf|a famous photographer
gehörlose Kinder|deaf children
den Klimawandel bekämpfen|to combat climate change
ein alter Mythos|an old myth
nirgends zu finden|nowhere to be found
Urlaub in Portugal|vacation in Portugal
ein gesunder Stoffwechsel|a healthy metabolism
ein Treffen verabreden|to arrange a meeting
eine Amtszeit beenden|to end a term of office
ein echter Berliner|a true Berliner
familiäre Atmosphäre|familial atmosphere
weite Reichweite|long range
ein riesiger Mann|a giant man
eine Tageszeitung abonnieren|to subscribe to a daily newspaper
technologische Innovationen|technological innovations
Wissen vertiefen|to deepen knowledge
antik Möbel|antique furniture
gute Ausstattung|good equipment
Mitarbeiter begünstigen|to favor employees
gesundheitliche Probleme|sanitary problems
konstruktive Kritik|constructive criticism
die rechtlichen Verbindlichkeiten|legal obligations
eine Initiative vorantreiben|to push forward an initiative
auf alte Methoden zurückgreifen|to fall back on old methods
jemanden zurücklassen|to leave someone behind
den Unterschied abgrenzen|to differentiate the difference
die hohen Aufwendungen|the high expenses
eine Geschichte ausdenken|to make up a story
technisch fähig|technically able
die Tiere füttern|to feed the animals
der Gesetzgeber verabschiedet|the legislator enacts
die Geräte koppeln|to link the devices
ein Seniorentreffen|a senior meeting
ein großes Studio|a large studio
die Verbreitung von Nachrichten|the dissemination of news
die Zahlen addieren|to add the numbers
aus dem Verein austreten|to leave the club
bekanntlich schwierig|notoriously difficult
der Fluss Main|the Main river
neuerdings populär|recently popular
in einer Pension wohnen|to stay in a guesthouse
aus Rücksicht handeln|to act out of consideration
eine Reise nach Saudi-Arabien|a trip to Saudi Arabia
ein großer Triumph|a great triumph
unterdessen arbeiten|meanwhile working
um des Friedens willen|for the sake of peace
der Atomkern spaltet sich|the atomic nucleus splits
ein ausgesprochenes Talent|an exceptional talent
einen Notfall ausrufen|to call out an emergency
sich bewaffnen|to arm oneself
sein Enkelkind|his grandchild
eine alte Legende|an old legend
die Pflege von Patienten|the care of patients
stets präsent|always present
gründliche Recherche|thorough research
die Wirtschaft stimulieren|to stimulate the economy
den Vertrieb fördern|to promote the sales
ein vornehmes Hotel|a fine hotel
bedeutsame Ereignisse|significant events
evangelische Kirche|Protestant church
eine Illusion zerstören|to destroy an illusion
am Himmel kreisen|to circle in the sky
nachdenklich sein|to be thoughtful
ein Sozialdemokrat|a Social Democrat
eine Struktur schaffen|to create a structure
eine starke Allianz|a strong alliance
hohe Arbeitslosenquote|high unemployment rate
einen Kuchen backen|to bake a cake
der Benutzer meldet sich an|the user logs in
ein glückliches Ehepaar|a happy couple
ein musikalisches Ensemble|a musical ensemble
die Handschrift lesen|to read the handwriting
eine traurige Miene|a sad expression
auf dem Motorrad fahren|to ride the motorbike
Nordkorea besuchen|to visit North Korea
pünktlich ankommen|to arrive on time
einen Gegenstand anfassen|to touch an object
einen Dialekt sprechen|to speak a dialect
diplomatische Beziehungen|diplomatic relations
hohe Effizienz|high efficiency
das Haar färben|to dye the hair
ein ärztliches Gutachten|a medical report
ein mutiger Kämpfer|a brave fighter
auf das Klo gehen|to go to the toilet
einen Code knacken|to crack a code
ein lauter Knall|a loud bang
eine Reise nach Kuba|a trip to Cuba
oberflächlich analysieren|to analyze superficially
parlamentarische Debatte|parliamentary debate
semantische Bedeutung|semantic meaning
von Emotionen überwältigen|to be overwhelmed by emotions
jemandem ähneln|to resemble someone
einen Beleg aufbewahren|to keep a receipt
eine volle Blase|a full bladder
die Energiewirtschaft regulieren|to regulate the energy industry
ins Halbfinale kommen|to reach the semi-final
der Oberbürgermeister spricht|the mayor speaks
an der Rezeption fragen|to ask at the reception
Tennis spielen|to play tennis
ein Entwicklungsland unterstützen|to support a developing nation
auf die Jagd gehen|to go hunting
mit einer Puppe spielen|to play with a doll
einen Spaziergang machen|to take a walk
über einen Stein stolpern|to trip over a stone
zeitweise regnen|to rain temporarily
einer Person etwas zuschreiben|to attribute something to a person
eine Auszeichnung erhalten|to receive an award
