|part_of_speech|word_de|word_pl_de|sentence_de|word_en|sentence_en
3773|das|das Schaf||Das weiße Schaf grast auf der Wiese.|sheep|The white sheep is grazing in the meadow.
3774|adj|schuldig||Er fühlte sich schuldig für den Fehler.|guilty|He felt guilty for the mistake.
3775|das|das Tagebuch||Sie schreibt täglich in ihr Tagebuch.|diary|She writes in her diary every day.
3776|verb|zielen, zielt, zielte, hat gezielt||Der Schütze zielt genau auf die Mitte.|to aim|The shooter aims directly at the center.
3777|adj|elementar||Elementare Kenntnisse sind erforderlich.|elementary, basic|Basic knowledge is required.
3778|adv|nebenbei||Nebenbei arbeitet er als Autor.|on the side, in addition|He works as an author on the side.
3779|der|der Ökonom||Der Ökonom analysiert die Daten.|economist|The economist analyzes the data.
3780|das|das Versprechen||Das Versprechen wurde nicht gehalten.|promise|The promise was not kept.
3781|das|das Werkzeug||Das Werkzeug liegt in der Kiste.|tool|The tool is in the box.
3782|das|das Adjektiv||Das Adjektiv beschreibt das Nomen.|adjective|The adjective describes the noun.
3783|verb|bremsen, bremst, bremste, hat gebremst||Er bremste das Auto scharf ab.|to brake, slow down|He braked the car sharply.
3784|verb|einbauen, baut ein, baute ein, hat eingebaut||Er hat eine neue Tür eingebaut.|to install, build in, fit|He installed a new door.
3785|adj|final (er, e, es)||Die finale Runde entschied das Spiel.|final|The final round decided the game.
3786|das|das Getränk||Das Getränk schmeckte erfrischend.|drink, beverage|The drink tasted refreshing.
3787|adv|hierzulande||Hierzulande gibt es viele Bräuche.|in these parts, in this country, round here|There are many customs in this country.
3788|adj|physiologisch||Die physiologische Reaktion war normal.|physiological|The physiological reaction was normal.
3789|die|die Unternehmung||Die Unternehmung war ein voller Erfolg.|company, venture, enterprise|The venture was a complete success.
3790|verb|vorlesen, liest vor, las vor, hat vorgelesen||Er las den Kindern eine Geschichte vor.|to read sth to sb|He read a story to the children.
3791|verb|berechtigen, berechtigt, berechtigte, hat berechtigt||Das Ticket berechtigt zum Eintritt.|to entitle|The ticket entitles you to entry.
3792|der|der Bruch||Der Bruch im Knochen heilte langsam.|fracture, break|The fracture in the bone healed slowly.
3793|adj|endlos||Die Diskussion schien endlos zu sein.|endless, infinite|The discussion seemed endless.
3794|die|die Erweiterung||Die Erweiterung des Hauses begann.|expansion, extension|The expansion of the house began.
3795|die|die Lüge||Die Lüge wurde schnell entlarvt.|lie|The lie was quickly exposed.
3796|der|der Reichtum||Reichtum bringt nicht immer Glück.|wealth|Wealth does not always bring happiness.
3797|das|das Schema||Das Schema war schwer zu verstehen.|scheme|The scheme was hard to understand.
3798|verb|spiegeln, spiegelt, spiegelte, hat gespiegelt||Der Spiegel spiegelt das Licht.|to shine, reflect|The mirror reflects the light.
3799|adj|städtisch||Das städtische Leben ist hektisch.|municipal, urban|Urban life is hectic.
3800|verb|wandeln, wandelt, wandelte, ist gewandelt||Die Stadt wandelte sich über die Jahre.|to change, convert|The city changed over the years.
3801|adj|harmlos||Ein harmloser Fehler fiel niemandem auf.|harmless|A harmless mistake went unnoticed.
3802|adj|reichlich||Das reichliche Essen machte alle satt.|plenty, generous|The generous meal made everyone full.
3803|verb|ringen, ringt, rang, hat gerungen||Er rang lange mit der Entscheidung.|to wrestle, struggle|He struggled with the decision for a long time.
3804|adj|spektakulär||Das Feuerwerk war spektakulär.|spectacular|The fireworks were spectacular.
3805|verb|stabilisieren, stabilisiert, stabilisierte, hat stabilisiert||Die Maßnahmen stabilisierten die Lage.|to stabilize|The measures stabilized the situation.
3806|der|der Strich||Der Strich im Bild war sehr fein.|stroke, line|The line in the picture was very fine.
3807|der|der Wirt||Der Wirt serviert uns das Abendessen.|host, innkeeper|The host serves us dinner.
3808|die|die Addition||Die Addition dieser Zahlen ist einfach.|addition, summation|The addition of these numbers is simple.
3809|verb|besagen, besagt, besagte, hat besagt||Die Regeln besagen das Gegenteil.|to say|The rules say the opposite.
3810|die|die Geduld||Die Geduld zahlt sich am Ende aus.|patience|Patience pays off in the end.
3811|die|die Innenstadt||Die Innenstadt ist abends belebt.|town center, downtown|The downtown area is lively in the evening.
3812|die|die Konstruktion||Die Konstruktion war äußerst stabil.|construction, design|The construction was extremely stable.
3813|das|das Lehrbuch||Das Lehrbuch erklärt alles gut.|textbook|The textbook explains everything well.
3814|verb|siegen, siegt, siegte, hat gesiegt||Das Team siegte trotz aller Hindernisse.|to win, triumph|The team triumphed despite all obstacles.
3815|die|die Stichprobe||Die Stichprobe ist repräsentativ.|sample|The sample is representative.
3816|verb|trocknen, trocknet, trocknete, hat getrocknet||Die Kleidung trocknet schnell.|to dry|The clothes dry quickly.
3817|der|der Vorsprung||Der Vorsprung schrumpfte schnell.|lead, advance|The lead quickly shrank.
3818|adv|vorwiegend||Er isst vorwiegend vegetarisch.|mainly|He mainly eats vegetarian.
3819|verb|bekennen, bekennt, bekannte, hat bekannt||Er bekennt sich zu seinen Fehlern.|to confess, admit|He admits to his mistakes.
3820|adj|dauernd||Der dauernde Regen nervte uns.|constant, lasting|The constant rain annoyed us.
3821|adj|eigenständig||Sie führt ein eigenständiges Leben.|independent|She leads an independent life.
3822|adj|elegant||Die elegante Frau betrat den Raum.|elegant|The elegant woman entered the room.
3823|die|die Haftung||Die Haftung auf Eis war schlecht.|liability|The traction on ice was poor.
3824|adj|mutmaßlich||Der mutmaßliche Täter wurde gefasst.|presumed, suspected|The suspected perpetrator was caught.
3825|adv|vergleichsweise||Vergleichsweise ist das günstig.|comparatively|Comparatively, this is inexpensive.
3826|adj|vermehrt||Vermehrter Regen verzögert den Verkehr.|increased|Increased rain is delaying traffic.
3827|verb|bedauern, bedauert, bedauerte, hat bedauert||Er bedauert seine Entscheidung sehr.|to regret, feel sorry|He deeply regrets his decision.
3828|verb|begeben (sich), begibt, begab, hat begeben||Er begab sich auf eine lange Reise.|to proceed|He embarked on a long journey.
3829|verb|durchgehen, geht durch, ging durch, ist durchgegangen||Er ging den Plan noch einmal durch.|to go through, pass, bolt|He went through the plan once more.
3830|verb|vorschreiben, schreibt vor, schrieb vor, hat vorgeschrieben||Der Arzt schrieb eine strenge Diät vor.|to dictate|The doctor prescribed a strict diet.
3831|verb|zutrauen, traut zu, traute zu, hat zugetraut||Man traute ihm diese Aufgabe zu.|to dare to do sth|They entrusted him with this task.
3832|adv|abseits||Er stand abseits und beobachtete.|offside, off the beaten track|He stood aside and observed.
3833|adj|asymmetrisch||Ihr Gesicht war leicht asymmetrisch.|asymmetric|Her face was slightly asymmetric.
3834|adj|bescheiden||Der bescheidene Mann lehnte das Lob ab.|modest|The modest man declined the praise.
3835|verb|entfallen, entfällt, entfiel, ist entfallen||Der Termin entfiel wegen Krankheit.|to slip (sb’s mind), be dropped|The appointment was canceled due to illness.
3836|die|die FIFA||Die FIFA organisiert das Turnier.|FIFA|FIFA organizes the tournament.
3837|die|die Hemmung||Er überwand seine Hemmungen schnell.|inhibition|He quickly overcame his inhibitions.
3838|das|das Schlafzimmer||Das Schlafzimmer ist gemütlich.|bedroom|The bedroom is cozy.
3839|die|die Tragödie||Die Tragödie erschütterte alle.|tragedy|The tragedy shook everyone.
3840|die|die Wunde||Die Wunde heilte schneller als gedacht.|wound|The wound healed faster than expected.
3841|num|achtzehn||Die Schülerin ist achtzehn Jahre alt.|eighteen|The student is eighteen years old.
3842|das|das Chaos||Nach dem Fest herrschte das reine Chaos.|chaos|After the party, pure chaos reigned.
3843|die|die Krone||Die Krone des Königs ist aus Gold.|crown|The king's crown is made of gold.
3844|verb|reiben, reibt, rieb, hat gerieben||Er reibt den Käse über die Pasta.|to rub|He rubs the cheese over the pasta.
3845|der|der Reporter||Der Reporter stellte kritische Fragen.|reporter|The reporter asked critical questions.
3846|der|der Schluck||Er trank einen großen Schluck Wasser.|sip|He took a big sip of water.
3847|der|der Schock||Der Schock saß tief nach dem Unfall.|shock|The shock ran deep after the accident.
3848|verb|aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben||Er schrieb die Telefonnummer auf.|to write down|He wrote down the phone number.
3849|verb|reizen, reizt, reizte, hat gereizt||Die Diskussion reizt ihn zum Mitmachen.|to annoy, provoke, tempt|The discussion tempts him to participate.
3850|das|das Attribut||Das wichtigste Attribut war die Farbe.|adjunct, attribute|The most important attribute was the color.
3851|verb|aufreißen, reißt auf, riss auf, hat aufgerissen||Er reißt den Brief schnell auf.|to tear open|He tears the letter open quickly.
3852|die|die Diagnose||Die Diagnose war ein Schock für sie.|diagnosis|The diagnosis was a shock for her.
3853|verb|hinzukommen, kommt hinzu, kam hinzu, ist hinzugekommen||Ein weiteres Problem kam hinzu.|to be added, join|Another problem was added.
3854|adj|prinzipiell||Prinzipiell ist das Risiko gering.|in principle|In principle, the risk is low.
3855|verb|reflektieren, reflektiert, reflektierte, hat reflektiert||Der Spiegel reflektiert das Licht.|to reflect|The mirror reflects the light.
3856|die (pl)|die Unterlage|die Unterlagen|Die Unterlagen liegen auf dem Tisch.|documents|The documents are on the table.
3857|die|die Unterlage||Er nutzt eine Unterlage für seine Maus.|base, pad, document|He uses a pad for his mouse.
3858|verb|vernachlässigen, vernachlässigt, vernachlässigte, hat vernachlässigt||Er vernachlässigte seine Pflichten.|to neglect|He neglected his duties.
3859|verb|versinken, versinkt, versank, ist versunken||Er versank tief im weichen Sand.|to sink|He sank deep into the soft sand.
3860|verb|erhitzen, erhitzt, erhitzte, hat erhitzt||Er erhitzte das Wasser für den Tee.|to heat (up)|He heated the water for the tea.
3861|der|der Ersatz||Der Ersatz für das Gerät war notwendig.|replacement, compensation|The replacement for the device was necessary.
3862|die|die EU-Kommission||Die EU-Kommission plant neue Gesetze.|European Commission|The European Commission is planning new laws.
3863|adj|hessisch||Die hessische Küche ist bekannt.|Hessian|The Hessian cuisine is well-known.
3864|das|das Hessisch||Das Hessisch hat einen markanten Klang.|Hessian|The Hessian dialect has a distinctive sound.
3865|adj|passiv||Er blieb während der Diskussion passiv.|passive|He remained passive during the discussion.
3866|der|der Rauch||Der Rauch zieht durch das Fenster.|smoke, fume|The smoke drifts through the window.
3867|verb|stinken, stinkt, stank, hat gestunken||Der Müll stinkt nach faulen Eiern.|to stink|The garbage stinks of rotten eggs.
3868|interj|tschüss||Tschüss, bis morgen um dieselbe Zeit!|bye|Bye, see you tomorrow at the same time!
3869|der|der Vorgänger||Sein Vorgänger war erfolgreicher.|predecessor|His predecessor was more successful.
3870|verb|anstarren, starrt an, starrte an, hat angestarrt||Er starrt sie die ganze Zeit an.|to gaze, stare at|He stares at her all the time.
3871|adj|detailliert||Der Bericht war sehr detailliert.|detailed|The report was very detailed.
3872|die|die Fremdsprache||Die Fremdsprache beherrscht er fließend.|foreign language|He is fluent in the foreign language.
3873|das|das Gepäck||Das Gepäck wurde am Flughafen verloren.|luggage|The luggage was lost at the airport.
3874|adj|unglücklich||Er war unglücklich über den Verlust.|unhappy, unfortunate|He was unhappy about the loss.
3875|verb|wehen, weht, wehte, hat geweht||Ein kalter Wind weht durch die Stadt.|to blow, flutter|A cold wind blows through the city.
3876|verb|ausprobieren, probiert aus, probierte aus, hat ausprobiert||Sie will das neue Rezept ausprobieren.|to try out|She wants to try out the new recipe.
3877|verb|bewerben (sich), bewirbt, bewarb, hat beworben||Er bewirbt sich um die Stelle.|to apply|He is applying for the position.
3878|verb|erhoffen, erhofft, erhoffte, hat erhofft||Er erhofft sich bessere Ergebnisse.|to expect, hope for|He hopes for better results.
3879|die|die Feder||Die Feder ist leicht und weich.|feather|The feather is light and soft.
3880|die|die Feuerwehr||Die Feuerwehr löschte den Brand schnell.|fire brigade|The fire brigade extinguished the fire quickly.
3881|verb|fixieren, fixiert, fixierte, hat fixiert||Er fixiert den Blick auf das Ziel.|to fixate on sb/sth|He fixates on the target.
3882|das|das Gemälde||Das Gemälde hing im Museum an der Wand.|painting|The painting hung on the wall in the museum.
3883|das|das Heim||Er kehrte spät ins Heim zurück.|home, institution|He returned to the home late.
3884|verb|heranziehen, zieht heran, zog heran, hat herangezogen||Er zog Experten zur Beratung heran.|to consult, draw near|He consulted experts for advice.
3885|das|das Image||Das Image der Firma hat sich verbessert.|image|The company's image has improved.
3886|der|der Koch||Der Koch bereitete das Menü vor.|cook|The cook prepared the menu.
3887|der|der Stadtteil||Der Stadtteil hat viele Parks.|district|The district has many parks.
3888|der|der Träger||Der Träger des Preises hielt eine Rede.|strap, holder, responsible body|The award holder gave a speech.
3889|verb|verschärfen, verschärft, verschärfte, hat verschärft||Er verschärfte die Kontrollen.|to tighten, intensify|He intensified the controls.
3890|die|die Zunahme||Die Zunahme der Fälle beunruhigt.|increase|The increase in cases is concerning.
3891|verb|annähern, nähert an, näherte an, hat angenähert||Der Zug nähert sich dem Bahnhof.|to approach|The train is approaching the station.
3892|der|der Baron||Der Baron lud uns auf sein Schloss ein.|baron|The baron invited us to his castle.
3893|das|das Eigentum||Das Haus ist ihr persönliches Eigentum.|property|The house is her personal property.
3894|adj|gründlich||Die gründliche Untersuchung war teuer.|thorough|The thorough investigation was expensive.
3895|das|Sachsen-Anhalt||Sachsen-Anhalt liegt in Deutschland.|Saxony-Anhalt|Saxony-Anhalt is located in Germany.
3896|verb|umsehen, sieht um, sah um, hat umgesehen||Sie hat sich neugierig umgesehen.|to look (around)|She looked around curiously.
3897|prep|via||Wir senden die Nachricht via E-Mail.|via|We send the message via email.
3898|verb|abziehen, zieht ab, zog ab, hat abgezogen||Er zieht die Folie vorsichtig ab.|to take off, withdraw, subtract|He carefully removes the film.
3899|der|der Befund||Der Befund war leider positiv.|result, finding(s)|The finding was unfortunately positive.
3900|die|die Niederlande||Die Niederlande sind flach und grün.|the Netherlands|The Netherlands are flat and green.
3901|verb|schwanken, schwankt, schwankte, ist geschwankt||Die Lebensmittelpreise schwanken stark.|to vary|The food prices vary significantly.
3902|der|der Stoß||Er spürte einen Stoß im Rücken.|push, shock|He felt a push on his back.
3903|der|der Unsinn||Das ist doch absoluter Unsinn!|nonsense|That is absolute nonsense!
3904|die|die Wahlperiode||Die Wahlperiode endet nächstes Jahr.|term|The term ends next year.
3905|verb|blockieren, blockiert, blockierte, hat blockiert||Der Unfall blockierte den Verkehr.|to block|The accident blocked the traffic.
3906|das|das Defizit||Das Defizit wurde ausgeglichen.|deficit|The deficit was balanced.
3907|die|die Dynamik||Die Dynamik der Gruppe veränderte sich.|dynamics|The dynamics of the group changed.
3908|adv|nirgendwo||Der Obdachlose fand nirgendwo Hilfe.|nowhere|The homeless man found help nowhere.
3909|verb|umarmen, umarmt, umarmte, hat umarmt||Er umarmt seinen Freund zum Abschied.|to embrace|He embraces his friend for goodbye.
3910|die|die Vernunft||Die Vernunft siegt über die Emotionen.|reason|Reason triumphs over emotions.
3911|die|die Anregung||Ihre Anregung wurde gerne aufgenommen.|stimulus, idea|Her idea was gladly accepted.
3912|der|der Code||Der Code ist schwer zu knacken.|code|The code is hard to crack.
3913|adj|jetzig||Die jetzige Situation ist schwierig.|current|The current situation is difficult.
3914|verb|kommunizieren, kommuniziert, kommunizierte, hat kommuniziert||Wir kommunizieren oft per E-Mail.|to communicate|We often communicate via email.
3915|der|der Krebs||Der Krebs war schwer zu besiegen.|cancer|The cancer was hard to defeat.
3916|der|der Kühlschrank||Im Kühlschrank ist frische Milch.|fridge|There is fresh milk in the fridge.
3917|adj|lächerlich||Die Forderung war einfach lächerlich.|ridiculous|The demand was simply ridiculous.
3918|die|die Airline||Die Airline hat neue Flugzeuge bestellt.|airline|The airline ordered new planes.
3919|der|der Akt||Der letzte Akt des Dramas war tragisch.|act|The final act of the drama was tragic.
3920|adj|außerordentlich||Das war eine außerordentliche Leistung!|extraordinary|That was an extraordinary performance!
3921|der|der Empfang||Der Empfang verläuft reibungslos.|reception|The reception is going smoothly.
3922|adj|minimal||Die Unterschiede sind minimal.|minimal|The differences are minimal.
3923|der|der Nacken||Der Nacken schmerzte nach dem Training.|neck|His neck ached after the training.
3924|der|der Republikaner||Der Republikaner gewann die Wahl.|Republican|The Republican won the election.
3925|der|der Rhythmus||Der Rhythmus bleibt gleichmäßig.|rhythm|The rhythm remains steady.
3926|adj|unerwartet||Unerwartete Gäste trafen plötzlich ein.|unexpected|Unexpected guests suddenly arrived.
3927|die|die Unterschrift||Die Unterschrift fehlt auf dem Dokument.|signature|The signature is missing on the document.
3928|verb|anfallen, fällt an, fiel an, hat angefallen||Die Kosten fallen überraschend an.|to attack, accumulate|The costs accumulate unexpectedly.
3929|der|der Ausfall||Der Ausfall führte zu Verzögerungen.|failure, breakdown|The breakdown led to delays.
3930|verb|beantragen, beantragt, beantragte, hat beantragt||Er hat ein neues Visum beantragt.|to apply for|He applied for a new visa.
3931|adv|daheim||Er blieb den ganzen Tag daheim.|at home|He stayed at home all day.
3932|der|der Offizier||Der Offizier führte die Truppe an.|officer|The officer led the troops.
3933|der|der Protagonist||Der Protagonist kämpft tapfer.|protagonist|The protagonist fights bravely.
3934|verb|quälen, quält, quälte, hat gequält||Der Gedanke quält ihn seit Tagen.|to torment|The thought has tormented him for days.
3935|die|die Strömung||Die Strömung im Fluss ist stark.|current, trend|The current in the river is strong.
3936|verb|überfordern, überfordert, überforderte, hat überfordert||Der Test überfordert viele Schüler.|to overtax, be too much|The test is too much for many students.
3937|verb|dokumentieren, dokumentiert, dokumentierte, hat dokumentiert||Er dokumentierte den gesamten Prozess.|to document|He documented the entire process.
3938|die|die Gliederung||Die Gliederung des Textes war klar.|structure, organization|The structure of the text was clear.
3939|die|die Kartoffel||Die Kartoffel wurde weich gekocht.|potato|The potato was cooked soft.
3940|verb|schleichen, schleicht, schlich, ist geschlichen||Die Katze schlich sich herein.|to creep, prowl, sneak|The cat sneaked inside.
3941|verb|zulegen, legt zu, legte zu, hat zugelegt||Er legt beim Training ordentlich zu.|to gain, put on, get|He gains significantly during training.
3942|der|der Aktionär||Der Aktionär investierte klug.|shareholder|The shareholder invested wisely.
3943|verb|auseinandersetzen, setzt auseinander, setzte auseinander, hat auseinandergesetzt||Er setzt sich mit dem Thema auseinander.|to deal with|He deals with the topic thoroughly.
3944|verb|bestrafen, bestraft, bestrafte, hat bestraft||Er bestrafte den Dieb mit Gefängnis.|to punish|He punished the thief with prison.
3945|verb|einlegen, legt ein, legte ein, hat eingelegt||Er legt die CD ins Laufwerk ein.|to put in, insert|He inserts the CD into the drive.
3946|verb|erlernen, erlernt, erlernte, hat erlernt||Er hat das Handwerk früh erlernt.|to learn|He learned the craft early.
3947|der|der Friedhof||Der Friedhof liegt am Rande der Stadt.|cemetery|The cemetery is on the outskirts of the city.
3948|adj|materiell||Materieller Besitz ist vergänglich.|financial, material|Material possessions are fleeting.
3949|der|der Produzent||Der Produzent finanziert den Film.|producer|The producer finances the film.
3950|die|die Transparenz||Transparenz ist für uns wichtig.|transparency, clarity|Transparency is important to us.
3951|der|der Asylbewerber||Der Asylbewerber wartet geduldig.|asylum seeker|The asylum seeker waits patiently.
3952|der|der Eigentümer||Der Eigentümer verkauft sein Haus.|owner|The owner is selling his house.
3953|die|die Fabrik||Die Fabrik produziert Tag und Nacht.|factory|The factory produces day and night.
3954|adj|mutig||Der mutige Soldat kämpfte bis zum Ende.|courageous|The courageous soldier fought until the end.
3955|der|der Stolz||Sein Stolz verbietet es ihm zu fragen.|pride|His pride forbids him to ask.
3956|adj|sympathisch||Er ist ein sehr sympathischer Mensch.|sympathetic|He is a very sympathetic person.
3957|die|die Tafel||Die Tafel war mit Notizen bedeckt.|board, table|The board was covered with notes.
3958|die|die Transformation||Die Transformation war erfolgreich.|transformation|The transformation was successful.
3959|die|die Uniform||Die Uniform der Soldaten ist grün.|uniform|The soldiers' uniform is green.
3960|verb|weigern (sich), weigert, weigerte, hat geweigert||Er weigerte sich zu unterschreiben.|to refuse|He refused to sign.
3961|die|die Akte||Die Akte des Falls wurde geschlossen.|file|The file on the case was closed.
3962|verb|charakterisieren, charakterisiert, charakterisierte, hat charakterisiert||Das Buch charakterisiert die Zeit.|to characterize|The book characterizes the era.
3963|verb|fotografieren, fotografiert, fotografierte, hat fotografiert||Er fotografiert die Landschaft.|to photograph|He photographs the landscape.
3964|das|das Heft||Das Heft liegt auf dem Schreibtisch.|notebook|The notebook is on the desk.
3965|adj|hilfreich||Sein Rat war wirklich hilfreich.|helpful|His advice was truly helpful.
3966|verb|kombinieren, kombiniert, kombinierte, hat kombiniert||Er kombinierte die Ideen geschickt.|to combine|He skillfully combined the ideas.
3967|adj|königlich||Er erhielt königlichen Besuch.|royal|He received a royal visit.
3968|das|das Magnetfeld||Das Magnetfeld wurde gemessen.|magnetic field|The magnetic field was measured.
3969|die|die Mode||Die Mode ändert sich jedes Jahr.|fashion|Fashion changes every year.
3970|die|die Schlagzeile||Die Schlagzeile sorgte für Aufsehen.|headline, caption|The headline caused a stir.
3971|adj|schmutzig||Die schmutzige Wäsche liegt dort.|dirty|The dirty laundry is lying there.
3972|verb|überziehen, zieht über, zog über, hat überzogen||Er überzog das Konto, um einzukaufen.|to cover, put on, overdraw|He overdrawn the account to shop.
3973|adv|zumeist||Zumeist sind die Straßen leer.|for the most part|For the most part, the streets are empty.
3974|adj|gemütlich||Das Café war klein, aber gemütlich.|comfortable, cozy|The café was small but cozy.
3975|der|der Spanier||Der Spanier spricht sehr schnell.|Spaniard|The Spaniard speaks very quickly.
3976|das|das Zeitalter||Das Zeitalter der Aufklärung begann.|age, period|The Age of Enlightenment began.
3977|verb|ausstrecken, streckt aus, streckte aus, hat ausgestreckt||Er streckte die Hand zum Gruß aus.|to stretch (out)|He stretched out his hand in greeting.
3978|adj|blass||Das blasse Gesicht erschreckte uns.|pale|The pale face frightened us.
3979|verb|irritieren, irritiert, irritierte, hat irritiert||Die Frage irritierte ihn sehr.|to irritate, confuse|The question confused him greatly.
3980|der|der Jurist||Der Jurist gab rechtlichen Rat.|jurist, lawyer|The lawyer gave legal advice.
3981|die|die Mission||Die Mission endete erfolgreich.|mission|The mission ended successfully.
3982|das|das Mitochondrium||Das Mitochondrium produziert Energie.|mitochondrion|The mitochondrion produces energy.
3983|das|das Neuron||Das Neuron sendet elektrische Impulse.|neuron|The neuron sends electrical impulses.
3984|die|die Regulation||Die Regulation schafft Ordnung.|regulation|The regulation creates order.
3985|der|der Rücktritt||Der Rücktritt kam überraschend.|resignation, withdrawal|The resignation came unexpectedly.
3986|die|die Schätzung||Die Schätzung liegt bei 10.000 Euro.|estimate, estimation|The estimate is about 10,000 euros.
3987|die|die Entropie||Die Entropie des Systems nimmt zu.|entropy|The entropy of the system increases.
3988|das|das Gelenk||Das Gelenk schmerzt beim Bewegen.|joint, hinge|The joint hurts when moving.
3989|der|der Marktanteil||Der Marktanteil stieg weiter an.|market share|The market share continued to rise.
3990|verb|regulieren, reguliert, regulierte, hat reguliert||Der Staat reguliert den Markt.|to regulate|The state regulates the market.
3991|der|der Rundfunk||Der Rundfunk sendet Nachrichten.|broadcast|The broadcast transmits news.
3992|die|die Teilnahme||Die Teilnahme bringt viele Vorteile.|participation|Participation brings many benefits.
3993|die|die Thermodynamik||Die Thermodynamik erklärt die Energie.|thermodynamics|Thermodynamics explains energy.
3994|der|der LKW (Lastkraftwagen)||Der LKW transportierte schwere Güter.|truck|The truck transported heavy goods.
3995|der|der Quatsch||Das ist doch völliger Quatsch!|nonsense|That is complete nonsense!
3996|adj|romantisch||Er plante ein romantisches Abendessen.|romantic|He planned a romantic dinner.
3997|das|das Substrat||Das Substrat wurde analysiert.|substrate|The substrate was analyzed.
3998|verb|erlangen, erlangt, erlangte, hat erlangt||Er erlangte endlich sein Ziel.|to obtain, secure|He finally achieved his goal.
3999|verb|zumachen, macht zu, machte zu, hat zugemacht||Er macht das Fenster wegen der Kälte zu.|to close, shut down|He closes the window because of the cold.
4000|verb|ausstellen, stellt aus, stellte aus, hat ausgestellt||Er stellt seine Kunstwerke aus.|to display, issue, make out|He displays his artworks.
4001|das|das Becken||Das Becken im Badezimmer ist aus Marmor.|pool, pelvis|The basin in the bathroom is made of marble.
4002|verb|kreuzen, kreuzt, kreuzte, hat gekreuzt||Die Straßen kreuzen sich hier.|to cross|The streets cross here.
4003|adj|zart||Das zarte Fleisch zerging auf der Zunge.|tender|The tender meat melted in your mouth.
4004|der|der Zwang||Der Zwang zur Anpassung war groß.|force, pressure, compulsion|The pressure to conform was great.
4005|der|der Engländer||Der Engländer spricht Deutsch.|Englishman, English|The Englishman speaks German.
4006|die|die Münze||Die Münze glänzte im Sonnenlicht.|coin|The coin shone in the sunlight.
4007|die|die Nachrichtenagentur||Die Nachrichtenagentur meldet es.|news agency|The news agency reports it.
4008|adj|seitlich||Die seitliche Tür war verschlossen.|laterally, at/to the side|The side door was locked.
4009|das|das Abendessen||Das Abendessen war lecker und reichlich.|dinner|The dinner was delicious and plentiful.
4010|der|der Beobachter||Der Beobachter notierte alles genau.|observer|The observer noted everything precisely.
4011|der|der Durchmesser||Der Durchmesser des Kreises ist groß.|diameter|The diameter of the circle is large.
4012|die|die Oper||Die Oper hat die Zuschauer begeistert.|opera|The opera thrilled the audience.
4013|adj|satt||Der satte Mann legte sich schlafen.|full, fed up|The full man went to sleep.
4014|die|die SPÖ (Sozialdemokratische Partei Österreichs)||Die SPÖ gewann bei der letzten Wahl.||The SPÖ won the last election.
4015|adj|symbolisch||Die Geste war rein symbolisch.|symbolic|The gesture was purely symbolic.
4016|das|das T-Shirt||Das T-Shirt ist blau und bequem.|T-shirt|The T-shirt is blue and comfortable.
4017|die|die Zerstörung||Die Zerstörung hinterlässt Trümmer.|destruction|The destruction leaves rubble behind.
4018|verb|gestehen, gesteht, gestand, hat gestanden||Er gesteht seinen Fehler offen ein.|to confess|He openly confesses his mistake.
4019|die|die Kerze||Die Kerze brennt ruhig im Dunkeln.|candle|The candle burns calmly in the dark.
4020|die|die Konferenz||Die Konferenz begann pünktlich.|conference|The conference started on time.
4021|adj|ländlich||Wir besuchten das ländliche Gebiet.|rural|We visited the rural area.
4022|das|das Stadium||Das Projekt ist im letzten Stadium.|stage, phase|The project is in the final phase.
4023|das|das Unrecht||Das Unrecht musste gesühnt werden.|injustice, wrong|The injustice had to be atoned for.
4024|die|die Versicherung||Die Versicherung zahlt nicht immer.|insurance, assurance|The insurance doesn't always pay.
4025|die|die Wurst||Die Wurst auf dem Grill duftet köstlich.|sausage|The sausage on the grill smells delicious.
4026|adj|anspruchsvoll||Sie bevorzugt anspruchsvolle Aufgabe.|sophisticated|She prefers sophisticated tasks.
4027|das|das Bedenken||Er hat starke Bedenken geäußert.|concern, doubt|He expressed strong concerns.
4028|der|der Cent||Er fand einen Cent auf dem Gehweg.|cent|He found a cent on the sidewalk.
4029|verb|ermorden, ermordet, ermordete, hat ermordet||Der König wurde heimtückisch ermordet.|to murder, kill|The king was treacherously murdered.
4030|adj|geometrisch||Geometrische Formen faszinieren ihn.|geometric|Geometric shapes fascinate him.
4031|die (pl)||die Geschwister|Die Geschwister spielten im Garten.|siblings|The siblings played in the garden.
4032|verb|kleiden, kleidet, kleidete, hat gekleidet||Er kleidet sich immer sehr elegant.|to dress|He always dresses very elegantly.
4033|verb|ragen, ragt, ragte, hat geragt||Der Turm ragt hoch in den Himmel.|to protrude|The tower protrudes high into the sky.
4034|der|der Staub||Der Staub bedeckt das alte Buch.|dust|The dust covers the old book.
4035|adj|unwahrscheinlich||Das Szenario ist unwahrscheinlich.|improbable, unlikely|The scenario is improbable.
4036|interj|au||Au, das hat wirklich wehgetan!|ouch|Ouch, that really hurt!
4037|verb|aufgreifen, greift auf, griff auf, hat aufgegriffen||Er greift das Thema erneut auf.|to take up|He takes up the topic again.
4038|verb|beauftragen, beauftragt, beauftragte, hat beauftragt||Er beauftragte die Firma sofort.|to give sb the task of doing sth, hire (a firm)|He hired the firm immediately.
