adashmoq[sound:adashmoq_1.mp3]                         |блуждать, заблудиться
ustaxona[sound:ustaxona_1.mp3]                         |мастерская
ust-bosh[sound:ust-bosh_1.mp3]                         |одежда [см. kiyim, kiyim-bosh]
ustki[sound:ustki_1.mp3]                               |верхний, находящийся наверху
ustoz[sound:ustoz_1.mp3]                               |учитель, наставник
ustun[sound:ustun_1.mp3]                               |столбик
uxlamoq[sound:uxlamoq_1.mp3]                           |спать
uya[sound:uya_1.mp3]                                   |гнездо, нора, берлога [см. in]
uyalmoq[sound:uyalmoq_1.mp3]                           |стыдиться, стесняться, смущаться
uyat[sound:uyat_1.mp3]                                 |стыд, позор
uy[sound:uy_1.mp3]                                     |дом, жилище
uyatsiz[sound:uyatsiz_1.mp3]                           |1. бесстыдный, бессовестный ; 2. наглый
uyatchang[sound:uyatchang_1.mp3]                       |стыдливый, застенчивый, стеснительный
uyqu[sound:uyqu_1.mp3]                                 |сон, спячка
uygʻatmoq[sound:uyg‘atmoq_1.mp3]                       |будить, разбудить, пробуждать, пробудить
uygʻonmoq[sound:uyg‘onmoq_1.mp3]                       |просыпаться, проснуться, пробуждаться, очнуться
uygʻoq[sound:uyg‘oq_1.mp3]                             |неспящий, бодрствующий
uzatmoq[sound:uzatmoq_1.mp3]                           |протягивать, подавать, передавать
uzaymoq[sound:uzaymoq_1.mp3]                           |удлиняться, прибавляться [против. qisqarmoq]
uzmoq[sound:uzmoq_1.mp3]                               |1. срывать, отрывать, снимать; 2. обрывать, рвать
uzoq[sound:uzoq_1.mp3]                                 |1. далёкий, дальний, отдалённый; 2. долгий, длительный, продолжительный
uzoqlashmoq[sound:uzoqlashmoq_1.mp3]                   |удаляться, отдаляться
uzuk[sound:uzuk_1.mp3]                                 |кольцо, перстень
uzum[sound:uzum_1.mp3]                                 |виноград [плоды]
uzun[sound:uzun_1.mp3]                                 |1. длинный ; 2. длительный, продолжительный
ushlamoq[sound:ushlamoq_1.mp3]                         |1. держать, браться, хватать; 2. ловить, поймать, задержать
uch[sound:uch_1.mp3]                                   |1. конец; 2. кончик, остриё; 3. три
uchmoq[sound:uchmoq_1.mp3]                             |летать, лететь, полететь
uchramoq[sound:uchramoq_1.mp3]                         |1. попадаться; 2. встречаться, сталкиваться
uchrashuv[sound:uchrashuv_1.mp3]                       |встреча
uchqun[sound:uchqun_1.mp3]                             |искра
uchun[sound:uchun_1.mp3]                               |для, ради, за, чтобы
uchuvchi[sound:uchuvchi_1.mp3]                         |лётчик, авиатор, пилот
va[sound:va_1.mp3]                                     |и
vafot[sound:vafot_1.mp3]                               |кончина, смерть
vafot etmoq (qilmoq)[sound:vafot_etmoq_(qilmoq)_1.mp3] |умереть, скончаться
vahima[sound:vahima_1.mp3]                             |страх, боязнь, ужас, паника
vahimali[sound:vahimali_1.mp3]                         |страшный, ужасный
vaqt[sound:vaqt_1.mp3]                                 |время
varaq[sound:varaq_1.mp3]                               |лист, листы
varaqlamoq[sound:varaqlamoq_1.mp3]                     |листать, перелистывать
varrak[sound:varrak_1.mp3]                             |бумажный змей
vatan[sound:vatan_1.mp3]                               |родина, отечество, отчизна
vazifa[sound:vazifa_1.mp3]                             |1. задача [см. topshiriq]; 2. обязанность, долг
vaʼda[sound:va’da_1.mp3]                               |обещание
vaʼda bermoq[sound:va’da_bermoq_1.mp3]                 |обещать
vergul[sound:vergul_1.mp3]                             |запятая
viloyat[sound:viloyat_1.mp3]                           |область
voqea[sound:voqea_1.mp3]                               |событие
vovullamoq[sound:vovullamoq_1.mp3]                     |гавкать, лая ть
xabar[sound:xabar_1.mp3]                               |известие, весть, сообщение
xafa[sound:xafa_1.mp3]                                 |1. печальный, грустный ; 2. обиженный
xafa qilmoq[sound:xafa_qilmoq_1.mp3]                   |1. печалить, огорчить; 2. обижать, обидеть
xalaqit bermoq[sound:xalaqit_bermoq_1.mp3]             |мешать, препятствовать
xalq[sound:xalq_1.mp3]                                 |народ, население, жители
xalta[sound:xalta_1.mp3]                               |сумка, мешок, торба, пакет
xamir[sound:xamir_1.mp3]                               |тесто
xaridor[sound:xaridor_1.mp3]                           |покупатель, закупщик
xartum[sound:xartum_1.mp3]                             |хобот
xarxasha[sound:xarxasha_1.mp3]                         |каприз
xarxasha qilmoq[sound:xarxasha_qilmoq_1.mp3]           |капризничать
xat[sound:xat_1.mp3]                                   |письмо
xato[sound:xato_1.mp3]                                 |ошибка, ошибочный, неверный
xato qilmoq[sound:xato_qilmoq_1.mp3]                   |ошибаться, ошибиться
xayol[sound:xayol_1.mp3]                               |мечты, думы [см. оʻу]
xayr[sound:xayr_1.mp3]                                 |досвидания, прощай [-те]
xil[sound:xil_1.mp3]                                   |вид, сорт, род, тип
xira[sound:xira_1.mp3]                                 |тусклый, непрозрачный
xizmat[sound:xizmat_1.mp3]                             |1. служба, работа, заслуга; 2. поручение, задание
xizmat qilmoq[sound:xizmat_qilmoq_1.mp3]               |служить
xohlamoq[sound:xohlamoq_1.mp3]                         |желать, пожелать, хотеть, захотеть
xol[sound:xol_1.mp3]                                   |родинка
xola[sound:xola_1.mp3]                                 |тётя [сестра матери]
xom[sound:xom_1.mp3]                                   |1. сырой; 2. незрелый, зелёный
xona[sound:xona_1.mp3]                                 |комната
xonadon[sound:xonadon_1.mp3]                           |семья; двор
xonanda[sound:xonanda_1.mp3]                           |певец
xotin[sound:xotin_1.mp3]                               |1. женщина; 2. жена
xotira[sound:xotira_1.mp3]                             |1. память; 2. воспоминание
xuddi[sound:xuddi_1.mp3]                               |как раз, точь-в-точь, точно
xudo[sound:xudo_1.mp3]                                 |бог, господь
xulq[sound:xulq_1.mp3]                                 |1. нрав, характер; 2. поведение
xunuk[sound:xunuk_1.mp3]                               |некрасивый [против. чиройли]
xurrak[sound:xurrak_1.mp3]                             |храп
xursand[sound:xursand_1.mp3]                           |радостный, весёлый
xushmuomala[sound:xushmuomala_1.mp3]                   |вежливый
xoʻmraymoq[sound:xo‘mraymoq_1.mp3]                     |хмуриться, смотреть исподлобья
xoʻp[sound:xo‘p_1.mp3]                                 |хорошо, ладно
xoʻroz[sound:xo‘roz_1.mp3]                             |петух
xoʻrsinmoq[sound:xo‘rsinmoq_1.mp3]                     |1. вздыхать; 2. захлёбываться от плача; 3. всхлипывать
xoʻtik[sound:xo‘tik_1.mp3]                             |ослёнок
xoʻsh[sound:xo‘sh_1.mp3]                               |ну
yakshanba[sound:yakshanba_1.mp3]                       |воскресенье
yalamoq[sound:yalamoq_1.mp3]                           |лизать, облизывать
yalangʻoch[sound:yalang‘och_1.mp3]                     |голый, раздетый
yalinmoq[sound:yalinmoq_1.mp3]                         |1. умолять, упрашивать; 2. кланяться, преклоняться
yalpiz[sound:yalpiz_1.mp3]                             |мята
yalpoq[sound:yalpoq_1.mp3]                             |плоский
yalt etmoq[sound:yalt_etmoq_1.mp3]                     |промелкнуть, сверкнуть, блеснуть
yaltiramoq[sound:yaltiramoq_1.mp3]                     |блестеть, поблёскивать, сверкать
yalqov[sound:yalqov_1.mp3]                             |лентяй, лодырь, ленивый
yalt etmoq[sound:yalt_etmoq_1.mp3]                     |блеснуть
yaltiroq[sound:yaltiroq_1.mp3]                         |блеск, лоск; блестящий, сверкающий
yana[sound:yana_1.mp3]                                 |ещё, опять, снова, вновь
yangi[sound:yangi_1.mp3]                               |новый, свежий
yangilik[sound:yangilik_1.mp3]                         |новость
yanchmoq[sound:yanchmoq_1.mp3]                         |молотить
yapaloq[sound:yapaloq_1.mp3]                           |плоский
yaqin[sound:yaqin_1.mp3]                               |близкий, близко
yaqinda[sound:yaqinda_1.mp3]                           |недавно
yaqinlashmoq[sound:yaqinlashmoq_1.mp3]                 |приближаться, подходить, сближаться
yara[sound:yara_1.mp3]                                 |рана, ранение; язва
yarash[sound:yarash_1.mp3]                             |перемирие
yarashmoq[sound:yarashmoq_1.mp3]                       |1. мириться, примириться; 2. подходить, быть клицу
yarim (yarmi)[sound:yarim_(yarmi)_1.mp3]               |половина, пол. . ; полу. . .
yarimta[sound:yarimta_1.mp3]                           |половина, половинка
yarqiramoq[sound:yarqiramoq_1.mp3]                     |сверкать, блестеть
yasama[sound:yasama_1.mp3]                             |1. самодельный; 2. искусственный
yasamoq[sound:yasamoq_1.mp3]                           |мастерить, изготовлять
yasanmoq[sound:yasanmoq_1.mp3]                         |наряжаться, принарядиться, украшаться
yax[sound:yax_1.mp3]                                   |лёд [см. muz]
yaxlamoq[sound:yaxlamoq_1.mp3]                         |застывать, замерзать [см. muzlamoq]
yaxshi[sound:yaxshi_1.mp3]                             |хороший
yaxshilik[sound:yaxshilik_1.mp3]                       |доброта, добро
yaxshilikcha[sound:yaxshilikcha_1.mp3]                 |по-хорошему, добром
yayov[sound:yayov_1.mp3]                               |пешком [см. piyoda]
yashamoq[sound:yashamoq_1.mp3]                         |жить, прожить
yashil[sound:yashil_1.mp3]                             |зелёный
yashin[sound:yashin_1.mp3]                             |молния
yashirin[sound:yashirin_1.mp3]                         |тайный, скрытый
yashirinmoq[sound:yashirinmoq_1.mp3]                   |прятаться, спрятаться, укрываться
yashirincha[sound:yashirincha_1.mp3]                   |тайно, скрытно, тайком
yashirmoq[sound:yashirmoq_1.mp3]                       |спрятать, прятать
yanglishmoq[sound:yanglishmoq_1.mp3]                   |ошибаться, запутаться
yangramoq[sound:yangramoq_1.mp3]                       |звучать, звенеть
yelim[sound:yelim_1.mp3]                               |клей
yelimlamoq[sound:yelimlamoq_1.mp3]                     |клеить, наклеить
yelka[sound:yelka_1.mp3]                               |плечо
yelpimoq[sound:yelpimoq_1.mp3]                         |опахивать, обмахивать
yelpigich[sound:yelpigich_1.mp3]                       |веер, опахало
yemoq[sound:yemoq_1.mp3]                               |есть, кушать, съесть
yer[sound:yer_1.mp3]                                   |земля
yertoʻla[sound:yerto‘la_1.mp3]                         |1. подвал; 2. землянка
yetaklamoq[sound:yetaklamoq_1.mp3]                     |вести за повод, вести заруку
yetim[sound:yetim_1.mp3]                               |сирота
yetishmovchilik[sound:yetishmovchilik_1.mp3]           |недостаток, дефект, недочёт
yetmish[sound:yetmish_1.mp3]                           |семьдесят
yetmoq[sound:yetmoq_1.mp3]                             |1. доходить [дойти], дое зжать [доехать], добираться [добраться]; 2. догонять [догнать], поравняться
yetti[sound:yetti_1.mp3]                               |семь
yechinmoq[sound:yechinmoq_1.mp3]                       |раздеваться, раздеться
yechmoq[sound:yechmoq_1.mp3]                           |развязывать [развязать], расстёгивать [расстегнуть]
yeng[sound:yeng_1.mp3]                                 |рукав
yengil[sound:yengil_1.mp3]                             |лёгкий, легко
yengmoq[sound:yengmoq_1.mp3]                           |побеждать, одолевать
yigirma[sound:yigirma_1.mp3]                           |двадцать
yigit[sound:yigit_1.mp3]                               |юноша, парень
yil[sound:yil_1.mp3]                                   |год
yilt etmoq[sound:yilt_etmoq_1.mp3]                     |сверкнуть, блеснуть
yiltiramoq[sound:yiltiramoq_1.mp3]                     |1. блестеть, поблёскивать, сверкать; 2. мерцать
yirik[sound:yirik_1.mp3]                               |крупный
yiring[sound:yiring_1.mp3]                             |гной
yiringlamoq[sound:yiringlamoq_1.mp3]                   |гноиться
yirtiq[sound:yirtiq_1.mp3]                             |рваный, порванный, разорванный
yirtmoq[sound:yirtmoq_1.mp3]                           |рвать, разрывать, раздирать
yirtqich[sound:yirtqich_1.mp3]                         |хищник, хищный
yiqilmoq[sound:yiqilmoq_1.mp3]                         |упасть, падать
yiqitmoq[sound:yiqitmoq_1.mp3]                         |1. валить, сваливать; 2. побороть
yigʻi[sound:yig‘i_1.mp3]                               |плач, рыдание
yigʻilish[sound:yig‘ilish_1.mp3]                       |1. собрание; 2. сбор
yigʻim-terim[sound:yig‘im-terim_1.mp3]                 |уборка урожая
yigʻishtirmoq[sound:yig‘ishtirmoq_1.mp3]               |1. собирать; 2. убирать, прибирать
yigʻIamoq[sound:yig‘Iamoq_1.mp3]                       |плакать
yigʻloq[sound:yig‘loq_1.mp3]                           |плакса, плаксивый
yigʻmoq[sound:yig‘moq_1.mp3]                           |1. собирать; 2. убирать
yod[sound:yod_1.mp3]                                   |память
yodlamoq[sound:yodlamoq_1.mp3]                         |1. заучивать наизусть, зубрить; 2. вспоминать [см. eslamoq]
yoki[sound:yoki_1.mp3]                                 |или, илиже
yol[sound:yol_1.mp3]                                   |грива
yolgʻiz[sound:yolg‘iz_1.mp3]                           |1. один, одинокий ; 2. единственный
yolgʻon[sound:yolg‘on_1.mp3]                           |ложный, лживый
yolgʻonchi[sound:yolg‘onchi_1.mp3]                     |лгун, лжец, враль
yomon[sound:yomon_1.mp3]                               |плохой, нехороший, дурной, плохо, нехорошо
yomgʻir[sound:yomg‘ir_1.mp3]                           |дождь
yon[sound:yon_1.mp3]                                   |бок
yonida[sound:yonida_1.mp3]                             |рядом, около
yonbosh[sound:yonbosh_1.mp3]                           |бок, боковая сторона
yonboshlamoq[sound:yonboshlamoq_1.mp3]                 |ложиться, лечь набок
yonmoq[sound:yonmoq_1.mp3]                             |гореть
yongʻin[sound:yong‘in_1.mp3]                           |пожар
yongʻoq[sound:yong‘oq_1.mp3]                           |орех
yopilmoq[sound:yopilmoq_1.mp3]                         |закрываться, закрыться
yopiq[sound:yopiq_1.mp3]                               |закрытый, запертый
yopishmoq[sound:yopishmoq_1.mp3]                       |приклеиваться, прилипать
yopmoq[sound:yopmoq_1.mp3]                             |1. закрывать; 2. накрывать, покрывать, укрывать; 3. печь
yoq[sound:yoq_1.mp3]                                   |сторона, край, направление
yoqa[sound:yoqa_1.mp3]                                 |1. ворот, воротник; 2. берег, край
yoqimli[sound:yoqimli_1.mp3]                           |приятный
yoqmoq[sound:yoqmoq_1.mp3]                             |1. зажигать; 2. нравиться
yordam[sound:yordam_1.mp3]                             |помощь
yordamlashmoq[sound:yordamlashmoq_1.mp3]               |помогать [помочь], оказывать помощь
yordamchi[sound:yordamchi_1.mp3]                       |помощник
yorilmoq[sound:yorilmoq_1.mp3]                         |1. раскалываться; 2. трескаться, растрескиваться; 3. разрываться
yormoq[sound:yormoq_1.mp3]                             |колоть, рубить
yorugʻ[sound:yorug‘_1.mp3]                             |светлый, яркий, освещённый
yorugʻIik[sound:yorug‘Iik_1.mp3]                       |свет, сила света
yostiq[sound:yostiq_1.mp3]                             |подушка
yotmoq[sound:yotmoq_1.mp3]                             |лежать, лечь, ложиться
yovvoyi[sound:yovvoyi_1.mp3]                           |дикий
yoz[sound:yoz_1.mp3]                                   |лето
yozgi[sound:yozgi_1.mp3]                               |летний
yozma[sound:yozma_1.mp3]                               |письменный
yozmoq[sound:yozmoq_1.mp3]                             |1. писать, написать; 2. расстилать, стлать
yozuv[sound:yozuv_1.mp3]                               |надпись, запись
yozuvchi[sound:yozuvchi_1.mp3]                         |писатель
yogʻ[sound:yog‘_1.mp3]                                 |сало, жир, масло
yogʻmoq[sound:yog‘moq_1.mp3]                           |идти, падать
yogʻoch[sound:yog‘och_1.mp3]                           |1. дерево, бревно; 2. лес, древесина
yosh[sound:yosh_1.mp3]                                 |1. возраст, год; 2. молодой, малолетний, юный; 3. слеза
yoshlik[sound:yoshlik_1.mp3]                           |молодость, детство
yubormoq[sound:yubormoq_1.mp3]                         |посылать, отправлять; присылать
yugurish[sound:yugurish_1.mp3]                         |бег
yugurmoq[sound:yugurmoq_1.mp3]                         |бегать, бежать
yuk[sound:yuk_1.mp3]                                   |груз, ноша, багаж
yuklamoq[sound:yuklamoq_1.mp3]                         |грузить, нагружать
yulduz[sound:yulduz_1.mp3]                             |звезда
yumaloq[sound:yumaloq_1.mp3]                           |круглый, округлый
yummoq[sound:yummoq_1.mp3]                             |закрывать [глаза, рот]
yumuq[sound:yumuq_1.mp3]                               |закрытый [о глазах, рте]
yumshoq[sound:yumshoq_1.mp3]                           |мягкий, нежный
yupqa[sound:yupqa_1.mp3]                               |тонкий, нетолстый
yuqori[sound:yuqori_1.mp3]                             |1. верх, верхний ; 2. высший, высокий
yuqumli[sound:yuqumli_1.mp3]                           |заразный, инфекционный [о болезни]
yurak[sound:yurak_1.mp3]                               |сердце
yurakli[sound:yurakli_1.mp3]                           |храбрый, смелый
yurish[sound:yurish_1.mp3]                             |1. ходьба, хождение; 2. ход; 3. езда
yurmoq[sound:yurmoq_1.mp3]                             |1. ходить, идти; 2. ездить, ехать
yurt[sound:yurt_1.mp3]                                 |край, родина, страна
yutmoq[sound:yutmoq_1.mp3]                             |1. глотать, проглатывать; 2. выигрывать
yutqazmoq[sound:yutqazmoq_1.mp3]                       |проигрывать
yutuq[sound:yutuq_1.mp3]                               |1. достижение, успех; 2. выигрыш
yuvinmoq[sound:yuvinmoq_1.mp3]                         |1. мыться, умываться
yuvmoq[sound:yuvmoq_1.mp3]                             |1. мыть; 2. стирать
yuvosh[sound:yuvosh_1.mp3]                             |мирный, тихий, спокойный
yuz[sound:yuz_1.mp3]                                   |1. лицо, физиономия; 2. сто
yung[sound:yung_1.mp3]                                 |шерсть
yoʻl[sound:yo‘l_1.mp3]                                 |дорога, путь, трасса
yoʻlak[sound:yo‘lak_1.mp3]                             |проход, коридор
yoʻIbars[sound:yo‘Ibars_1.mp3]                         |тигр
yoʻboshchi[sound:yo‘boshchi_1.mp3]                     |руководитель, вождь
yoʻka[sound:yo‘ka_1.mp3]                               |тротуар, дорожка
yoʻlovchi[sound:yo‘lovchi_1.mp3]                       |1. путник, прохожий ; 2. пассажир
yoʻq[sound:yo‘q_1.mp3]                                 |нет
yoʻqlama[sound:yo‘qlama_1.mp3]                         |поверка, перекличка
yoʻqolmoq[sound:yo‘qolmoq_1.mp3]                       |теряться, пропадать, исчезать
yoʻqotmoq[sound:yo‘qotmoq_1.mp3]                       |1. терять; 2. уничтожать, ликвидировать
yoʻtal[sound:yo‘tal_1.mp3]                             |кашель
yoʻtaImoq[sound:yo‘taImoq_1.mp3]                       |кашлять, покашливать
yoʻgʻon[sound:yo‘g‘on_1.mp3]                           |толстый, полный
zahar[sound:zahar_1.mp3]                               |яд, отрава
zaharlanmoq[sound:zaharlanmoq_1.mp3]                   |отравляться, травиться
zaharli[sound:zaharli_1.mp3]                           |ядовитый
zamonaviy[sound:zamonaviy_1.mp3]                       |современный
zanjir[sound:zanjir_1.mp3]                             |цепь, цепочка
zararli[sound:zararli_1.mp3]                           |1. вредный ; 2. убыточный
zarba[sound:zarba_1.mp3]                               |удар
zagʻizgʻon[sound:zagʻizgʻon_1.mp3]                     |сорока [см. hakka]
zang[sound:zang_1.mp3]                                 |ржавчина
zanglamoq[sound:zanglamoq_1.mp3]                       |ржаветь
zerikarli[sound:zerikarli_1.mp3]                       |скучный, скучно
zerikmoq[sound:zerikmoq_1.mp3]                         |скучать
zilzila[sound:zilzila_1.mp3]                           |землетрясение
zina[sound:zina_1.mp3]                                 |1. лестница; 2. ступень, ступенька
ziqna[sound:ziqna_1.mp3]                               |скупой, жадный
ziyon[sound:ziyon_1.mp3]                               |вред, ущерб, убыток
ziyofat[sound:ziyofat_1.mp3]                           |1. угощение; 2. банкет
ziyrak[sound:ziyrak_1.mp3]                             |1. сметливый, смышлёный; 2. чуткий
zumda[sound:zumda_1.mp3]                               |моментально
zoʻraymoq[sound:zoʻraymoq_1.mp3]                       |1. усиливаться; 2. ухудшаться, осложняться [о болезни]
zoʻrlamoq[sound:zo‘rlamoq_1.mp3]                       |заставлять, принуждать
zoʻrgʻa[sound:zo‘rg‘a_1.mp3]                           |еле-еле, едва-едва, с трудом
oʻjar[sound:o‘jar_1.mp3]                               |упрямый
oʻlik[sound:o‘lik_1.mp3]                               |1. мертвец, труп; 2. мёртвый, неживой
oʻlim[sound:o‘lim_1.mp3]                               |смерть, кончина
oʻlka[sound:o‘lka_1.mp3]                               |край
oʻlmoq[sound:oʻlmoq_1.mp3]                             |умирать [умереть], скончаться
oʻlchamoq[sound:o‘lchamoq_1.mp3]                       |мерить, измерять
oʻlchov[sound:o‘lchov_1.mp3]                           |измерение, мера
oʻn[sound:o‘n_1.mp3]                                   |десять
oʻnqir-choʻnqir[sound:o‘nqir-cho‘nqir_1.mp3]           |ухабистый, неровный
oʻpka[sound:o‘pka_1.mp3]                               |лёгкое, лёгкие
oʻpmoq[sound:o‘pmoq_1.mp3]                             |целовать, поцеловать
oʻq[sound:o‘q_1.mp3]                                   |1. стрела; 2. пуля; 3. снаряд
oʻqimoq[sound:o‘qimoq_1.mp3]                           |1. читать; 2. учить, учиться
oʻqituvchi[sound:o‘qituvchi_1.mp3]                     |учитель
oʻqish[sound:o‘qish_1.mp3]                             |чтение
oqraymoq[sound:oqraymoq_1.mp3]                         |вытаращить глаза; хмуро, сердито смотреть [см. xoʻmraymoq]
oʻquv[sound:o‘quv_1.mp3]                               |учение, учёба, учебный
oʻquvchi[sound:o‘quvchi_1.mp3]                         |ученик, учащийся
oʻquv qurollari[sound:o‘quv_qurollari_1.mp3]           |учебные принадлежности
oʻramoq[sound:o‘ramoq_1.mp3]                           |1. закутывать, укутывать; 2. окружать
oʻrganmoq[sound:o‘rganmoq_1.mp3]                       |1. учиться, обучаться; 2. привыкать, приучаться
oʻrgatmoq[sound:o‘rgatmoq_1.mp3]                       |1. учить, обучать, научить; 2. приучать
oʻrgimchak[sound:o‘rgimchak_1.mp3]                     |паук
oʻrdak[sound:o‘rdak_1.mp3]                             |утка
oʻrik[sound:o‘rik_1.mp3]                               |абрикос, урюк
oʻrin[sound:o‘rin_1.mp3]                               |место
oʻrinbosar[sound:o‘rinbosar_1.mp3]                     |заместитель, преемник
oʻrmon[sound:o‘rmon_1.mp3]                             |лес
oʻrmoq[sound:o‘rmoq_1.mp3]                             |жать, косить
oʻrnak[sound:o‘rnak_1.mp3]                             |образец; пример
oʻroq[sound:o‘roq_1.mp3]                               |серп
oʻrta[sound:o‘rta_1.mp3]                               |1. середина, центр; 2. средний
oʻrtoq[sound:o‘rtoq_1.mp3]                             |товарищ, друг
oʻsimlik[sound:o‘simlik_1.mp3]                         |растение
oʻsmoq[sound:o‘smoq_1.mp3]                             |расти, вырастать
oʻt[sound:o‘t_1.mp3]                                   |1. огонь; 2. трава
oʻtgan[sound:o‘tgan_1.mp3]                             |прошлый
oʻtirmoq[sound:o‘tirmoq_1.mp3]                         |сидеть, садиться
oʻtish[sound:o‘tish_1.mp3]                             |переход
oʻtkazmoq[sound:o‘tkazmoq_1.mp3]                       |пропускать
oʻtkir[sound:o‘tkir_1.mp3]                             |острый
oʻtlamoq[sound:o‘tlamoq_1.mp3]                         |пастись
oʻtmas[sound:o‘tmas_1.mp3]                             |тупой, неострый
oʻtmoq[sound:o‘tmoq_1.mp3]                             |проходить, прое зжать, переходить, переезжать
oʻtqazmoq[sound:o‘tqazmoq_1.mp3]                       |1. сажать, усаживать; 2. сажать, насаживать
oʻttiz[sound:o‘ttiz_1.mp3]                             |тридцать
oʻxshamoq[sound:o‘xshamoq_1.mp3]                       |походить, быть похожим
oʻxshash[sound:o‘xshash_1.mp3]                         |похожий, схожий, подобный
oʻy[sound:o‘y_1.mp3]                                   |дума, мысль
oʻyin[sound:o‘yin_1.mp3]                               |1. игра; 2. танец, пляска
oʻyin-kulgi[sound:o‘yin-kulgi_1.mp3]                   |веселье
oʻyinchoq[sound:o‘yinchoq_1.mp3]                       |игрушка
oʻylamoq[sound:o‘ylamoq_1.mp3]                         |думать, размышлять, мыслить
oʻymoq[sound:o‘ymoq_1.mp3]                             |1. долбить, делать углубление; 2. выкапывать, рыть
oʻynamoq[sound:o‘ynamoq_1.mp3]                         |играть, танцевать, плясать
oʻychan[sound:o‘ychan_1.mp3]                           |1. задумчивый ; 2. вдумчивый
oʻz(i)[sound:o‘z(i)_1.mp3]                             |сам, сама, само
oʻzboshimcha[sound:o‘zboshimcha_1.mp3]                 |самовольный, непослушный
oʻzgarish[sound:o‘zgarish_1.mp3]                       |перемена, изменение
oʻzgarmoq[sound:o‘zgarmoq_1.mp3]                       |меняться, измениться
oʻzlashtirmoq[sound:o‘zlashtirmoq_1.mp3]               |1. усваивать, осваивать; 2. присваивать
oʻzmoq[sound:o‘zmoq_1.mp3]                             |обгонять, опережать
oʻgʻil[sound:o‘g‘il_1.mp3]                             |1. сын; 2. мальчик
oʻgʻirlamoq[sound:o‘g‘irlamoq_1.mp3]                   |воровать, красть, похищать
oʻgʻrilik[sound:o‘g‘rilik_1.mp3]                       |воровство, кража
oʻsha[sound:o‘sha_1.mp3]                               |тот, та, то
oʻchirmoq[sound:o‘chirmoq_1.mp3]                       |1. гасить, тушить; 2. вычёркивать, зачёркивать
oʻchmoq[sound:o‘chmoq_1.mp3]                           |гаснуть, тухнуть
oʻng[sound:o‘ng_1.mp3]                                 |правый
"g'alaba[sound:g'alaba_1.mp3]"                         |победа, успех
gʻalaba qilmoq[sound:g‘alaba_qilmoq_1.mp3]             |побеждать
gʻalati[sound:g‘alati_1.mp3]                           |необыкновенный, необычный, чудесный, чудный
gʻalla[sound:g‘alla_1.mp3]                             |зерно, хлеб
gʻalva[sound:g‘alva_1.mp3]                             |скандал, ссора, шум
gʻalva qilmoq[sound:g‘alva_qilmoq_1.mp3]               |поднимать шум, скандалить
gʻam[sound:g‘am_1.mp3]                                 |горе, печаль, тоска, скорбь
gʻamgin[sound:g‘amgin_1.mp3]                           |грустный, печальный
gʻarb[sound:g‘arb_1.mp3]                               |запад
gʻarbiy[sound:g‘arbiy_1.mp3]                           |западный
gʻayrat[sound:g‘ayrat_1.mp3]                           |энергия, рвение, старание, усердие
gʻayratli[sound:g‘ayratli_1.mp3]                       |энергичный, усердный
gʻilay[sound:g‘ilay_1.mp3]                             |косой, косоглазый
gʻildirak[sound:g‘ildirak_1.mp3]                       |колесо
gʻilof[sound:g‘ilof_1.mp3]                             |чехол, футляр
gʻirrom[sound:g‘irrom_1.mp3]                           |нечестный, склонный к обману
gʻizillamoq[sound:g‘izillamoq_1.mp3]                   |быстро двигаться, мчаться
gʻisht[sound:g‘isht_1.mp3]                             |кирпич
gʻolib[sound:g‘olib_1.mp3]                             |победитель
gʻor[sound:g‘or_1.mp3]                                 |пещера
gʻoya[sound:g‘oya_1.mp3]                               |идея
gʻoz[sound:g‘oz_1.mp3]                                 |гусь
gʻuncha[sound:g‘uncha_1.mp3]                           |бутон
gʻunchalamoq[sound:g‘unchalamoq_1.mp3]                 |завязывать бутоны
gʻurra[sound:g‘urra_1.mp3]                             |опухоль, шишка
gʻoʻr[sound:g‘o‘r_1.mp3]                               |недозрелый, зелёный, неспелый
gʻoʻra[sound:g‘o‘ra_1.mp3]                             |неспелый зелёный фрукт
gʻoʻza[sound:g‘o‘za_1.mp3]                             |хлопчатник
shaftoli[sound:shaftoli_1.mp3]                         |персик
shahar[sound:shahar_1.mp3]                             |город
shakar[sound:shakar_1.mp3]                             |сахар
shakl[sound:shakl_1.mp3]                               |форма
shamol[sound:shamol_1.mp3]                             |ветер
shamollamoq[sound:shamollamoq_1.mp3]                   |простужаться, простудиться
shanba[sound:shanba_1.mp3]                             |суббота
shanbalik[sound:shanbalik_1.mp3]                       |субботник
sharaf[sound:sharaf_1.mp3]                             |честь
sharbat[sound:sharbat_1.mp3]                           |сок
sharoit[sound:sharoit_1.mp3]                           |условие
sharq[sound:sharq_1.mp3]                               |восток
sharqiy[sound:sharqiy_1.mp3]                           |восточный
sharsimon[sound:sharsimon_1.mp3]                       |шаровидный, шарообразный
shart[sound:shart_1.mp3]                               |1. условие; 2. обязательно, необходимо
sharshara[sound:sharshara_1.mp3]                       |водопад
shagʻal[sound:shag‘al_1.mp3]                           |галька, гравий
shekilli[sound:shekilli_1.mp3]                         |кажется
sher[sound:sher_1.mp3]                                 |лев
sherik[sound:sherik_1.mp3]                             |1. товарищ, друг; 2. соучастник, сообщник
sheʼr[sound:she’r_1.mp3]                               |стих, стихотворение
shifokor[sound:shifokor_1.mp3]                         |врач, лекарь
