der Auftritt beginnt                             |выступление начинается
die Fibel ist nützlich                           |букварь полезен
der Hamster schläft                              |хомяк спит
der frühe Morgen                                 |раннее утро
der Stern leuchtet                               |звезда светит
denn es ist wichtig                              |так как это важно
die Saite spannen                                |натягивать струну
die Neuauflage kaufen                            |купить новое издание
der Rumpf ist stark                              |туловище крепкое
der Stundenplan ist voll                         |расписание уроков полное
ein unbefristeter Vertrag                        |бессрочный договор
ein Bergwerk besichtigen                         |посетить шахту
wichtige Informationen beinhalten                |содержать важную информацию
der Schutzumschlag ist schön                     |суперобложка красивая
durchstreichen einen Fehler                      |зачеркивать ошибку
wunderschöner Ausblick                           |прекрасный вид
eine männliche Stimme                            |мужской голос
weibliche Stimme                                 |женский голос
die Lebenserwartung steigt                       |продолжительность жизни растет
der Vermerk ist wichtig                          |заметка важна
die Meile laufen                                 |бежать милю
verwahrlosen das Haus                            |запускать дом
die Vorwahl eingeben                             |вводить код
ein offizieller Bericht                          |официальный отчет
der Kummer ist groß                              |горе велико
die Freiheit ist wichtig                         |свобода важна
eine Möglichkeit ausschließen                    |исключать возможность
einen Finger verletzen                           |ушибить палец
die Preiselbeere pflücken                        |собирать бруснику
die Grundschule ist klein                        |начальное образование небольшое
einen Spaß machen                                |шутить
die Übersetzung anfertigen                       |делать перевод
eine ungenaue Messung                            |неточное измерение
ein gesuchter Gegenstand                         |разыскиваемый предмет
die Geschwindigkeit verringern                   |уменьшать скорость
die Faust ist stark                              |кулак сильный
die Intensität ist groß                          |интенсивность велика
athletischer Körperbau                           |атлетическое телосложение
das Milchpulver kaufen                           |покупать сухое молоко
das Inhaltsverzeichnis lesen                     |читать оглавление
sich von einem Freund verabschieden              |прощаться с другом
einen Namen vergessen                            |забывать имя
muss los                                         |должен идти
die Arbeitszeiten sind lang                      |часы работы длинные
der Radiergummi radiert                          |ластик стирает
entnehmen eine Probe                             |брать пробу
der Bewohner schläft                             |житель спит
ätzen die Substanz                               |разъедать вещество
empfänglich für Kritik                           |восприимчивый к критике
der Lügner lügt                                  |лгун лжет
der Schiffbau wächst                             |судостроение растет
etwas prüfen                                     |проверять что-то
zubereiten das Essen                             |готовить еду
die Bluse ist neu                                |блузка новая
die Nordseite ist kalt                           |северная сторона холодная
die Verpflichtung erfüllen                       |выполнять обязанность
eine schöpferische Idee                          |творческая идея
das Blut quillt aus der offenen Wunde            |кровь бьет фонтаном из открытой раны
die Länge messen                                 |измерять длину
gestern Abend                                    |вчера вечером
der Hektar ist groß                              |гектар большой
die Jahreszeit ist schön                         |время года красивое
einberufen zur Armee                             |призывать в армию
er ist beinah fünfzig Jahre alt                  |ему почти пятьдесят лет
die Kreide benutzen                              |использовать мел
das Feld pflügen                                 |пахать поле
das Museum besuchen                              |посетить музей
eins und eins zusammenzählen                     |складывать один и один
gut ausgebildet                                  |хорошо обученный
die Fabrik besichtigen                           |осматривать завод
ein makelloses Kleid                             |безупречное платье
straflos bleiben                                 |остаться безнаказанным
von einer Annahme ausgehen                       |исходить из предположения
zumindest einmal                                 |по меньшей мере один раз
das Visum erhalten                               |получать визу
der Beruf wählen                                 |выбирать профессию
sind wir gelegen?                                |мы не помешаем?
nasses Wetter                                    |дождливая погода
übersetzen den Text                              |переводить текст
der Trend setzt sich fort                        |тренд продолжается
der Kreis ist rund                               |круг круглый
der Lehrer unterrichtet                          |учитель преподает
diskutieren über ein Thema                       |дискутировать о теме
das Gehalt bekommen                              |получать зарплату
die brennende Frage                              |жгучий вопрос
die Mittagspause machen                          |делать обеденный перерыв
der Mantel ist warm                              |пальто теплое
die Definition ist korrekt                       |определение правильное
die Erscheinung ist bemerkbar                    |появление заметно
ein Fernglas benutzen                            |пользоваться биноклем
der Job ist gut                                  |работа хорошая
ein scheinbares Problem                          |кажущаяся проблема
die Mitte finden                                 |найти середину
ein Pflaster anlegen                             |наложить пластырь
der Tourist fotografiert                         |турист фотографирует
durchdenken einen Plan                           |продумывать план
auf den Berg steigen                             |подниматься на гору
der Teppich liegt                                |ковер лежит
das Kaninchen füttern                            |кормить кролика
das Luxuszimmer buchen                           |забронировать номер-люкс
der Befund ist negativ                           |результат отрицательный
die Dissektion ist abgeschlossen                 |рассечение завершено
die Garantiereparatur ist kostenlos              |гарантийный ремонт бесплатный
abgerissene Kleidung                             |рваная одежда
die Muße genießen                                |наслаждаться досугом
eine merkliche Veränderung                       |заметное изменение
der Glanz ist stark                              |блеск сильный
die Herrentoilette ist sauber                    |мужской туалет чистый
sein Traum wurde ein Ereignis                    |его мечта осуществилась
eine unmittelbare Verbindung                     |непосредственная связь
einsetzen neue Technologien                      |применять новые технологии
der Kaffee duftet                                |кофе пахнет
nachts schlafen                                  |спать ночью
eine lange Straße                                |длинная улица
der Schwimmsport beginnt                         |плавание начинается
bevor er geht                                    |прежде чем он уйдёт
lockiges Haar                                    |кудрявые волосы
jemanden stören                                  |беспокоить кого-то
der Aufbau dauert                                |строительство продолжается
der Apfel fällt                                  |яблоко падает
der Fahrstuhl kommt                              |лифт приезжает
die Tinte nachfüllen                             |добавлять чернила
erledigen die Arbeit                             |закончить работу
die Pflanze gießen                               |поливать растение
vom Fahrrad absteigen                            |слезать с велосипеда
eine unbedachte Handlung                         |необдуманный поступок
ein Gesetz verbieten                             |запрещать закон
das Spiel spielen                                |играть в игру
der Winterschlussverkauf beginnt                 |зимняя распродажа начинается
der September beginnt                            |сентябрь начинается
das Privatleben genießen                         |наслаждаться личной жизнью
ein Gesetz aufheben                              |отменить закон
zum Tode verurteilen                             |приговорить к смертной казни
bis jetzt                                        |до настоящего времени
die Schnellreparatur durchführen                 |проводить срочный ремонт
die Visitenkarte überreichen                     |вручать визитную карточку
das Bein brechen                                 |сломать ногу
einen Preis bieten                               |предлагать цену
die Enge ist drückend                            |теснота угнетающая
ersetzen das defekte Teil                        |заменять дефектную деталь
der Ärger wächst                                 |гнев растет
die Leidenschaft spüren                          |чувствовать страсть
erkennen das Problem                             |узнавать проблему
einen Garten pflegen                             |ухаживать за садом
der Hebel ist gebrochen                          |рычаг сломан
die Auswertung ist abgeschlossen                 |подведение итогов завершено
der Krimi ist spannend                           |детективный роман захватывающий
aber trotzdem                                    |но все же
dilatieren und ausdehnen                         |расширять и растягивать
zitieren ein Buch                                |цитировать книгу
der Samstag ist frei                             |суббота свободная
die Gebrüder sind zusammen                       |братья вместе
daneben sitzen                                   |сидеть рядом
sich über den Lärm beunruhigen                   |беспокоиться из-за шума
der Mittwoch ist frei                            |среда свободная
der Wall ist hoch                                |вал высокий
eindringlich bitten                              |настойчиво просить
einen Vorschlag berücksichtigen                  |учитывать предложение
die Apotheke aufsuchen                           |посещать аптеку
überziehen das Konto                             |перерасходовать счет
von ganzem Herzen                                |от всего сердца
die Vielfalt bewahren                            |сохранять многообразие
die Durchsuchung ist gründlich                   |обыск тщательный
wütender Sturm                                   |яростный шторм
ein Programm ausstrahlen                         |транслировать программу
die Braue ist dunkel                             |бровь темная
die Lippe ist rot                                |губа красная
die Klatsche ist kaputt                          |мухобойка сломана
der Imbiss ist lecker                            |закуска вкусная
die Vererbung regeln                             |регулировать наследование
anfangs skeptisch sein                           |сначала быть скептичным
die Tapete kleben                                |клеить обои
die Garderobe ist groß                           |гардероб большой
auf die Kinder achten                            |присматривать за детьми
dieses Zitat zitieren                            |цитировать эту цитату
abermals versuchen                               |попробовать вновь
unter Druck leiden                               |страдать под давлением
mit Angabe der Adresse                           |с указанием адреса
der Zugfahrplan ändert sich                      |расписание поездов меняется
die Sängerin hören                               |слушать певицу
das Wohlbefinden verbessern                      |улучшать самочувствие
den Unterschied vergessen                        |забыть разницу
der Papagei spricht                              |попугай говорит
haben verstanden                                 |поняли
die Finanzierung ist gesichert                   |финансирование обеспечено
einigen auf ein Ziel                             |согласовывать цель
nacheinander arbeiten                            |работать друг за другом
statt zu arbeiten                                |вместо работы
etwas Schlechtes anstellen                       |натворить что-то плохое
der Schädel ist stark                            |череп крепкий
Wasser fluten                                    |течь сплошным потоком воды
die Blende ist eingestellt                       |диафрагма настроена
abends fernsehen                                 |смотреть телевизор вечером
das beschriftete Schildchen befestigen           |прикрепить багажную бирку
die Bequemlichkeit ist hoch                      |комфорт высокий
der Streit ist laut                              |ссора громкая
wöchentliche Treffen                             |еженедельные встречи
die Sachlage verstehen                           |понимать обстоятельства
der Angestellte arbeitet                         |служащий работает
veröden das Land                                 |опустошать землю
die Schleuse passieren                           |проходить через шлюз
eine ausführliche Beschreibung                   |подробное описание
der Vorwurf ist scharf                           |упрек резок
die Bedeutung ist wichtig                        |значение важно
es hat in der Nacht gefroren                     |ночью был мороз
ein sträflicher Fehler                           |непростительная ошибка
sich zudecken mit einer Decke                    |укрываться одеялом
dann gehen                                       |потом уйти
der Supermarkt ist groß                          |супермаркет большой
der Zucker ist süß                               |сахар сладкий
diesseits des Flusses                            |по эту сторону реки
dich liebe                                       |тебя люблю
Beispiele anführen                               |приводить примеры
die Schrift lesen                                |читать сочинение
ein stickiger Raum                               |душная комната
sich wenden an einen Experten                    |обращаться к эксперту
ein ausgesprochenes Talent                       |явный талант
die Rate zahlen                                  |платить взнос
das Lebensmittelgeschäft besuchen                |посетить продовольственный магазин
der Verkäufer spricht                            |продавец говорит
die Lage ist schwierig                           |обстоятельства сложные
der Fraß ist frisch                              |корм свежий
der Boden wischen                                |мыть пол
der Pilz wächst                                  |гриб растет
ein unabsichtlicher Fehler                       |непреднамеренная ошибка
die Pflege übernehmen                            |взять на себя уход
das Märchen erzählen                             |рассказывать сказку
das Vergnügen suchen                             |искать удовольствие
weltbekannter Künstler                           |всемирно известный художник
mehr Geld                                        |больше денег
für die Prüfung büffeln                          |зубрить к экзамену
sich schämen                                     |стыдиться
das Gebäck backen                                |печь печенье
die Nebensächlichkeit ignorieren                 |игнорировать второстепенность
die Pille einnehmen                              |принимать таблетку
das Wahrzeichen besichtigen                      |осмотреть символ
der Stein ist schwer                             |камень тяжелый
anfallsartige Schmerzen haben                    |испытывать приступообразные боли
dieselben Bücher lesen                           |читать те же книги
die Laube genießen                               |наслаждаться беседкой
selbst etwas tun                                 |сделать что-то самому
entweichen das Gas                               |улетучиваться газ
der April beginnt                                |начинается апрель
der Gürtel passt                                 |пояс подходит
ein alljährliches Fest                           |ежегодный праздник
der Widerspruch ist groß                         |противоречие велико
auf dem Bett liegen                              |лежать на кровати
die Männertoilette ist sauber                    |мужской туалет чистый
einen Stuhl setzen                               |ставить стул
auseinandergehen                                 |расходиться
die Nähe spüren                                  |ощущать близость
die Senkung der Preise                           |снижение цен
die Spule wickeln                                |наматывать катушку
ein gewaltiges Gebäude                           |огромное здание
darum bitten                                     |просить об этом
Wasser verdampfen                                |выпаривать воду
jemanden abholen                                 |забирать кого-то
die Muschel abheben                              |снять телефонную трубку
einen Patienten untersuchen                      |осматривать пациента
die Tube öffnen                                  |открыть тюбик
überlegen den Plan                               |обдумывать план
die Hütte ist klein                              |шалаш маленький
der Schuh putzen                                 |чистить обувь
das Studium absolvieren                          |закончить обучение в ВУЗе
die Malerei bewundern                            |любоваться живописью
ein Gesetz missachten                            |не уважать закон
eine Maschine funktionieren                      |функционировать машину
die Prüfung bestehen                             |сдать экзамен
der Notausgang ist offen                         |запасный выход открыт
durchmachen eine Krise                           |переживать кризис
ein schmerzhafter Verlust                        |болезненная потеря
die Fensterscheiben anlaufen                     |стекла запотели
terrestrische Lebensformen                       |земные формы жизни
die Rinne reinigen                               |чистить желоб
vorschlagen eine Idee                            |предлагать идею
eingehen auf eine Frage                          |останавливаться на вопросе
der Haufen liegt                                 |куча лежит
enthärten das Wasser                             |смягчать воду
der Spass ist groß                               |удовольствие велико
eine Pflanze umsetzen                            |пересаживать растение
entspann dich                                    |расслабься
sich aufregen                                    |волноваться
die Leute begrüßen                               |приветствовать людей
in der Stadt leben                               |жить в городе
effektiv arbeiten                                |работать эффективно
ein unmündiges Kind                              |несовершеннолетний ребенок
die Handbremse funktioniert                      |ручной тормоз работает
in einem Zustand verharren                       |оставаться в состоянии
wichtige Dinge erledigen                         |решать важные дела
eine orthodoxe Kirche                            |православная церковь
verteidigen die Stadt                            |защищать город
die Münzen sammeln                               |собирать монеты
der Zweifel ist groß                             |сомнение велико
die Diskretion ist notwendig                     |сдержанность необходима
die Tränen stürzten ihr aus den Augen            |слезы брызнули у неё из глаз
das Unwohlsein spüren                            |чувствовать недомогание
die Qualität prüfen                              |проверить качество
der Bestimmungshafen erreichen                   |достигать порта назначения
der Fluss fließt                                 |река течет
die Tabletten einnehmen                          |принимать таблетки
einem Ansuchen entsprechen                       |удовлетворить ходатайство
ein ungerechtfertigter Anspruch                  |необоснованное требование
ein gescheitertes Projekt                        |провалившийся проект
zusehen beim Spiel                               |наблюдать за игрой
entzündlich Material                             |воспламеняющийся материал
die Kartoffeln sind gekocht                      |картофель приготовлен
die Fiction ist spannend                         |научная фантастика увлекательна
der Zauber wirkt                                 |колдовство действует
das Bügeleisen benutzen                          |пользоваться утюгом
die Plätze sind besetzt                          |места заняты
das graue Erlebnis                               |ужасный опыт
im Park spazierengehen                           |гулять в парке
die Reihe einhalten                              |соблюдать порядок
bitte sehr                                       |пожалуйста
die Spülung durchführen                          |выполнять промывание
die Hoffnung ist groß                            |надежда велика
der Museumsbesuch ist interessant                |посещение музея интересное
ein unverfälschtes Produkt                       |неподдельный продукт
der Trieb wächst                                 |инстинкт растет
der Versuch ist wichtig                          |попытка важна
die Woche planen                                 |планировать неделю
die Farbe ist schön                              |цвет красивый
der Bote kommt                                   |посыльный приходит
die Hüfte ist breit                              |бедро широкое
die Bekanntmachung ist wichtig                   |объявление важно
zurückrufen den Anruf                            |перезвонить
der Herr spricht                                 |господин говорит
zusammen frühstücken                             |завтракать вместе
die Partei gründen                               |создать партию
die Agentur hilft                                |агентство помогает
das Verstopfen vermeiden                         |избегать засорения
ein unverzügliches Handeln                       |незамедлительное действие
wegen des Unfalls                                |из-за аварии
der Ruhm wächst                                  |слава растет
der Konsum steigt                                |потребление растет
das Ostern feiern                                |праздновать Пасху
der Walzer wird getanzt                          |танцуют вальс
das Leim verwenden                               |использовать клей
sich morgens recken                              |вытягиваться по утрам
die Zeit einteilen                               |планировать время
die Begleiterkrankung ist schwer                 |сопутствующее заболевание тяжелое
die Geschwindigkeitsbeschränkung ist klar        |ограничение скорости ясно
war glücklich                                    |был счастлив
die Diagnose ist gestellt                        |диагноз поставлен
der Safe ist sicher                              |сейф безопасный
der Russe spricht                                |русский говорит
die Aufbereitung ist notwendig                   |предварительная обработка необходима
der Gesetzentwurf wird diskutiert                |законопроект обсуждается
ein ungelernter Arbeiter                         |неквалифицированный работник
der Quark ist frisch                             |творог свежий
Fische unterscheiden                             |различать рыбы
der Arbeiter arbeitet                            |рабочий работает
sich bei einem Lehrer beklagen                   |пожаловаться учителю
die Souvenirs kaufen                             |покупать сувениры
etwas beiseite legen                             |отложить что-то в сторону
die Beurteilung der Lage ist schwierig           |оценка обстановки трудная
die Tafel putzen                                 |мыть панель
vom Thema ablenken                               |отвлекать от темы
die Verwüstung beseitigen                        |устранять опустошение
sein Ansuchen an jemanden stellen                |подать прошение кому-либо
zusammenfassen die Ergebnisse                    |обобщать результаты
die Glocke klingelt                              |колокол звонит
der Lump lügt                                    |негодяй лжет
der Ernst ist wichtig                            |серьезность важна
denken an die Zukunft                            |думать о будущем
der Müll wird gesammelt                          |мусор собирается
gegenseitig helfen                               |взаимно помогать
der Schmuck ist teuer                            |украшение дорогое
ein Tier schlachten                              |резать животное
die Fernbedienung funktioniert                   |дистанционное управление работает
ein Konto ausschöpfen                            |исчерпать счет
ein minderjähriges Kind                          |несовершеннолетний ребенок
er ist bereits angekommen                        |он уже приехал
der Tag beginnt                                  |день начинается
von einer Gelegenheit profitieren                |извлекать выгоду из возможности
die Unannehmlichkeit vermeiden                   |избегать неприятностей
die Bereicherung ist groß                        |обогащение велико
die Säure neutralisieren                         |нейтрализовать кислоту
die Temperatur messen                            |измерять температуру
vollständige Liste                               |полный список
die Legislative beschließen                      |принимать законодательство
einen Muskel lähmen                              |парализовать мышцу
über ein Thema reden                             |говорить о теме
das Weinglas füllen                              |наполнять бокал
eine vermisste Person                            |пропавший человек
durchführen ein Projekt                          |осуществлять проект
verursachen Schmerzen                            |причинять боль
die Kosten berechnen                             |рассчитывать затраты
wievielte Platz?                                 |какое место?
das gepflegte Aussehen                           |ухоженная внешность
die Autobahn ist breit                           |автострада широкая
der Fußball wird gespielt                        |играют в футбол
das Richtige tun                                 |делать правильное
die Rechnung bezahlen                            |оплатить счет
so ist das Leben                                 |такова жизнь
alte Fotos aufbewahren                           |хранить старые фотографии
ein unerwünschtes Verhalten                      |нежелательное поведение
der Fernseher läuft                              |телевизор работает
der Widerstand ist stark                         |сопротивление сильное
einen Termin anberaumen                          |назначать встречу
eine besorgniserregende Nachricht                |тревожная новость
versehen mit notwendigen Mitteln                 |снабжать необходимыми средствами
die Schnecke beobachten                          |наблюдать за улиткой
einstecken das Kabel                             |вставлять кабель
Briefmarken sammeln                              |собирать марки
sich auf ein Thema beziehen                      |ссылаться на тему
der Frühling kommt                               |весна приходит
ein banges Gefühl                                |тревожное чувство
einer Frage ausweichen                           |уклоняться от вопроса
eine nahe Beziehung                              |близкие отношения
den Müll fortschaffen                            |убирать мусор
ein berüchtigtes Individuum                      |известная личность
edel wie ein Diamant                             |драгоценный как алмаз
ein Projekt unternehmen                          |предпринимать проект
eine Substanz umwandeln                          |преобразовывать вещество
im Jahr neunzehnhundertachtzig                   |в 1980 году
die Kehle ist trocken                            |горло сухое
die Pflegeeltern besuchen                        |навещать приемных родителей
die Haltestelle ist nah                          |остановка близко
laut gähnen                                      |громко зевать
der Eintritt ist frei                            |вход свободный
eine Person strafen                              |наказывать человека
die Puppe spielen                                |играть с куклой
warnen vor + D                                   |предостерегать от
erfolglos Versuch                                |безуспешная попытка
die Blume im Garten                              |цветок в саду
die Haare sind weich                             |шерсть мягкая
eine Fähigkeit aufweisen                         |проявлять способность
der Zustand ist stabil                           |состояние стабильное
der Mörder flieht                                |убийца убегает
das Sparkonto eröffnen                           |открывать сберегательный счет
der Anhaltspunkt fehlt                           |отсутствует основание
ein Fernstudium absolvieren                      |закончить заочное обучение
das Glück suchen                                 |искать счастье
die Bushaltestelle ist voll                      |автобусная остановка полная
ein stilles Wasser                               |тихая вода
gegebenenfalls handeln                           |действовать при необходимости
widerlegen eine Theorie                          |опровергать теорию
ein Spiel spielen                                |играть в игру
ein Projekt abwickeln                            |проводить проект
fahren mit dem Auto                              |ехать на машине
die Schwägerin einladen                          |пригласить невестку
der Donnerstag kommt                             |четверг наступает
der Eilbote kommt                                |курьер приходит
die Süßigkeiten essen                            |есть сладости
der Gastgeber begrüßt                            |хозяин приветствует
von einem Thema handeln                          |иметь дело с темой
der Fluss fließt                                 |река течет
übergehen zum nächsten Punkt                     |перейти к следующему пункту
die graue Wahrheit                               |ужасная правда
drucken einen Bericht                            |печатать отчёт
das Zubehör kaufen                               |покупать принадлежности
der Kuchen ist süß                               |пирог сладкий
die Trümmer wegräumen                            |убирать обломки
das Futter kaufen                                |покупать корм
gehalten sein zu helfen                          |быть обязанным помочь
die Vorwahlnummer wählen                         |набирать телефонный код
die Stahlerzeugung reduzieren                    |сокращать производство стали
der Parkplatz ist frei                           |автостоянка свободна
der Balkon genießen                              |наслаждаться балконом
einsehen einen Fehler                            |осознавать ошибку
ein unverhohlenes Lächeln                        |явная улыбка
der Zahn tut weh                                 |зуб болит
sich äußern zu einem Thema                       |высказываться по теме
der Bahnhof verlassen                            |покидать вокзал
einen Flug buchen                                |бронировать рейс
wechseln die Kleidung                            |сменить одежду
der Februar ist kalt                             |февраль холодный
eine Prüfung benoten                             |оценивать экзамен
der Apfelbaum                                    |яблоня
die Häufung ist groß                             |накопление велико
entwöhnen von der Gewohnheit                     |отучать от привычки
die Vorführung planen                            |планировать сеанс
überreichen das Geschenk                         |вручать подарок
deine Meinung                                    |твое мнение
die Stimme hören                                 |слышать голос
das brüchige Glas                                |ломкое стекло
ein Gerät an das Stromnetz anschließen           |подключить прибор к электросети
die Strapaze überstehen                          |выдерживать напряжение
die Anleitung ist klar                           |руководство понятно
ein Schwein quieken                              |свинья визжит
das Herzohr untersuchen                          |исследовать ушко предсердия
sich im Frühling verloben                        |обручиться весной
ein kürzerer Weg                                 |более короткий путь
das Ufer erreichen                               |достигать берега
das Versehen korrigieren                         |исправлять ошибку
in ein Horn trompeten                            |трубить в рог
einfassen einen Spiegel                          |обрамлять зеркало
der Bademantel ist weich                         |купальный халат мягкий
der Großvater erzählt                            |дедушка рассказывает
wolkenloser Himmel                               |безоблачное небо
der Lehrgang beginnt                             |курсы начинаются
dienstlich reisen                                |ездить по делам службы
die Schwingung messen                            |измерять колебание
eine wichtige Veranstaltung                      |важное мероприятие
eine fremde Kultur                               |чужая культура
die Gesundheit ist wichtig                       |здоровье важно
eine Arbeit abgeben                              |сдавать работу
zurückblicken auf die Vergangenheit              |оглядываться на прошлое
ein Kleid anprobieren                            |примерять платье
der Edelstein funkelt                            |драгоценный камень сверкает
der Hunderter wird gezählt                       |сотня считается
ein spürbarer Unterschied                        |ощутимая разница
regen Sie sich nicht auf                         |не расстраивайтесь
wiedergeben das Buch                             |вернуть книгу
die Gewähr ist gegeben                           |гарантия предоставлена
die Fraktur ist kompliziert                      |перелом сложный
der Scheitern ist schmerzhaft                    |провал болезненный
erwarten Besuch                                  |ожидать гостей
die Gabel liegt                                  |вилка лежит
der Rodelschlitten fährt                         |санки едут
die Menge bewundern                              |любоваться множеством
ein nachweisbares Ergebnis                       |доказуемый результат
das Thermometer benutzen                         |пользоваться термометром
einander unterstützen                            |поддерживать друг друга
die Tür geschlossen                              |дверь закрыта
das Abendessen servieren                         |подавать ужин
der Botschafter spricht                          |посол говорит
der Vetter besucht                               |двоюродный брат приезжает
die Ursache feststellen                          |выяснять причину
die Sache klären                                 |уточнить дело
die Berechnung ist richtig                       |вычисление правильное
Wasser trüben                                    |мутить воду
eine Zigarette rauchen                           |курить сигарету
der Schmaus ist lecker                           |пир вкусный
erfahren eine Neuigkeit                          |узнавать новость
ein renommierter Wissenschaftler                 |уважаемый ученый
das Ehepaar sein                                 |быть супругами
