of|IO|The color of the car is red.
proteolytic|JJ|The proteolytic enzymes broke down the protein.
houseful|NN|They had a houseful of guests last night.
incan|JJ|The Incan ruins were breathtaking.
voter-approved|JJ|The voter-approved measure passed easily.
reviewed|JJ|The reviewed manuscript was ready for publication.
near-miss|NN|The near-miss was a wake-up call for safety.
mannish|JJ|The suit had a mannish cut.
tinned|JJ|They used tinned food for the trip.
belay|VV0|He had to belay the climber for safety.
lettered|JJ|The lettered sign was clear and visible.
syncretic|JJ|The syncretic religion combined multiple beliefs.
interobserver|JJ|The interobserver agreement was high.
corporate|NN|The corporate entity was well-established.
porterhouse|NN|He ordered a porterhouse steak for dinner.
carney|NN|The carney invited them to play the game.
deregulatory|JJ|The deregulatory policies changed the industry.
opportunistically|RR|He acted opportunistically to seize the moment.
pony-tailed|JJ|The pony-tailed girl played soccer.
confit|NN|They served duck confit at the dinner.
self-portrait|JJ|He painted a self-portrait in his studio.
two-timing|JJ|She caught him in a two-timing lie.
tailwind|NN|The plane had a strong tailwind.
indiscernible|JJ|The difference was almost indiscernible.
shipowner|NN|The shipowner inspected the vessel.
anthropomorphize|VV0|She tended to anthropomorphize her pets.
neoplatonic|JJ|He studied Neoplatonic philosophy.
barrenness|NN|The barrenness of the land was striking.
unifier|NN|He was a unifier in the community.
glass-enclosed|JJ|They dined in a glass-enclosed room.
maasai|NN|The Maasai people are known for their culture.
pell-mell|RR|The kids ran pell-mell through the park.
streetwalker|NN|The streetwalker was questioned by the police.
orthopedics|NN|He specialized in orthopedics.
detainment|NN|The detainment lasted for hours.
note-taking|NN|Effective note-taking is a valuable skill.
chinese-made|JJ|The Chinese-made products were affordable.
hidalgo|NN|The hidalgo was proud of his heritage.
psychometrically|RR|The test was psychometrically sound.
uh-uh-uh|UH|"Uh-uh-uh," she hesitated before answering.
tesseract|NN|The scientist explained the concept of a tesseract.
laryngoscope|NN|The doctor used a laryngoscope during the examination.
duty-bound|JJ|He felt duty-bound to help.
ne-yo|UH|"Ne-yo," she sang along to the song.
sixth-round|JJ|He was a sixth-round draft pick.
back-room|JJ|They had a back-room meeting.
threshing|NN|Threshing was hard work in the fields.
unethically|RR|He acted unethically in the transaction.
glucagon|NN|The doctor administered glucagon.
headlining|JJ|The headlining act was sensational.
satisfyingly|RR|She satisfyingly completed the puzzle.
prole|NN|The novel focused on the life of a prole.
stevedore|NN|The stevedore unloaded the cargo.
praetorian|JJ|The praetorian guard protected the emperor.
nubby|JJ|The sweater had a nubby texture.
ptarmigan|NN|The ptarmigan camouflaged in the snow.
squeamishness|NN|Her squeamishness kept her from watching the surgery.
mini-mart|NN|He stopped at the mini-mart for snacks.
tapper|NN|The tapper made quick work of the trees.
subscript|NN|The formula included a subscript.
antitoxin|NN|The antitoxin saved the patient's life.
clusterfuck|NN|The event turned into a clusterfuck quickly.
neo-colonialism|NN|Neo-colonialism was discussed in the lecture.
silver|VV0|They plan to silver the mirror's surface.
backhand|RR|He hit the ball backhand over the net.
bargain-basement|JJ|They found bargain-basement prices at the sale.
shingled|JJ|The shingled roof was damaged in the storm.
laminar|JJ|The flow was smooth and laminar.
endometrium|NN|The endometrium was examined under the microscope.
switch-hitter|NN|The switch-hitter was valuable to the team.
wielder|NN|The wielder of the sword was fearless.
craniofacial|JJ|The craniofacial surgery was successful.
stenciled|JJ|The wall was stenciled with a floral design.
omicron|NN|The scientist identified the Omicron variant.
outgain|VV0|They tried to outgain the competition.
oxygenated|JJ|The oxygenated water was beneficial for the fish.
nucleation|NN|Nucleation occurred rapidly in the solution.
valorize|VV0|They sought to valorize the hero’s deeds.
semolina|NN|Semolina is used to make pasta.
hallo|UH|"Hallo!" he shouted from across the street.
test-taker|NN|The test-taker was nervous before the exam.
waveguide|NN|The waveguide directed the signal.
falling-out|NN|They had a falling-out over the disagreement.
ill-mannered|JJ|The ill-mannered guest was rude.
all-boy|JJ|He attended an all-boy school.
monkfish|NN|Monkfish is a popular dish in gourmet restaurants.
drug-testing|JJ|The company has a strict drug-testing policy.
reconceive|VV0|They had to reconceive the original plan.
klansman|NN|The klansman was known for his hateful views.
cost-sharing|NN|Cost-sharing helped reduce the overall expenses.
zag|VV0|The runner had to zag to avoid the obstacle.
front-wheel|JJ|The car had front-wheel drive.
cysteine|NN|Cysteine is an important amino acid.
oval-shaped|JJ|The oval-shaped table fit perfectly in the room.
organismal|JJ|The study focused on organismal biology.
pleasantness|NN|The pleasantness of the day was undeniable.
spirochete|NN|The spirochete was observed under the microscope.
scrapbooking|NN|She enjoyed scrapbooking in her free time.
hours-long|JJ|They had an hours-long meeting.
iron-rich|JJ|She followed an iron-rich diet.
red-nosed|JJ|The red-nosed clown entertained the children.
uncredited|JJ|The uncredited actor remained unknown.
pincers|NN|The crab's pincers were sharp.
astigmatism|NN|He was diagnosed with astigmatism.
acid-free|JJ|They used acid-free paper for the documents.
mud-brick|JJ|The mud-brick house was sturdy.
undervote|VV0|Some voters may undervote on certain issues.
unmercifully|RR|The team was unmercifully criticized.
flesh-colored|JJ|She used flesh-colored paint for the portrait.
tooling|NN|The factory specialized in metal tooling.
grilling|JJ|They enjoyed grilling burgers in the backyard.
provincialism|NN|Provincialism influenced the town's policies.
dalmatian|JJ|She wore a dalmatian-print coat.
pre-employment|JJ|The pre-employment screening was thorough.
designator|NN|The designator assigned the project roles.
nonprescription|JJ|She bought nonprescription glasses.
quintuplet|NN|The quintuplet siblings were inseparable.
programme|NN|The programme included several interesting talks.
grope|NN|His grope for the light switch was unsuccessful.
interfering|JJ|The interfering signal caused issues with the broadcast.
subarachnoid|JJ|He suffered a subarachnoid hemorrhage.
enviously|RR|She enviously watched them succeed.
mutagenesis|NN|The study focused on mutagenesis in bacteria.
biogenesis|NN|Biogenesis is a fundamental concept in biology.
allusive|JJ|His allusive remarks confused the audience.
docility|NN|Her docility made her easy to train.
asymptotically|RR|The function approached zero asymptotically.
bebop|VV0|They loved to bebop to the music.
land-owning|JJ|The land-owning family was wealthy.
enshroud|VV0|Mist began to enshroud the valley.
team-based|JJ|The project was team-based and collaborative.
horseshoe-shaped|JJ|The horseshoe-shaped lake was unique.
misallocation|NN|The misallocation of funds caused problems.
strength-training|JJ|He followed a strict strength-training regimen.
obstetrical|JJ|She received obstetrical care during her pregnancy.
busk|VV0|They busk in the subway for money.
cheesemaker|NN|The cheesemaker crafted artisanal cheeses.
carbonara|NN|They ordered pasta carbonara for dinner.
pugilist|NN|The pugilist trained for his next fight.
stagecraft|NN|Her stagecraft skills were impressive.
gumdrop|NN|The gumdrop candy was sweet and chewy.
townie|NN|The townie knew everyone in the small village.
teleconferencing|NN|They used teleconferencing for the meeting.
up-market|JJ|They shopped at an up-market boutique.
nanostructure|NN|The nanostructure was examined under a microscope.
natural-looking|JJ|She applied natural-looking makeup.
sinfully|RR|The cake was sinfully delicious.
marrying|JJ|The marrying couple looked happy.
ankle-length|JJ|She wore an ankle-length dress.
short-form|JJ|The short-form document was easy to read.
erotically|RR|The novel was written erotically.
geordie|NN|The Geordie accent was difficult to understand.
total-body|JJ|He did a total-body workout at the gym.
granitic|JJ|The granitic rock was hard and durable.
programmatically|RR|The system was programmatically designed.
chloramine|NN|Chloramine is used to disinfect water.
cardinality|NN|Cardinality is a key concept in mathematics.
chainlink|NN|The fence was made of chainlink.
one-line|JJ|He delivered a clever one-line joke.
vampirism|NN|The story explored themes of vampirism.
pay-for-performance|JJ|The pay-for-performance model was implemented.
lucidly|RR|She explained the theory lucidly.
homegirl|NN|His homegirl was always by his side.
tamarisk|NN|The tamarisk trees lined the riverbank.
rootkit|NN|The hacker used a rootkit to gain access.
unlovely|JJ|The building was unlovely and dilapidated.
lineal|JJ|The lineal descendants inherited the estate.
dually|RR|He dually managed both projects.
bacilli|NN|The bacilli were observed under the microscope.
six-member|JJ|The six-member team was efficient.
motile|JJ|The motile cells moved quickly under the microscope.
photonics|NN|Photonics is the study of light particles.
fundament|NN|The fundament of the theory was sound.
inadvisable|JJ|It was inadvisable to continue in the storm.
trapezium|NN|The trapezium was a key concept in geometry.
wicking|NN|The fabric had excellent wicking properties.
connivance|NN|His connivance in the scheme was uncovered.
cherry-picking|NN|He was accused of cherry-picking data.
ossify|VV0|Over time, the cartilage will ossify.
one-trick|JJ|He was a one-trick pony in the competition.
poisoner|NN|The poisoner was apprehended by the authorities.
heave-ho|UH|"Heave-ho!" they shouted as they pulled the rope.
methotrexate|NN|Methotrexate is used in chemotherapy.
missional|JJ|The missional work was challenging but rewarding.
symbology|NN|Symbology plays a key role in literature.
roper|NN|The roper skillfully lassoed the calf.
levothyroxine|NN|Levothyroxine is prescribed for thyroid issues.
expansiveness|NN|The expansiveness of the desert was overwhelming.
thumbtack|NN|He pinned the paper with a thumbtack.
all-round|JJ|She is an all-round athlete.
backward-looking|JJ|The backward-looking policies were criticized.
rhythmical|JJ|The dance was rhythmical and graceful.
lethally|RR|The poison was lethally effective.
unrehearsed|JJ|Their performance was unrehearsed but flawless.
sugarplum|NN|The sugarplum was a favorite holiday treat.
wittily|RR|He wittily responded to the challenge.
seitan|NN|Seitan is a popular meat substitute.
menfolk|NN|The menfolk gathered in the barn.
dace|NN|The dace swam swiftly in the stream.
cardiothoracic|JJ|The cardiothoracic surgery was successful.
resect|VV0|The surgeon had to resect the tumor.
buccal|JJ|The buccal area was swollen.
frank|NN|They shared a frank conversation.
peloponnesian|JJ|The Peloponnesian War was a significant conflict.
horrifyingly|RR|The scene was horrifyingly gruesome.
kentuckian|NN|The Kentuckian was proud of his heritage.
recalcitrance|NN|His recalcitrance made negotiations difficult.
wearisome|JJ|The task was long and wearisome.
mujahedin|NN|The mujahedin fought fiercely.
hyperventilation|NN|She experienced hyperventilation during the panic attack.
alcohol-free|JJ|They served alcohol-free drinks at the event.
berserker|NN|The berserker charged into battle without fear.
anchored|JJ|The anchored ship was stable during the storm.
ductile|JJ|The ductile metal was easy to shape.
imprecation|NN|He muttered an imprecation under his breath.
tatar|NN|The Tatar people have a rich history.
turf|VV0|They planned to turf the new field.
price-to-earnings|JJ|The price-to-earnings ratio was favorable.
forced-choice|JJ|The survey used forced-choice questions.
butterball|NN|They roasted a butterball turkey for Thanksgiving.
oxbow|NN|The oxbow lake was a peaceful retreat.
rediscovered|JJ|The rediscovered manuscript was valuable.
playbill|NN|He kept the playbill as a souvenir.
youth-oriented|JJ|The youth-oriented program was popular.
self-starter|NN|She's a self-starter who needs little supervision.
interminably|RR|The meeting dragged on interminably.
tablature|NN|He studied the tablature for his guitar lesson.
salesclerk|NN|The salesclerk was helpful.
upsilon|NN|The upsilon symbol was used in the equation.
sourness|NN|The sourness of the lemon was intense.
pitbull|NN|The pitbull was well-trained.
illusionistic|JJ|The painting had an illusionistic quality.
adjustability|NN|The chair's adjustability made it comfortable.
anti-clinton|JJ|The anti-Clinton rhetoric was strong.
archetypical|JJ|He was the archetypical hero of the story.
univocal|JJ|The message was clear and univocal.
roll-call|NN|They took a roll-call before the meeting.
tracheostomy|NN|The patient required a tracheostomy.
semi-regular|JJ|They had semi-regular meetings every month.
pencil-thin|JJ|He drew a pencil-thin line.
uveitis|NN|Uveitis can cause serious eye issues.
nonhandicapped|JJ|The nonhandicapped students participated equally.
pandora|NN|The myth of Pandora is well-known.
open-faced|JJ|They served open-faced sandwiches.
punk-rock|JJ|The punk-rock band was loud and energetic.
fine-dining|JJ|They enjoyed fine-dining at the restaurant.
cost-effectively|RR|They managed the project cost-effectively.
tun|NN|The tun was full of ale.
taoist|JJ|He followed Taoist principles.
unspent|JJ|The unspent funds were returned.
soundboard|NN|The soundboard was critical for the concert.
codpiece|NN|The costume included a codpiece.
mowed|JJ|The freshly mowed lawn smelled nice.
slivered|JJ|He added slivered almonds to the salad.
three-letter|JJ|The code was a simple three-letter combination.
gape|NN|The wide gape of the door was surprising.
lariat|NN|The cowboy used a lariat to catch the cattle.
jacaranda|NN|The jacaranda tree bloomed in purple.
instant-read|JJ|She used an instant-read thermometer to check the roast.
twenty-eight-year-old|JJ|The twenty-eight-year-old man was an athlete.
proofing|NN|The baker worked on the dough's proofing.
fill-in-the-blank|JJ|The test had a fill-in-the-blank section.
discursively|RR|He spoke discursively, covering many topics.
overtrain|VV0|He tends to overtrain before competitions.
burgess|NN|The burgess was elected to represent the town.
steno|NN|The steno took notes rapidly during the trial.
spawner|NN|The fish was a prolific spawner.
seaborne|JJ|The seaborne trade was prosperous.
symbolise|VV0|The dove symbolises peace.
supportable|JJ|The theory was supportable with evidence.
short-seller|NN|The short-seller profited from the market crash.
muscularity|NN|His muscularity was impressive.
bioaerosol|NN|The bioaerosol was studied in the lab.
downregulation|NN|Downregulation affected the gene expression.
best-laid|JJ|The best-laid plans often go awry.
mutability|NN|The mutability of the policy caused issues.
sous-chef|NN|The sous-chef prepared the ingredients.
weird-looking|JJ|The weird-looking creature fascinated the scientists.
sagacious|JJ|The sagacious leader made wise decisions.
intraspecific|JJ|The intraspecific competition was intense.
tweeze|VV0|She decided to tweeze her eyebrows.
coptic|NN|The Coptic Church has ancient traditions.
commentariat|NN|The commentariat was divided on the issue.
spitting|NN|Spitting in public is frowned upon.
puzzlemaster|NN|The puzzlemaster created challenging crosswords.
pre-race|JJ|The pre-race briefing was detailed.
catch-and-release|JJ|They followed a catch-and-release policy for fishing.
disrespectfully|RR|He spoke disrespectfully to his elders.
brassica|NN|Brassica vegetables are healthy.
danceable|JJ|The song was very danceable.
spermicide|NN|They used spermicide as a contraceptive.
communality|NN|The communality of the group was strong.
wiretapping|JJ|Wiretapping is illegal without a warrant.
jewess|NN|The jewess was known for her beauty.
urbanity|NN|The urbanity of the city was appealing.
personified|JJ|He personified the ideal leader.
anti-incumbent|JJ|The anti-incumbent sentiment was growing.
best-picture|JJ|The film won the best-picture award.
advisee|NN|The advisee met with her mentor regularly.
nephritis|NN|Nephritis is a serious kidney condition.
tittle|NN|The document had every tittle in place.
uncultured|JJ|He was seen as uncultured and rude.
ineradicable|JJ|The memory was ineradicable from his mind.
flag-draped|JJ|The flag-draped coffin was a solemn sight.
good-time|JJ|They had a good-time atmosphere at the party.
half-shell|NN|The oysters were served on the half-shell.
sensation-seeking|JJ|His sensation-seeking behavior worried his friends.
year-earlier|JJ|The year-earlier data showed growth.
four-digit|JJ|He entered a four-digit PIN code.
bowstring|NN|He pulled the bowstring back carefully.
palindrome|NN|The word "radar" is a palindrome.
bulrush|NN|The bulrush grew by the water's edge.
victuals|NN|The victuals were enough for the journey.
medievalist|NN|The medievalist lectured on the Middle Ages.
patient-specific|JJ|The treatment was patient-specific.
tuned|JJ|The instrument was finely tuned.
thawed|JJ|The meat was thawed and ready to cook.
rootworm|NN|The rootworm damaged the crops.
inflatable|NN|The kids played on the inflatable.
extemporaneous|JJ|His extemporaneous speech was impressive.
analyte|NN|The analyte was detected in the solution.
acupressure|NN|She tried acupressure for pain relief.
tigress|NN|The tigress protected her cubs fiercely.
duodenum|NN|The doctor examined the duodenum.
shoot-down|NN|The shoot-down was accidental.
last-second|JJ|He made a last-second decision.
enfeeble|VV0|The disease began to enfeeble him.
towny|NN|The towny knew all the local gossip.
hormonally|RR|Hormonally, she was out of balance.
meanderings|NN|His meanderings led him far from home.
debugging|NN|Debugging the code was time-consuming.
bopper|NN|The teen was a big fan of bopper music.
rescission|NN|The contract rescission was unexpected.
disaggregation|NN|Disaggregation of the data revealed trends.
non-cognitive|JJ|The test measured non-cognitive skills.
ciabatta|NN|He ordered a sandwich on ciabatta bread.
pneumocystis|NN|Pneumocystis pneumonia is a serious condition.
fear-mongering|JJ|The fear-mongering campaign spread quickly.
per-share|JJ|The earnings-per-share increased this quarter.
second-level|JJ|They reached the second-level in the game.
godhood|NN|The character's godhood was central to the plot.
entrepreneurialism|NN|Entrepreneurialism is encouraged at the school.
voluntarism|NN|Voluntarism is vital for community projects.
seventy-year-old|JJ|The seventy-year-old building was renovated.
asphyxia|NN|The cause of death was asphyxia.
three-to-one|JJ|They won the match three-to-one.
all-too-common|JJ|Such mistakes are all-too-common.
mope|NN|His mope after the breakup was noticeable.
immunogenicity|NN|The vaccine's immunogenicity was tested.
pertinence|NN|The pertinence of the question was clear.
watered|JJ|The watered plants thrived in the garden.
supernaturalism|NN|The book explored themes of supernaturalism.
triadic|JJ|The triadic relationship was complex.
lower-quality|JJ|The lower-quality product was cheaper.
pedantry|NN|His pedantry annoyed his colleagues.
mediterranean-style|JJ|They built a Mediterranean-style villa.
stickleback|NN|The stickleback fish is common in streams.
non-cooperation|NN|Non-cooperation hindered the project's progress.
carotenoid|JJ|Carotenoid pigments give carrots their color.
parents/guardian|NN|The form required a signature from a parents/guardian.
busker|NN|The busker played guitar on the street corner.
oh-oh-oh|UH|"Oh-oh-oh," she exclaimed in surprise.
plowshare|NN|The farmer sharpened the plowshare.
metathesis|NN|Metathesis is common in linguistic changes.
self-parody|NN|The comedian's act was a self-parody.
hitmaker|NN|The producer was a well-known hitmaker.
kiddy|JJ|The kiddy pool was shallow and safe.
techy|JJ|The techy device was popular among teens.
uprightness|NN|His uprightness made him respected in the community.
arcadian|JJ|The arcadian setting was peaceful and serene.
right-sided|JJ|He had right-sided weakness after the stroke.
mange|NN|The dog suffered from mange.
clindamycin|NN|Clindamycin was prescribed for the infection.
pictogram|NN|The pictogram was easy to understand.
umami|NN|Umami is the fifth taste.
ethnomusicologist|NN|The ethnomusicologist studied traditional music.
tachometer|NN|The tachometer showed the engine's speed.
wheatgrass|NN|Wheatgrass juice is believed to have health benefits.
schmaltzy|JJ|The movie was too schmaltzy for his taste.
cooling-off|JJ|They had a cooling-off period after the argument.
fiber-rich|JJ|She followed a fiber-rich diet.
highchair|NN|The baby sat in a highchair during dinner.
bluebonnet|NN|The bluebonnet is the state flower of Texas.
defibrillation|NN|Defibrillation saved the patient's life.
ovoid|JJ|The ovoid shape of the egg was perfect.
broach|NN|She wore a beautiful broach on her dress.
higher-resolution|JJ|We need a higher-resolution camera.
fed-up|JJ|She was fed-up with the noise.
pathologize|VV0|They pathologize normal behavior sometimes.
second-lowest|JJ|That’s the second-lowest price.
get-tough|JJ|They implemented a get-tough policy.
rebus|NN|The rebus was tricky to solve.
unattributed|JJ|The quote was unattributed.
effusively|RR|He thanked them effusively.
mocking|NN|His mocking was hurtful.
moodily|RR|She stared moodily at the rain.
thirty-first|MC|Her birthday is on the thirty-first.
belongingness|NN|Belongingness is important in groups.
unclipped|JJ|The bushes were unclipped.
ranchland|NN|He inherited vast ranchland.
interpolated|JJ|The data was interpolated carefully.
self-administration|JJ|The drug is for self-administration.
wormlike|JJ|The creature had wormlike movements.
forthrightness|NN|Her forthrightness was appreciated.
brights|NN|He always uses his brights while driving.
post-race|JJ|They had a post-race celebration.
refinancing|JJ|Refinancing options were discussed.
postulated|JJ|The postulated theory was accepted.
off-the-books|JJ|He had an off-the-books income.
four-leaf|JJ|She found a four-leaf clover.
fatalist|NN|He was known as a fatalist.
self-deportation|NN|They discussed self-deportation strategies.
hard-right|JJ|He had a hard-right stance.
kingfish|NN|They caught a huge kingfish.
fold-up|JJ|He carried a fold-up chair.
unmanaged|JJ|The project was unmanaged.
less-educated|JJ|The less-educated group struggled more.
artilleryman|NN|He served as an artilleryman.
anti-authoritarian|JJ|He has anti-authoritarian views.
mmm-hm|UH|"Mmm-hm," she nodded in agreement.
adverbial|JJ|He used an adverbial phrase.
aircrew|NN|The aircrew prepared for landing.
moth-eaten|JJ|The moth-eaten sweater was old.
clintonian|JJ|The policy had a Clintonian influence.
multivalent|JJ|The compound was multivalent.
liberal-leaning|JJ|The article had a liberal-leaning perspective.
inebriation|NN|His inebriation was obvious.
ex-soldier|NN|The ex-soldier shared his story.
jigger|NN|He measured the drink with a jigger.
wholesomeness|NN|The wholesomeness of the meal was noted.
constructivist|JJ|She follows a constructivist approach.
fine-boned|JJ|She had fine-boned features.
herbarium|NN|The herbarium contained rare plants.
bungling|JJ|His bungling efforts failed.
centrum|NN|The centrum of the city was busy.
chauffeured|JJ|She enjoyed the chauffeured ride.
orthodontic|JJ|He wore orthodontic braces.
oh-ho-ho|UH|Oh-ho-ho, that's funny!
cytosol|NN|The cytosol surrounds the organelles.
stepwise|RR|They proceeded stepwise through the process.
culture-specific|JJ|The ritual is culture-specific.
minimalistic|JJ|Her design was minimalistic.
taoist|NN|He studied Taoist philosophy.
insecticidal|JJ|They used an insecticidal spray.
unmonitored|JJ|The site was left unmonitored.
sharpening|JJ|He bought a sharpening stone.
icehouse|NN|They stored the fish in an icehouse.
nato-led|JJ|It was a NATO-led operation.
monotonically|RR|The graph increased monotonically.
downsizing|JJ|They announced downsizing measures.
axolotl|NN|The axolotl is a fascinating creature.
husk|VV|They husk the corn by hand.
beneficially|RR|The changes impacted the company beneficially.
duodenal|JJ|He had a duodenal ulcer.
under-served|JJ|The under-served area needed attention.
eighteen-wheeler|NN|An eighteen-wheeler blocked the road.
geoscience|NN|She majored in geoscience.
twinkly|JJ|She had a twinkly smile.
mile-wide|JJ|The mile-wide tornado was terrifying.
proteomic|JJ|Proteomic studies are advancing.
stemware|NN|They bought new stemware.
public-works|JJ|The public-works project was successful.
centering|JJ|They used a centering device.
posthuman|JJ|The novel explored posthuman themes.
olivine|NN|Olivine is a common mineral.
data-collection|JJ|The data-collection process was automated.
spring-like|JJ|The weather was spring-like.
lysosome|NN|The lysosome breaks down waste.
grippy|JJ|These shoes have a grippy sole.
gouda|NN|She bought aged gouda cheese.
ka-ching|NN|With each sale, he heard "ka-ching."
upended|JJ|The plans were upended by the storm.
unfussy|JJ|Her style is simple and unfussy.
eclampsia|NN|Eclampsia is a serious condition.
hyperkinetic|JJ|The child was hyperkinetic and active.
billfold|NN|He lost his billfold at the store.
sky-car|NN|They tested the new sky-car prototype.
adenoid|JJ|He had adenoid issues as a child.
resource-based|JJ|They adopted a resource-based approach.
ecologic|JJ|The ecologic impact was significant.
exiting|JJ|He took the exiting train.
waitlist|NN|She was placed on the waitlist.
recapitalization|NN|The company announced its recapitalization.
interpenetration|NN|The interpenetration of ideas was evident.
half-game|NN|They played a half-game for practice.
gray-white|JJ|The sky was a gray-white color.
comitatus|NN|The comitatus tradition was strong.
high-elevation|JJ|The high-elevation hike was challenging.
platonism|NN|He studied Platonism in college.
nonviolently|RR|They protested nonviolently.
papilloma|NN|The doctor removed a papilloma.
diadromous|JJ|The diadromous fish migrate.
ornithological|JJ|They joined an ornithological society.
quits|JJ|He was quits with the situation.
meatpacking|NN|He worked in the meatpacking industry.
credited|JJ|She was credited for the idea.
self-referencing|JJ|The essay was self-referencing.
groundling|NN|The groundling watched the play eagerly.
swordplay|NN|The movie featured intense swordplay.
transiently|RR|He stayed transiently in the city.
espadrille|NN|She wore a colorful espadrille.
wastepaper|NN|The wastepaper basket was full.
sonically|RR|The music was sonically rich.
balled-up|JJ|He found a balled-up piece of paper.
reword|VV|She decided to reword the sentence.
asymmetrically|RR|The design was asymmetrically balanced.
slavonic|JJ|He studied Slavonic languages.
average-size|JJ|They bought an average-size car.
ileum|NN|The ileum is part of the small intestine.
short-circuiting|NN|The short-circuiting caused a fire.
unlettered|JJ|The unlettered sign was unreadable.
supersensitive|JJ|He is supersensitive to criticism.
tentpole|NN|The tentpole held up the canvas.
sculpin|NN|They caught a sculpin during fishing.
pedicure|VV|She will pedicure her nails tomorrow.
metalsmith|NN|The metalsmith crafted the jewelry.
playmaking|JJ|His playmaking skills are impressive.
non-professional|NN|The job was done by a non-professional.
catbird|NN|The catbird sang a sweet tune.
out-of-network|JJ|She visited an out-of-network doctor.
post-conviction|JJ|He filed a post-conviction appeal.
feed-in|NN|They adjusted the feed-in rate.
perseveration|NN|He struggled with perseveration.
trollop|NN|The novel featured a trollop character.
ivory-billed|JJ|The ivory-billed woodpecker was rare.
supercluster|NN|Astronomers studied the supercluster.
imprinting|NN|Imprinting occurs at birth.
galleria|NN|They shopped at the galleria.
antigay|JJ|The legislation was antigay.
biostatistics|NN|She specializes in biostatistics.
skydiving|JJ|Skydiving is an extreme sport.
audaciously|RR|He audaciously challenged the rules.
anti-spam|JJ|They installed anti-spam software.
basaltic|JJ|The basaltic rocks were studied.
smarty-pants|NN|He was known as a smarty-pants.
urological|JJ|He had a urological check-up.
foot-high|JJ|The snow was a foot-high.
insightfully|RR|She insightfully analyzed the problem.
glossy|NN|The magazine had a glossy cover.
loud-mouthed|JJ|He was loud-mouthed at the meeting.
misclassify|VV|Do not misclassify the documents.
finishing|NN|They added the final finishing touches.
valvular|JJ|He had valvular heart disease.
queen-sized|JJ|They bought a queen-sized bed.
nougat|NN|The candy bar had nougat inside.
dismissed|JJ|The idea was dismissed quickly.
parenchyma|NN|The lung parenchyma was examined.
carcinogenicity|NN|The study focused on carcinogenicity.
one-car|JJ|They lived in a one-car household.
heat-resistant|JJ|They used heat-resistant materials.
crouching|JJ|He saw a crouching figure in the dark.
peroxidase|NN|Peroxidase is an important enzyme.
hitching|JJ|They used a hitching post for the horses.
gladiolus|NN|She planted gladiolus in her garden.
substantiated|JJ|The claims were substantiated by evidence.
indwelling|JJ|He had an indwelling catheter.
eight-ball|NN|They played with an eight-ball.
three-tenths|MC|Three-tenths of the project was done.
collier|NN|The collier transported coal daily.
backsliding|NN|He feared backsliding into old habits.
aardvark|NN|The aardvark is a nocturnal animal.
maoism|NN|Maoism influenced the revolution.
comb-over|NN|His comb-over was noticeable.
tickler|NN|The tickler file kept him organized.
earwig|NN|She found an earwig in the garden.
shortlist|VV|They will shortlist the candidates.
laughing|NN|The sound of laughing filled the room.
reappraise|VV|They need to reappraise the property.
interactionism|NN|Interactionism is a sociological theory.
gonadal|JJ|The gonadal development was normal.
hosel|NN|The hosel of the club was damaged.
gussie|VV|She will gussie up for the party.
conduce|VV|These actions conduce to better results.
merchantman|NN|The merchantman sailed at dawn.
force-feed|VV|Do not force-feed the baby.
deconstructed|JJ|The dish was a deconstructed salad.
normal-weight|JJ|He was within the normal-weight range.
dilator|NN|The doctor used a dilator.
chargeback|NN|They issued a chargeback on the card.
pre-owned|JJ|They bought a pre-owned car.
radial|NN|The wheel has a radial pattern.
heaped|JJ|The table was heaped with food.
cubby|JJ|The room had a cubby feel.
mirror-like|JJ|The surface was mirror-like.
westphalian|JJ|He studied the Westphalian treaties.
interchange|VV|They will interchange their shifts.
us-sponsored|JJ|It was a US-sponsored event.
uncertified|JJ|The documents were uncertified.
aplastic|JJ|He was diagnosed with aplastic anemia.
immoderate|JJ|He had immoderate eating habits.
resurfacing|NN|The resurfacing of the road took time.
slickness|NN|The slickness of the floor was dangerous.
most-used|JJ|This is the most-used app on my phone.
clench|NN|He felt a clench in his stomach.
echocardiographic|JJ|They conducted an echocardiographic test.
shipload|NN|A shipload of goods arrived today.
industriously|RR|She worked industriously all day.
ejected|JJ|The ejected pilot was safe.
junk|JJ|The junk food was unhealthy.
womankind|NN|The movie celebrated womankind.
coming-of-age|NN|It’s a coming-of-age story.
metroplex|NN|The metroplex is expanding rapidly.
churchgoing|JJ|They were a churchgoing family.
brigantine|NN|The brigantine sailed smoothly.
redraft|VV|He will redraft the letter.
chastised|JJ|The chastised student felt remorse.
captaincy|NN|He was awarded the captaincy.
non-directive|JJ|They used a non-directive approach.
clean-burning|JJ|They installed clean-burning stoves.
methylphenidate|NN|He was prescribed methylphenidate.
peccary|NN|The peccary roamed the forest.
lucite|NN|The chair was made of lucite.
swooping|JJ|The swooping hawk was majestic.
intraperitoneal|JJ|He had an intraperitoneal injection.
run-out|NN|They experienced a run-out of supplies.
shiksa|NN|He married a shiksa.
petting|NN|The children enjoyed petting the animals.
angsty|JJ|He wrote angsty poems as a teen.
atlatl|NN|The ancient atlatl was displayed in the museum.
dressed-up|JJ|They arrived in dressed-up outfits.
atomized|JJ|The atomized spray covered the area.
neapolitan|NN|She loves Neapolitan ice cream.
