-même (aujourd'hui-même)                                          | же (сегодня же)
menacer                                                           | угрожать
mensonge                                                          | ложь
mensuel                                                           | ежемесячный
mentionner                                                        | упоминать
merci infiniment                                                  | огромное спасибо
mercredi                                                          | среда
mesurer                                                           | измерять - измерить
mettre (un vêtement)                                              | надевать - надеть
mettre feu                                                        | поджечь
mettre son nez dans                                               | to poke one's nose into
mettre une amende                                                 | штрафовАть
mettre, placer                                                    | располагать
mettre, poser (de côté)                                           | копить - накопить
mettre, poser (horizontalement)                                   | класть - положить
midi                                                              | пОлдень
mince                                                             | худой / стрОйный
minuit                                                            | пОлночь
miroir                                                            | зЕркало
moderne                                                           | современный
modeste                                                           | скромный
modifier                                                          | изменять - изменить
modifier                                                          | изменять - изменить
moi, je me souviens de tout, c'est toi qui oublies                | я-то всё помню, это ты забываешь
moineau                                                           | воробей
montagne                                                          | горА
montagne                                                          | горА
monter                                                            | поднимать - поднять
montrer                                                           | показывать - показать
montrer, démontrer (faire preuve) qqc                             | (про)демонстрировать
mort                                                              | мёртвый
moto                                                              | мотоцИкл
mou                                                               | мягкий
mourir                                                            | умирать - умереть
moyen                                                             | средний
moyen                                                             | средний
muet                                                              | немой
murmurer                                                          | шептать - шепнуть
méchant                                                           | злой
médiéval                                                          | средневековый
méfiant                                                           | недоверчивый
mépriser                                                          | презирать
même                                                              | дАже
même (adj)                                                        | одинАковый
n'oubliez pas !                                                   | не забудьте !
nager, aller en bateau (déterminé)                                | плыть - уплыть
nager, aller en bateau (indéterminé)                              | плавать - поплавать
naturel                                                           | натурАльный
naître                                                            | рождаться - родиться
naïf                                                              | наивный
ne fais pas l'idiot                                               | не будь таким дураком!
ne pas dire un mot                                                | промолчать
ne t'en fais pas                                                  | не волнуйся
nerveux                                                           | нервный
neuvième                                                          | девятый
noir                                                              | чёрный
non loin de                                                       | недалеко от
non seulement, mais aussi...                                      | не только, но и...
normal                                                            | нормАльный
nous sommes en 2004                                               | сейчас две тысячи четвёртый год
nous sommes enfin arrivés                                         | Наконец мы приехали
nous sommes le 10 mars                                            | сегодня десятое марта
nous sommes le 31 décembre                                        | сегодня тридцать первое декабря
nuire à la réputation                                             | to harm the reputation
nulle part                                                        | нигдЕ
numéro                                                            | нОмер
objecter                                                          | возражать
objectif                                                          | объективный
observer                                                          | наблюдать - понаблюдать
obtenir                                                           | получАть - получить
obéir                                                             | подчиниться
obéissant                                                         | послушный
occupé                                                            | занятый
offenser                                                          | обижать - обидеть
offenser                                                          | обидеть
offrir                                                            | дарить - подарить
orange                                                            | орАнжевый
ordinaire                                                         | обЫчный
ordinateur                                                        | компьютер
oreille                                                           | ухо
organiser                                                         | устраивать - устроить
organiser                                                         | организовать
organisé                                                          | организованы
ou                                                                | Или
oublier                                                           | забывать - забыть (e)
ouvrir, découvrir                                                 | открывать - открыть (открОю...)
où?                                                               | lieu situation : где? lieu destination : куда?
paniquer                                                          | паниковать
pantalon                                                          | брЮки
par (..période de temps)                                          | в 
par, à travers, dans (déplacement sans direction précise)         | по 
par, à travers, par l'intermédiaire de                            | через
parallèle                                                         | параллельный
pardonner                                                         | пpощАть
paresseux                                                         | ленивый
parfait                                                           | прекрасно
parfois                                                           | иногдА
parier                                                            | спорить - поспорить
parler (avec qqu)                                                 | разговаривать с
partager                                                          | делить - разделить
participer à ..                                                   | участвовать в
partir (en avion)                                                 | вылетАть - вЫлететь
partir (en transport)                                             | уезжать - уЕхать
partir (à pied)                                                   | уходить - уйти
partout                                                           | вездЕ / всЮду
pas de problème                                                   | нечего, нечего
pas de quoi                                                       | не за что
pas longtemps                                                     | недолго
passer (le temps)                                                 | проводить провести
passer (un examin...), réussir un examin                          | сдавать экзамен, сдать экзамен
passer du temps                                                   | проводить время
passer par (en véhicule)                                          | проезжать / проехать мИмо
passer par (à pied)                                               | проходить / пройти мИмо
patient                                                           | терпеливый
patiner                                                           | катАться на коньках
pauvre                                                            | бЕдный
payer                                                             | платить - заплатить
payer qqc                                                         | платить за
payer qqu                                                         | платить
pays                                                              | странА
pendant                                                           | хотЯ / покА
pendant                                                           | во время
pendant longtemps, beaucoup de temps                              | долго
pendant...                                                        | во время ...
penser                                                            | думать - подумать
perdre                                                            | терять - потерять
perdre (tout sens)                                                | терЯть - потерЯть
perdre, échouer                                                   | проигрывать - проиграть
persister                                                         | настаивать - настоять
personnel, privé                                                  | личный
peser (qqc)                                                       | взвешивать
petit                                                             | мАленький
petit homme                                                       | человечек
petite ville                                                      | городок
peu                                                               | мАло
peu après                                                         | вскоре
peu profond                                                       | мЕлкий
peu sûr                                                           | небезопАсный /опАсный
peut être                                                         | мОжет быть
pharmacie                                                         | аптЕка
photographier                                                     | снимать - снять
pierre                                                            | кАмень
pigeon                                                            | голубь
pilote                                                            | пилОт
pire                                                              | хуже
pire (adj)                                                        | хУдший
piscine                                                           | бассЕйн
piéton                                                            | пешеход
plaire                                                            | нравиться - понравиться
plaisanter                                                        | шутить (шучу)
planifier                                                         | намечАть - намЕтить
planifier                                                         | планировать
planter                                                           | садить - посадить
plat (adj)                                                        | плОский
plein                                                             | пОлный
pleurer                                                           | плАкать (плачу...) - заплакать
plomber qqc                                                       | пломбировать
pluie                                                             | дождь
plus grand, davantage                                             | больше
plus haut                                                         | выше
plus jeune                                                        | младше
plus large                                                        | шире
plus lentement                                                    | помедленнее
plus long                                                         | дольше
plus petit, moins                                                 | меньше
plus tard                                                         | поэже
plus vieux                                                        | старше
plus éloigné                                                      | дальше
poire                                                             | грУша
pomme de terre                                                    | картОфелина
port                                                              | порт
porte                                                             | дверь
porte                                                             | дверь
portefeuille                                                      | бумажник
porter                                                            | нести - понести
poser (une question )                                             | задавать - задать
possible/impossible                                               | не/возмОжный
posséder                                                          | владЕть - овладЕть
poste de police                                                   | полицЕйский учАсток
pour                                                              | для
pour faire qqc, afin de faire qqc                                 | чтобы
pour longtemps                                                    | надолго
pour quelque temps                                                | на, он приехал на неделю
pour toujours                                                     | навсегда
pour, à l'intention de                                            | для 
pourquoi (dans quel but)                                          | зачем
poussiéreux                                                       | пыльный
poux                                                              | вошь
prendre (avec soi), aller chercher                                | забирать - забрать
prendre feu                                                       | загореться
prendre l'ascenseur                                               | ехать на лифте
prendre peur                                                      | пугаться
prendre sa retraite                                               | уйти на пенсию
prier.                                                            | молиться
principal                                                         | главный
printemps                                                         | веснА
privé                                                             | частный
proche                                                            | близкий
produire                                                          | производить
professionel                                                      | профессиональный
profitable                                                        | прибыльный
profond                                                           | глубОкий
promettre                                                         | обещАть - пообещАть
pronoms personnels à l'instrumental                               | мной тобОй им ей нАми вАми Ими
prononcer (vt)                                                    | произносить
proposer.                                                         | предлагать
proposition, offre                                                | предложение
propre                                                            | чИстый
propriété privée                                                  | частная собственность
protéger                                                          | оберегать - оберечь
prudent                                                           | осторожный
près (adj)                                                        | рядом
près de                                                           | вОзле
près de...                                                        | недалекО от , Около 
précieux                                                          | драгоценный
préférer                                                          | предпочитать
prénom                                                            | Имя
présenter (faire connaître)                                       | познакомить
présenter, montrer                                                | предъявлять, предъявить
prévenir                                                          | предостеречь
prévoir                                                           | прогнозировать
prévoir.                                                          | предвидеть
prêt                                                              | готОвый
prêter                                                            | дать в долг
public                                                            | общЕственный
publier                                                           | издавать - издать
puis                                                              | потОм
pull                                                              | свитер
punir                                                             | наказывать
punition, châtiment                                               | наказание
putain                                                            | ёбаный
pâle                                                              | бледный
pâques                                                            | пАсха
père                                                              | отец
périr                                                             | погибнуть
qu'est ce que tu aimes faire le matin ?                           | чем тебе нравится заниматься по утрам?
quarantième                                                       | сороковОй
quatre cents                                                      | четыреста
quatrième                                                         | четвёртый
quel                                                              | какОй
quel jour ?                                                       | в какой день ?
quel jour sommes nous ?                                           | какое сегодня число ?
quel temps fait-il ?                                              | какАя погОда ?
quel... !                                                         | какой... ! (variable)
quelle est ta profession ?                                        | кем ты работаешь ?
quelques                                                          | нЕсколько
quels sont tes hobbies ?                                          | чем ты занимаешься в свободное время ?
qui est ce jeune homme qui parle avec le directeur ?              | кто этот молодой человек, который говорит с директором ?
quoi de neuf ?                                                    | что нового ?
quoique                                                           | хотя
raccrocher                                                        | положить трубку
raconter                                                          | рассказывать - рассказать
radin                                                             | скупой
raisonner                                                         | рассуждать - рассудить
ranger                                                            | уносить
rapidement                                                        | бЫстро
rappeler                                                          | напоминАть - напОмнить
rare (juste rare)                                                 | рЕдкий
rare (sens positif = inhabituel, original)                        | необЫчный
rarement                                                          | редко
rassembler, ramasser, réunir                                      | собирать - собрать
rater, manquer                                                    | опоздать на
raté                                                              | неудачный
recevoir                                                          | получАть - получить
rechercher                                                        | исследовать
recommander                                                       | рекомендовать - порекомендовать
recommencer                                                       | возобновлять - возобновить
reconnaître (qqu)                                                 | узнавать - узнать
reconnaître / découvrir                                           | узнавать (наЮ, наёшь, наЮт) - узнать (normal)
refaire                                                           | переделывать
refroidir                                                         | охладить
refuser                                                           | отказываться - отказаться
regarder (poser son regard sur)                                   | смотреть на 
regarder un film, la télévision..                                 | смотреть фильм, телевизор.. 
regretter                                                         | сожалеть
remercier                                                         | благодарить - поблагодарить
remettre en ordre                                                 | приводить в порядок
remettre à plus tard                                              | откладывать на потом
remplacer                                                         | заменять - заменить
remplir                                                           | заполнить
rencontrer                                                        | встречАть - встрЕтить
rendre                                                            | возвращать, вернуть
rendre la monnaie                                                 | дать сдачу
rendre visite                                                     | навестить
renoncer                                                          | отказываться - отказаться
rentable                                                          | выгодный
rentrer chez soi                                                  | пойти домой
renverser (liquide)                                               | пролить
reporter, retarder                                                | перенести
représenter                                                       | изображать - изобразить
respecter                                                         | уважать
respecté                                                          | уважаемый
ressentir, éprouver                                               | испытывать -
restaurant                                                        | ресторАн
rester                                                            | оставаться - остаться
rester silencieux                                                 | молчать
retourner (vt), remettre                                          | отдавать, отдать
revenir, retourner                                                | возвращАться - вернУться
riche                                                             | богАтый
rire                                                              | смеЯться (меюсь, меёшься, меются) - засмеЯться
rire de, se moquer de                                             | смеяться над
robe                                                              | платье
rond                                                              | круглый
rose                                                              | рОзовый
rouge                                                             | красный
ruche                                                             | улей
rue quelquechose                                                  | улица
ruisseau                                                          | ручей
rusé                                                              | хитрый
réagir                                                            | реагИровать - среагИровать
récemment                                                         | недавно
réchauffer                                                        | разогревать
réduire                                                           | сократить
régler (un conflit)                                               | урегулировать
régler l'addition                                                 | оплатить счёт
régulièrement                                                     | регулЯрно
rénover                                                           | ремонтИровать - отремонтИровать
réparer                                                           | чинить - починить
réparer (un objet)                                                | чинить - починить
répondre                                                          | отвечать - ответить
répondre de (être responsable de)                                 | отвечать за 
répondre à (une question)                                         | отвечать на
réprimander                                                       | ругаться
répéter                                                           | повторять - повторить
réserver                                                          | зарезервировать
réservoir                                                         | бак
résoudre, se débrouiller                                          | разобрAться
réussi                                                            | успешный
réussir                                                           | преуспевать, преуспеть
réveiller                                                         | разбудить
révéler                                                           | to expose
rêver(en dormant)                                                 | видеть сны
s'abonner                                                         | подписаться
s'amuser                                                          | веселиться
s'approcher de                                                    | подходить/подОйти к, подъезжАть/подъЕхать к
s'asseoir                                                         | садиться (жусь, дишься, дятся) - сесть
s'effondrer                                                       | обрушиться
s'endormir                                                        | засыпать - заснуть
s'endormir                                                        | заснуть
s'ennuyer                                                         | скучать
s'habituer                                                        | привыкАть (n) - привЫкнуть
s'inquiéter                                                       | беспокоиться
s'intéresser à qqc                                                | интересоваться
s'isoler                                                          | уединиться
s'occuper, pratiquer, faire                                       | заниматься - заняться (n)
s'écrouler                                                        | отвалится
s'énerver                                                         | нервничать
s'énerver                                                         | нервничать
s'étonner de                                                      | удивляться
sage                                                              | мудрый
sage, intelligent                                                 | умный
sale                                                              | грЯзный
saler                                                             | солить
salle de bain                                                     | ванная
salon                                                             | гостиная
salon de coiffure                                                 | парикмАхерская
saluer                                                            | здороваться - поздороваться
salé                                                              | сольный
samedi                                                            | суббота
sans alcool                                                       | без алкогольный
sans importance                                                   | невАжный
sans qqc                                                          | без
sans surveillance                                                 | без присмотра
saucisson                                                         | колбасА
sauter                                                            | вскакивать - вскочить
sauver                                                            | спасАть - спасти
savoir (faire)                                                    | уметь - суметь
scientifique                                                      | научный
se baigner                                                        | купАться
se boucher                                                        | засорИться
se brosser les dents                                              | чистить зубы
se cacher                                                         | прятаться - спрятаться
se calmer                                                         | успокойся
se coucher                                                        | ложИться спать
se disputer                                                       | ссориться
se déplacer en (faire du)                                         | кататься на
se dépêcher                                                       | спешИть (шу, шишь, шат) - поспешить
se faire du souci                                                 | волновать
se garer                                                          | парковаться
se heurter                                                        | удариться
se lever                                                          | вставАть
se lever                                                          | вставать - встать
se marier                                                         | жениться - пожениться
se marier (les deux)                                              | жениться - пожениться
se moquer                                                         | насмехаться
se passer, se produire                                            | случаться - случиться
se passionner pour qqc                                            | увлекАться
se produire, avoir lieu, se faire (intransitif)                   | происходить (хожУ, хОдишь, хОдят) - произойти
se présenter                                                      | являться - явиться
se rappeler                                                       | вспоминАть - вспОмнить
se rappeler                                                       | пОмнить
se raser                                                          | бриться
se rassembler                                                     | собираться - собраться
se rencontrer                                                     | встречаться
se rendre (à la police..)                                         | сдаваться - сдаться
se reposer                                                        | отдыхать - отдохнуть
se ruiner                                                         | разориться
se réconcilier                                                    | мириться
se réjouir                                                        | радоваться
se réjouir de                                                     | рАдоваться
se rétablir                                                       | выздовавливать
se réveiller                                                      | просыпаться
se salir                                                          | испачкаться
se séparer                                                        | расставаться - расстаться
se venger                                                         | мстить
sec                                                               | сухОй
secret                                                            | секрЕтный, тАйный
sembler                                                           | казаться - показаться
sentir (avoir pour odeur)                                         | пахнуть
sentir (une sensation)                                            | ощущать - ощутить
sentir, renifler                                                  | нюхать - понюхать
serrer                                                            | жать - пожать
serrer la main                                                    | пожимать - пожать
seulement                                                         | только
signer                                                            | подписать
signifier                                                         | значит
silencieux                                                        | безмОлвный
simple                                                            | простОй
simplement                                                        | прОсто
sincère                                                           | искренный
sincèrement                                                       | искренне
sincèrement                                                       | откровенно
six /sept/ huit/ neuf cents                                       | шесть/семь/восемь/девятьсот
siège                                                             | сидЕнье / мЕсто
sobre                                                             | трезвый
soigner                                                           | ухаживать
soixantième                                                       | шестидесятый
sombre                                                            | тёмный
sommeil                                                           | сон
sortir (à pied; multidirectionnel)                                | выходить - выйти
soucieux                                                          | озабOченный
souffrir                                                          | страдать - пострадать (n)
souhaiter                                                         | желать - пожелать (n)
souhaiter, désirer                                                | желать
soulever (tout sens)                                              | поднимать - поднять (дниму, днимешь, днимут)
soupirer                                                          | вздохнуть
sourd                                                             | глухой
sourire                                                           | улыбаться - улыбнуться
sourire                                                           | улыбаться - улыбнуться
sourire                                                           | улыбаться
sous                                                              | нИже / внизУ
sous entendre, impliquer                                          | подразумевать
sous, en dessous de qqc                                           | под
soutenir qqc                                                      | поддержать
souvent                                                           | чАсто
special                                                           | особенный
station service                                                   | запрАвка
stopper                                                           | останавливать - остановить
sucré                                                             | слАдкий
suivre                                                            | следовать - следить за
suivre le conseil de qqu                                          | следовать совету кого
suivre un régime                                                  | худеть
superbe                                                           | прекрАсный
supposer                                                          | предполагать
supprimer                                                         | исключить
surtout                                                           | осОбенно
surveiller, garder                                                | смотреть за
survenir                                                          | возникать - возникнуть
svelte                                                            | тОнкий
séparément                                                        | отдельно
sérieusement ?                                                    | серьёзно?
sérieux                                                           | серьёзный
sévère                                                            | строгий
sûr                                                               | безопАсный
tais toi                                                          | замолчи
taquiner                                                          | дразнить
tard                                                              | пОздний
tard                                                              | поздно (comparatif : позже)
tee-shirt                                                         | футболка
temporaire                                                        | временный
temps (meteo)                                                     | погода
il est tombé malade deux jours avant ses examens                  | он заболел за два дня до экзаменов
tendre, affectueux                                                | нежный
tenir                                                             | держать - подержать
terrible, effrayant                                               | страшный
timide                                                            | робкий
tirer, sortir de                                                  | вытащить
to dodge a question                                               | éluder une question
to expose                                                         | révéler
to harm the reputation                                            | nuire à la réputation
to poke one's nose into                                           | mettre son nez dans
to unearth                                                        | déterrer
tomber                                                            | пAдать (normal) - упасть (упаду, дашь, дут)
tomber en ruines                                                  | рухнуть
