|frequency_rank|part_of_speech_short|word_de|word_forms_de|sentence_de|word_translations_en|word_en|sentence_en|part_of_speech|sentence_original_de|sentence_original_en|sentence_lemmatized_de
4161|4059|adj|drastisch||Eine drastische Änderung war notwendig.|drastic|drastic|A drastic change was necessary.|adjective|Die Käufer dieser Aktie müssen drastische Verluste hinnehmen.|The buyers of this stock have to accept drastic losses.
4162|4060|adj|gleichmäßig|||regular, even|regular||adjective|Wenn du Angst hast, versuche gleichmäßig zu atmen.|If you’re afraid, try to breathe evenly.
4162.001|4060|adj|gleichmäßig||Die Verteilung der Last war gleichmäßig.|regular, even|even|The distribution of the load was even.|adjective|Wenn du Angst hast, versuche gleichmäßig zu atmen.|If you’re afraid, try to breathe evenly.
4163|4061|verb|hinnehmen|hinnehmen, nimmt hin, nahm hin, hat hingenommen|Er nimmt die Kritik gelassen hin.|to accept|to accept|He calmly accepts the criticism.|verb|Du kannst mich nicht vom Gegenteil überzeugen und musst meine Entscheidung hinnehmen.|You can’t convince me otherwise and you have to accept my decision.
4164|4062|das|Mexiko||Mexiko ist für seine Kultur bekannt.|Mexico|Mexico|Mexico is known for its culture.|noun|Mexiko und die USA teilen sich eine Grenze.|Mexico and the USA share a border.
4165|4063|die|die Moderne|||modern age, modernism|modern age||noun|Das Bauhaus ist ein Beispiel der klassischen Moderne in Kunst und Architektur.|The Bauhaus is an example of classical modernism in art and architecture.
4165.001|4063|die|die Moderne||Die Moderne beeinflusst die Kunst stark.|modern age, modernism|modernism|Modernism strongly influences art.|noun|Das Bauhaus ist ein Beispiel der klassischen Moderne in Kunst und Architektur.|The Bauhaus is an example of classical modernism in art and architecture.
4166|4064|adj|molekular||Die molekulare Struktur war kompliziert.|molecular|molecular|The molecular structure was complicated.|adjective|Molekulare Vorgänge beziehen sich auf sehr kleine Teilchen.|Molecular processes refer to very small particles.
4167|4065|die|die Nachbarschaft|die Nachbarschaften|Die Nachbarschaft half sich gegenseitig.|neighborhood|neighborhood|The neighborhood helped each other.|noun|Wir wohnen in einer guten Nachbarschaft, in der man sich gegenseitig hilft.|We live in a good neighborhood where people help each other.
4168|4066|der|der Siedepunkt|die Siedepunkte|Das Wasser erreicht den Siedepunkt.|boiling point|boiling point|The water reaches its boiling point.|noun|Der Siedepunkt von Wasser liegt bei einer Temperatur von 100°C.|The boiling point of water is at 100°C.
4169|4067|adj|stationär||Die stationäre Behandlung dauerte lange.|inpatient, fixed, stationary|inpatient|The inpatient treatment took a long time.|adjective|Ich werde stationär im Krankenhaus behandelt und darf noch nicht nach Hause gehen.|I’m being treated as an inpatient in the hospital and I’m not allowed to go home yet.
4169.001|4067|adj|stationär|||inpatient, fixed, stationary|fixed||adjective|Ich werde stationär im Krankenhaus behandelt und darf noch nicht nach Hause gehen.|I’m being treated as an inpatient in the hospital and I’m not allowed to go home yet.
4169.002|4067|adj|stationär|||inpatient, fixed, stationary|stationary||adjective|Ich werde stationär im Krankenhaus behandelt und darf noch nicht nach Hause gehen.|I’m being treated as an inpatient in the hospital and I’m not allowed to go home yet.
4170|4068|die (pl)|die Taliban (pl)|die Taliban (pl)|Die Taliban eroberten die Stadt zurück.|Taliban|Taliban|The Taliban recaptured the city.|noun|Die Taliban kämpfen für ihre Überzeugungen mit Gewalt.|The Taliban fight for their convictions by force.
4171|4069|adj|brutal||Der brutale Angriff schockierte alle.|brutal|brutal|The brutal attack shocked everyone.|adjective|Weil Maik schnell andere Menschen schlägt, gilt er als brutal.|Because Maik quickly beats other people, he is considered brutal.
4172|4070|adj|ehrenamtlich|||honorary, voluntary|honorary||adjective|Ich arbeite ehrenamtlich im Krankenhaus, weil es mir wichtiger ist, zu helfen, als Geld zu bekommen.|I work as a volunteer in the hospital because it’s more important to help than to get money.
4172.001|4070|adj|ehrenamtlich||Ehrenamtliche Arbeit bringt viel Freude.|honorary, voluntary|voluntary|Voluntary work brings a lot of joy.|adjective|Ich arbeite ehrenamtlich im Krankenhaus, weil es mir wichtiger ist, zu helfen, als Geld zu bekommen.|I work as a volunteer in the hospital because it’s more important to help than to get money.
4173|4071|adj|großzügig||Er machte eine großzügige Spende.|generous|generous|He made a generous donation.|adjective|Danke für das großzügige Geschenk.|Thank you for the generous present.
4174|4072|die|die Redaktion|die Redaktionen||editorial work, editorial staff|editorial work||noun|Ich arbeite bei der Redaktion einer Zeitung.|I work at the editorial department of a newspaper.
4174.001|4072|die|die Redaktion|die Redaktionen|Die Redaktion bearbeitet den Artikel.|editorial work, editorial staff|editorial staff|The editorial staff is editing the article.|noun|Ich arbeite bei der Redaktion einer Zeitung.|I work at the editorial department of a newspaper.
4175|4073|der|der Schweiß|die Schweiße|Der Schweiß läuft ihm von der Stirn.|sweat|sweat|Sweat runs down his forehead.|noun|Es ist so heiß, der Schweiß läuft mir den Nacken herunter.|It’s so hot, the sweat is running down my neck.
4176|4074|der|der Spruch|die Sprüche|Der Spruch auf dem Plakat ist witzig.|saying, slogan|saying|The saying on the poster is funny.|noun|Auf der Karte zu meinem Geburtstag steht ein schöner Spruch.|There’s a nice saying on my birthday card.
4176.001|4074|der|der Spruch|die Sprüche||saying, slogan|slogan||noun|Auf der Karte zu meinem Geburtstag steht ein schöner Spruch.|There’s a nice saying on my birthday card.
4177|4075|adj|strikt||Die Regeln sind hier sehr strikt.|strict|strict|The rules here are very strict.|adjective|Das Unternehmen hat strikte Regeln zur Verteilung der Aufgaben.|The company has strict rules for the distribution of tasks.
4178|4076|die|die Befragung|die Befragungen||questioning, survey, interview|questioning||noun|Die Polizei führt eine Befragung von verdächtigen Personen durch.|The police are questioning suspects.
4178.001|4076|die|die Befragung|die Befragungen||questioning, survey, interview|survey||noun|Die Polizei führt eine Befragung von verdächtigen Personen durch.|The police are questioning suspects.
4178.002|4076|die|die Befragung|die Befragungen|Die Befragung brachte neue Erkenntnisse.|questioning, survey, interview|interview|The interview brought new insights.|noun|Die Polizei führt eine Befragung von verdächtigen Personen durch.|The police are questioning suspects.
4179|4077|der, die|die Einzige||Sie war die Einzige, die es wusste.|only one|only one|She was the only one who knew.|noun|Mark sagt, ich bin die Einzige für ihn und es gibt keine anderen Frauen in seinem Leben.|Mark says I’m the only one for him and there are no other women in his life.
4180|4078|die|die Eizelle|die Eizellen|Die Eizelle wird im Labor untersucht.|ovum, egg cell|ovum|The ovum is examined in the lab.|noun|Etwa am vierzehnten Tag der Periode ist die Eizelle reif.|On about the 14th day of the period, the egg is ripe.
4180.001|4078|die|die Eizelle|die Eizellen||ovum, egg cell|egg cell||noun|Etwa am vierzehnten Tag der Periode ist die Eizelle reif.|On about the 14th day of the period, the egg is ripe.
4181|4079|adj|fit||Er bleibt fit durch regelmäßigen Sport.|fit|fit|He stays fit through regular exercise.|adjective|Ich hoffe, du bist fit, wir werden heute lange laufen.|I hope you’re fit, we’re going to be running for a long time today.
4182|4080|die|die Flüchtlingspolitik||Die Flüchtlingspolitik erhitzt Gemüter.|refugee policy|refugee policy|The refugee policy stirs emotions.|noun|Die Flüchtlingspolitik in Europa führt zu großem Streit zwischen den Ländern.|The refugee policy in Europe leads to great disputes among the countries.
4183|4081|der|der Haufen|die Haufen||heap, pile, load|heap||noun|In meinem Zimmer liegt ein großer Haufen mit Sachen, den ich aufräumen muss.|There’s a big pile of stuff in my room that I have to clean up.
4183.001|4081|der|der Haufen|die Haufen|Ein Haufen Bücher lag auf dem Tisch.|heap, pile, load|pile|A pile of books lay on the table.|noun|In meinem Zimmer liegt ein großer Haufen mit Sachen, den ich aufräumen muss.|There’s a big pile of stuff in my room that I have to clean up.
4183.002|4081|der|der Haufen|die Haufen||heap, pile, load|load||noun|In meinem Zimmer liegt ein großer Haufen mit Sachen, den ich aufräumen muss.|There’s a big pile of stuff in my room that I have to clean up.
4184|4082|die|die Infektion|die Infektionen|Die Infektion breitete sich aus.|infection|infection|The infection spread.|noun|Sie untersuchen ihr Blut auf Anzeichen einer Infektion.|They’re checking her blood for signs of infection.
4185|4083|der|der Keks|die Keks|Der Keks schmeckte nach Zimt und Zucker.|cookie|cookie|The cookie tasted like cinnamon and sugar.|noun|Ich esse lieber Kekse statt Kuchen.|I prefer eating cookies to cake.
4186|4084|die|die Sorte|die Sorten|Es gibt viele Sorten Äpfel im Supermarkt.|kind, variety|kind|There are many kinds of apples in the supermarket.|noun|Ich bringe nachher Eis mit, welche Sorte möchtest du?|I’ll bring ice cream afterwards; what kind would you like?
4186.001|4084|die|die Sorte|die Sorten|Er liebt verschiedene Sorten Käse.|kind, variety|variety|He loves different varieties of cheese.|noun|Ich bringe nachher Eis mit, welche Sorte möchtest du?|I’ll bring ice cream afterwards; what kind would you like?
4187|4085|adv|zueinander||Sie sind freundlich zueinander.|(to) one another|to one another|They are kind to one another.|adverb|Mein Kleid und meine Schuhe müssen zueinander passen.|My dress and my shoes have to match one another.
4188|4086|der|der Container|die Container|Der Container wurde verschifft.|container|container|The container was shipped.|noun|Vor unserem Haus steht ein Container, in den wir alles schmeißen, was wir nicht mehr brauchen.|In front of our house is a container into which we throw everything we no longer need.
4189|4087|adj|gelassen||Er bleibt in jeder Situation gelassen.|calm, composed|calm|He remains calm in every situation.|adjective|Obwohl Henry nervös ist, wirkt er sehr gelassen.|Although Henry is nervous, he seems very calm.
4189.001|4087|adj|gelassen|||calm, composed|composed||adjective|Obwohl Henry nervös ist, wirkt er sehr gelassen.|Although Henry is nervous, he seems very calm.
4190|4088|adj|live||Das Konzert wird live übertragen.|live|live|The concert is broadcast live.|adjective|Das Spiel wird live im Fernsehen gezeigt.|The game will be shown live on TV.
4191|4089|die|die Mutation|die Mutationen|Die Mutation veränderte das Gen.|mutation|mutation|The mutation altered the gene.|noun|Eine dauerhafte Veränderung in der DNA wird Mutation genannt.|A permanent change in DNA is called a mutation.
4192|4090|adj|sozialistisch||Sozialistische Ideen waren umstritten.|socialist|socialist|Socialist ideas were controversial.|adjective|In der DDR regierte eine sozialistische Partei.|In the GDR, a socialist party ruled.
4193|4091|verb|überstehen|überstehen, übersteht, überstand, hat überstanden||to overcome, survive|to overcome||verb|Die Pflanze übersteht den Winter ohne Probleme.|The plant survives the winter without problems.
4193.001|4091|verb|überstehen|überstehen, übersteht, überstand, hat überstanden|Er hat die Krankheit überstanden.|to overcome, survive|to survive|He survived the illness.|verb|Die Pflanze übersteht den Winter ohne Probleme.|The plant survives the winter without problems.
4194|4092|die|die Vermutung|die Vermutungen|Die Vermutung hat sich bestätigt.|assumption, presumption|assumption|The assumption was confirmed.|noun|Ich bin mir nicht sicher, aber ich habe die Vermutung, dass Karl nicht die Wahrheit sagt.|I’m not sure, but I have an assumption that Karl’s not telling the truth.
4194.001|4092|die|die Vermutung|die Vermutungen||assumption, presumption|presumption||noun|Ich bin mir nicht sicher, aber ich habe die Vermutung, dass Karl nicht die Wahrheit sagt.|I’m not sure, but I have an assumption that Karl’s not telling the truth.
4195|4093|verb|aufspringen|aufspringen, springt auf, sprang auf, ist aufgesprungen||to jump up/on, burst open|to jump up/on||verb|Er springt sofort von seinem Stuhl auf, um sie zu begrüßen.|He jumps up from his chair immediately to greet her.
4195.001|4093|verb|aufspringen|aufspringen, springt auf, sprang auf, ist aufgesprungen|Die Tür ist plötzlich aufgesprungen.|to jump up/on, burst open|to burst open|The door burst open suddenly.|verb|Er springt sofort von seinem Stuhl auf, um sie zu begrüßen.|He jumps up from his chair immediately to greet her.
4196|4094|der|der Käse|die Käse|Der Käse riecht sehr intensiv.|cheese|cheese|The cheese smells very strong.|noun|Ich mag französischen Weichkäse, wie Brie und Camembert.|I like French soft cheese, like Brie and Camembert.
4197|4095|verb|losgehen|losgehen, geht los, ging los, ist losgegangen||to go off, start|to go off||verb|Wir treffen uns um fünf Uhr und um halb sechs geht der Film los.|We meet at five o’clock, and the movie starts at half past five.
4197.001|4095|verb|losgehen|losgehen, geht los, ging los, ist losgegangen|Das Konzert ging pünktlich los.|to go off, start|to start|The concert started on time.|verb|Wir treffen uns um fünf Uhr und um halb sechs geht der Film los.|We meet at five o’clock, and the movie starts at half past five.
4198|4096|das|das Maul|die Mäuler|Der Hund öffnet sein Maul und bellt.|mouth, jaws|mouth|The dog opens its mouth and barks.|noun|Das Maul von Pferden ist sehr weich.|The mouth of horses is very soft.
4198.001|4096|das|das Maul|die Mäuler||mouth, jaws|jaws||noun|Das Maul von Pferden ist sehr weich.|The mouth of horses is very soft.
4199|4097|verb|protestieren|protestieren, protestiert, protestierte, hat protestiert|Sie protestieren gegen die Pläne.|to protest|to protest|They are protesting against the plans.|verb|Studenten und Arbeiter protestieren auf den Straßen gegen die neue Reform.|Students and workers protest in the streets against the new reform.
4200|4098|verb|schämen (sich)|schämen (sich), schämt, schämte, hat geschämt|Er schämte sich für sein Verhalten.|to be ashamed|to be ashamed|He was ashamed of his behavior.|verb|Das Kind schämt sich, seinen Fehler zuzugeben.|The child is ashamed to admit his mistake.
4201|4099|die (pl)|die Alpen (pl)|die Alpen (pl)|Die Alpen ziehen viele Wanderer an.|Alps|Alps|The Alps attract many hikers.|noun|Wir wandern in den Alpen.|We hike in the Alps.
4202|4100|die|die Berufung|die Berufungen||appeal, vocation, appointment|appeal||noun|Das Unterrichten ist seine Berufung.|Teaching is his vocation.
4202.001|4100|die|die Berufung|die Berufungen||appeal, vocation, appointment|vocation||noun|Das Unterrichten ist seine Berufung.|Teaching is his vocation.
4202.002|4100|die|die Berufung|die Berufungen|Die Berufung war für ihn eine Ehre.|appeal, vocation, appointment|appointment|The appointment was an honor for him.|noun|Das Unterrichten ist seine Berufung.|Teaching is his vocation.
4203|4101|die|die Einteilung|die Einteilungen|Die Einteilung der Gruppen war einfach.|classification, division|classification|The classification of the groups was simple.|noun|Die Einteilung der Schüler in die Klassen erfolgt nach dem Alter.|The classification of students into the classes is based on age.
4203.001|4101|die|die Einteilung|die Einteilungen||classification, division|division||noun|Die Einteilung der Schüler in die Klassen erfolgt nach dem Alter.|The classification of students into the classes is based on age.
4204|4102|der|der Eintritt|die Eintritte||entry, admission|entry||noun|Kinder unter fünf Jahren haben freien Eintritt.|Children under the age of five have free entry.
4204.001|4102|der|der Eintritt|die Eintritte|Der Eintritt kostet fünf Euro.|entry, admission|admission|Admission costs five euros.|noun|Kinder unter fünf Jahren haben freien Eintritt.|Children under the age of five have free entry.
4205|4103|der, die|die Geliebte||Er schrieb seiner Geliebten einen Brief.|lover|lover|He wrote a letter to his lover.|noun|Bernd hat eine Ehefrau und gleichzeitig eine Geliebte.|Bernd has a wife and a lover at the same time.
4206|4104|das|das Gramm|die Gramme|Ein Gramm Zucker ist nicht viel.|gram|gram|One gram of sugar is not much.|noun|In den Kuchen kommen 300 Gramm Zucker.|The cake requires 300 grams of sugar.
4207|4105|die|die Hüfte|die Hüften|Die Hüfte schmerzt beim Gehen.|hip|hip|The hip hurts when walking.|noun|Das Wasser reichte ihr bis zur Hüfte.|The water reached her hip.
4208|4106|adv|neulich|||recently, the other day|recently||adverb|Ich habe ihn erst neulich durch Zufall getroffen.|I met him by chance the other day.
4208.001|4106|adv|neulich||Neulich habe ich ihn getroffen.|recently, the other day|the other day|I met him the other day.|adverb|Ich habe ihn erst neulich durch Zufall getroffen.|I met him by chance the other day.
4209|4107|adj|regelrecht||Sie braucht regelrechte Behandlung.|proper, real|proper|She needs proper treatment.|adjective|Ein regelrechtes Vorgehen ist uns wichtig, weil wir uns immer an die Parameter halten.|A proper procedure is important to us because we always stick to the parameters.
4209.001|4107|adj|regelrecht|||proper, real|real||adjective|Ein regelrechtes Vorgehen ist uns wichtig, weil wir uns immer an die Parameter halten.|A proper procedure is important to us because we always stick to the parameters.
4210|4108|verb|verankern|verankern, verankert, verankerte, hat verankert|Die Regeln sind fest verankert.|to anchor, enshrine|to anchor|The rules are firmly anchored.|verb|Eine Verfassung verankert bestimmte gesellschaftliche Werte.|A constitution enshrines certain social values.
4210.001|4108|verb|verankern|verankern, verankert, verankerte, hat verankert||to anchor, enshrine|to enshrine||verb|Eine Verfassung verankert bestimmte gesellschaftliche Werte.|A constitution enshrines certain social values.
4211|4109|der|der Zähler|die Zähler||counter, meter, numerator|counter||noun|Der Zähler in unserer Wohnung misst den Strom, den wir verbrauchen.|The meter in our apartment measures the electricity we use.
4211.001|4109|der|der Zähler|die Zähler|Der Zähler misst den Stromverbrauch.|counter, meter, numerator|meter|The meter measures electricity consumption.|noun|Der Zähler in unserer Wohnung misst den Strom, den wir verbrauchen.|The meter in our apartment measures the electricity we use.
4211.002|4109|der|der Zähler|die Zähler||counter, meter, numerator|numerator||noun|Der Zähler in unserer Wohnung misst den Strom, den wir verbrauchen.|The meter in our apartment measures the electricity we use.
4212|4110|verb|befriedigen|befriedigen, befriedigt, befriedigte, hat befriedigt|Es gelang, den Bedarf zu befriedigen.|to satisfy|to satisfy|They managed to satisfy the demand.|verb|Wir tun alles, um die Bedürfnisse unserer Kunden zu befriedigen.|We do everything to satisfy our customers’ needs.
4213|4111|verb|beseitigen|beseitigen, beseitigt, beseitigte, hat beseitigt||to eliminate, clear|to eliminate||verb|Die freiwilligen Helfer treffen sich am Strand und beseitigen den Müll.|The volunteers meet at the beach and clear the garbage.
4213.001|4111|verb|beseitigen|beseitigen, beseitigt, beseitigte, hat beseitigt|Sie beseitigten alle Hindernisse.|to eliminate, clear|to clear|They cleared all obstacles.|verb|Die freiwilligen Helfer treffen sich am Strand und beseitigen den Müll.|The volunteers meet at the beach and clear the garbage.
4214|4112|der|der Gründer|die Gründer|Der Gründer verließ die Firma schnell.|founder|founder|The founder left the company quickly.|noun|Frau Paget ist die Gründerin und Geschäftsführerin des Unternehmens.|Mrs. Paget is the founder and managing director of the company.
4215|4113|das|das Orchester|die Orchester|Das Orchester spielte eine Symphonie.|orchestra|orchestra|The orchestra played a symphony.|noun|In dem Orchester spielen viele verschiedene Musiker.|Many different musicians play in the orchestra.
4216|4114|adj|regulär||Der regulär Zug fährt um 18 Uhr ab.|regular, normal|regular|The regular train departs at 6 PM.|adjective|Regulär dauert ein Fußballspiel 90 Minuten, unter Ausnahme aber auch länger.|A soccer match regularly lasts 90 minutes, but under exception also longer.
4216.001|4114|adj|regulär|||regular, normal|normal||adjective|Regulär dauert ein Fußballspiel 90 Minuten, unter Ausnahme aber auch länger.|A soccer match regularly lasts 90 minutes, but under exception also longer.
4217|4115|der|der Türke|die Türken|Der Türke verkauft leckere Früchte.|Turk|Turk|The Turk sells delicious fruits.|noun|Mein Nachbar ist ein Türke und kocht sehr gutes Essen.|My neighbor is a Turk and cooks very good food.
4218|4116|adj|ukrainisch||Das ukrainische Fest war gut besucht.|Ukrainian|Ukrainian|The Ukrainian festival was well attended.|adjective|Bevor ich in die Ukraine ziehe, lerne ich die ukrainische Sprache.|Before I move to Ukraine, I learn the Ukrainian language.
4219|4117|verb|unterdrücken|unterdrücken, unterdrückt, unterdrückte, hat unterdrückt|Er unterdrückte seine Gefühle.|to suppress|to suppress|He suppressed his feelings.|verb|Die Minderheit des Landes wird unterdrückt und versucht zu fliehen.|The minority of the country is suppressed and tries to flee.
4220|4118|verb|unterteilen|unterteilen, unterteilt, unterteilte, hat unterteilt|Der Text wurde in Kapitel unterteilt.|to divide, subdivide, partition|to divide|The text was divided into chapters.|verb|Das Unternehmen ist in verschiedene Bereiche unterteilt.|The company is subdivided into different areas.
4220.001|4118|verb|unterteilen|unterteilen, unterteilt, unterteilte, hat unterteilt||to divide, subdivide, partition|to subdivide||verb|Das Unternehmen ist in verschiedene Bereiche unterteilt.|The company is subdivided into different areas.
4220.002|4118|verb|unterteilen|unterteilen, unterteilt, unterteilte, hat unterteilt||to divide, subdivide, partition|to partition||verb|Das Unternehmen ist in verschiedene Bereiche unterteilt.|The company is subdivided into different areas.
4221|4119|verb|verziehen|verziehen, verzieht, verzog, hat verzogen||to distort, twist|to distort||verb|Gabi verzieht den Mund, weil der Apfel so sauer ist.|Gabi puckers her mouth because the apple is so sour.
4221.001|4119|verb|verziehen|verziehen, verzieht, verzog, hat verzogen|Sein Gesicht verzog sich vor Schmerz.|to distort, twist|to twist|His face twisted in pain.|verb|Gabi verzieht den Mund, weil der Apfel so sauer ist.|Gabi puckers her mouth because the apple is so sour.
4222|4120|die|die Bestellung|die Bestellungen|Die Bestellung wurde storniert.|order, reservation|order|The order was canceled.|noun|Der Kellner schreibt sich unsere Bestellung auf.|The waiter takes down our order.
4222.001|4120|die|die Bestellung|die Bestellungen||order, reservation|reservation||noun|Der Kellner schreibt sich unsere Bestellung auf.|The waiter takes down our order.
4223|4121|prep|einschließlich||Einschließlich der Getränke, bitte!|including|including|Including the drinks, please!|preposition|Dies ist der Preis einschließlich der Steuern.|This is the price including taxes.
4224|4122|das|das Glied|die Glieder||limb, joint, link|limb||noun|Ihre goldene Kette ist kaputt, ein Glied ist gerissen.|Her gold chain is broken; one link tore.
4224.001|4122|das|das Glied|die Glieder||limb, joint, link|joint||noun|Ihre goldene Kette ist kaputt, ein Glied ist gerissen.|Her gold chain is broken; one link tore.
4224.002|4122|das|das Glied|die Glieder|Das Glied der Kette ist gebrochen.|limb, joint, link|link|The link of the chain is broken.|noun|Ihre goldene Kette ist kaputt, ein Glied ist gerissen.|Her gold chain is broken; one link tore.
4225|4123|die|die Migration|die Migrationen|Die Migration nimmt weltweit zu.|migration|migration|Migration is increasing worldwide.|noun|Die Ursachen für die Migration in ein anderes Land sind ganz unterschiedlich.|The causes of migration to another country vary widely.
4226|4124|der|der Roboter|die Roboter|Der Roboter arbeitet rund um die Uhr.|robot|robot|The robot works around the clock.|noun|Roboter werden gebaut, um den Menschen Arbeit abzunehmen.|Robots are built to do the work of humans.
4227|4125|die|die Bitte|die Bitten|Die Bitte um Hilfe wurde sofort erfüllt.|request|request|The request for help was immediately fulfilled.|noun|Ich habe eine Bitte an dich, kannst du mir vielleicht zwei Euro geben?|I have a request for you; can you perhaps give me two euros?
4228|4126|die|die Blüte|die Blüten|Der Baum steht in voller Blüte.|blossom|blossom|The tree is in full blossom.|noun|Die Blüten von Rosen riechen sehr gut.|The blossoms of roses smell very good.
4229|4127|adj|elektromagnetisch||Elektromagnetische Felder umgeben uns.|electromagnetic|electromagnetic|Electromagnetic fields surround us.|adjective|Das Licht, das wir sehen, ist eine elektromagnetische Strahlung.|The light we see is electromagnetic radiation.
4230|4128|adv|inmitten||Inmitten des Trubels fand er Ruhe.|in the middle/midst of|in the midst of|In the midst of the turmoil, he found peace.|adverb|Das Land befindet sich inmitten einer wirtschaftlichen Krise.|The country is in the midst of an economic crisis.
4231|4129|adv|abschließend|||concluding, final|concluding||adverb|Das Seminar endet mit einer abschließenden Diskussion.|The seminar ends with a concluding discussion.
4231.001|4129|adv|abschließend||Dies ist die abschließende Entscheidung.|concluding, final|final|This is the final decision.|adverb|Das Seminar endet mit einer abschließenden Diskussion.|The seminar ends with a concluding discussion.
4232|4130|verb|aufschlagen|aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen|Er schlug das Buch auf Seite zehn auf.|to open, serve, pitch|to open|He opened the book to page ten.|verb|Natascha schlägt ihr Buch auf und beginnt zu lesen.|Natascha opens her book and begins to read.
4232.001|4130|verb|aufschlagen|aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen||to open, serve, pitch|to serve||verb|Natascha schlägt ihr Buch auf und beginnt zu lesen.|Natascha opens her book and begins to read.
4232.002|4130|verb|aufschlagen|aufschlagen, schlägt auf, schlug auf, hat aufgeschlagen||to open, serve, pitch|to pitch||verb|Natascha schlägt ihr Buch auf und beginnt zu lesen.|Natascha opens her book and begins to read.
4233|4131|die|die Glocke|die Glocken|Die Glocke läutet zur vollen Stunde.|bell|bell|The bell rings on the hour.|noun|Die Glocken der Kirche läuten zu traditionellen Anlässen.|The bells of the church ring on traditional occasions.
4234|4132|die|die Informatik||Die Informatik entwickelt sich rasant.|computer science|computer science|Computer science is developing rapidly.|noun|Weil Jan Informatik studiert, sitzt er viel am Computer.|Because Jan is studying computer science, he spends a lot of time at the computer.
4235|4133|der|der Niederschlag|die Niederschläge|Der Niederschlag fiel in großen Mengen.|precipitation, rainfall|precipitation|The precipitation fell in large quantities.|noun|Wegen der starken Niederschläge steigt das Wasser im Fluss.|Because of the heavy rainfall, the water in the river rises.
4235.001|4133|der|der Niederschlag|die Niederschläge||precipitation, rainfall|rainfall||noun|Wegen der starken Niederschläge steigt das Wasser im Fluss.|Because of the heavy rainfall, the water in the river rises.
4236|4134|adj|örtlich||Das örtliche Wetter ist unberechenbar.|local|local|The local weather is unpredictable.|adjective|Dieses Kölner Bier ist eine örtliche Besonderheit.|This Cologne beer is a local specialty.
4237|4135|verb|streifen|streifen, streift, streifte, hat gestreift||to touch, brush|to touch||verb|Im Wald streift ein Ast meine Schulter.|In the forest, a branch brushes my shoulder.
4237.001|4135|verb|streifen|streifen, streift, streifte, hat gestreift|Ihre Hand streifte meinen Arm leicht.|to touch, brush|to brush|Her hand lightly brushed my arm.|verb|Im Wald streift ein Ast meine Schulter.|In the forest, a branch brushes my shoulder.
4238|4136|der|der Topf|die Töpfe|Der Topf kochte über vor Eile.|pot|pot|The pot boiled over in haste.|noun|Das Wasser im Topf kocht bereits.|The water in the pot is already boiling.
4239|4137|die|die Enttäuschung|die Enttäuschungen|Die Enttäuschung war ihm anzusehen.|disappointment|disappointment|The disappointment was visible on his face.|noun|Die Enttäuschung über das blöde Geschenk ist groß.|The disappointment about the stupid gift is great.
4240|4138|verb|ernähren|ernähren, ernährt, ernährte, hat ernährt||to feed, nourish, support|to feed||verb|Ich ernähre mich ausschließlich ohne Produkte von Tieren.|I feed myself without any products from animals.
4240.001|4138|verb|ernähren|ernähren, ernährt, ernährte, hat ernährt||to feed, nourish, support|to nourish||verb|Ich ernähre mich ausschließlich ohne Produkte von Tieren.|I feed myself without any products from animals.
4240.002|4138|verb|ernähren|ernähren, ernährt, ernährte, hat ernährt|Er ernährt seine Familie mit Mühe.|to feed, nourish, support|to support|He supports his family with difficulty.|verb|Ich ernähre mich ausschließlich ohne Produkte von Tieren.|I feed myself without any products from animals.
4241|4139|adj|prominent||Ein prominenter Gast besuchte das Event.|prominent|prominent|A prominent guest visited the event.|adjective|Zum jährlichen Fest der Stadt tritt ein prominenter Künstler auf.|A prominent artist performs at the city’s annual festival.
4242|4140|die|die Sowjetunion||Die Sowjetunion existiert nicht mehr.|Soviet Union|Soviet Union|The Soviet Union no longer exists.|noun|Die Sowjetunion wurde 1991 aufgelöst.|The Soviet Union was dissolved in 1991.
4243|4141|adj|afrikanisch||Das afrikanische Fest war bunt und laut.|African|African|The African festival was colorful and loud.|adjective|Marthas afrikanische Stoffe sind sehr bunt.|Martha’s African fabrics are very colorful.
4244|4142|die|die Beschränkung|die Beschränkungen|Die Beschränkung gilt ab sofort.|restriction|restriction|The restriction is effective immediately.|noun|Diese Beschränkungen verletzen die fundamentalen Menschenrechte.|These restrictions violate fundamental human rights.
4245|4143|die|die Genehmigung|die Genehmigungen||approval, permit, permission|approval||noun|Sie brauchen eine Genehmigung, um hier parken zu dürfen.|You need a permit to be allowed to park here.
4245.001|4143|die|die Genehmigung|die Genehmigungen|Die Genehmigung wurde endlich erteilt.|approval, permit, permission|permit|The permit was finally granted.|noun|Sie brauchen eine Genehmigung, um hier parken zu dürfen.|You need a permit to be allowed to park here.
4245.002|4143|die|die Genehmigung|die Genehmigungen||approval, permit, permission|permission||noun|Sie brauchen eine Genehmigung, um hier parken zu dürfen.|You need a permit to be allowed to park here.
4246|4144|die|die Lampe|die Lampen|Die Lampe spendet warmes Licht.|lamp|lamp|The lamp provides warm light.|noun|Stefanie schaltet die Lampe neben dem Sofa an.|Stefanie switches on the lamp next to the couch.
